symbol,price_now,price_1m,price_3m,price_6m,price_1y,ret_1m,ret_3m,ret_6m,ret_1y,ma20,ma50,ma200,rsi14,macd_line,macd_signal,macd_hist,bb_upper,bb_lower,bb_pct,vol_annual,avg_vol_30,above_ma20,above_ma50,above_ma200,golden_cross,rsi_zone,macd_bullish,trend_score,rsi_score,ret3m_score,ret6m_score,macd_score,momentum_score
AAPL,284.18,258.86,276.49,269.77,198.51,0.0978,0.0278,0.0534,0.4316,268.7915,261.8236,255.8823,67.2637,1.9574,1.5011,0.4563,282.7797,254.8033,1.0501,0.2631,46003872.7273,TRUE,TRUE,TRUE,TRUE,Neutral,TRUE,100,65,65.3061,55.102,70,72.3622
ABBV,206.11,206.69,217.11,219.04,187.15,-0.0028,-0.0507,-0.059,0.1013,205.7295,213.737,218.101,48.2129,-0.9433,-1.4312,0.4879,214.7783,196.6807,0.521,0.2767,6738354.5455,TRUE,FALSE,FALSE,FALSE,Neutral,TRUE,15,45,42.8571,30.6122,70,36.4796
ACN,179.01,198.95,241.65,241.34,303.8,-0.1002,-0.2592,-0.2583,-0.4108,185.812,194.8514,239.4514,37.5023,-2.9925,-2.9079,-0.0846,200.412,171.212,0.2671,0.4198,5114563.6364,FALSE,FALSE,FALSE,FALSE,Neutral,FALSE,15,20,0,4.0816,30,10.5663
AMD,355.26,220.18,200.19,237.7,98.62,0.6135,0.7746,0.4946,2.6023,297.6495,241.3778,213.2796,72.5433,11.7574,10.9794,0.7781,383.481,211.818,0.8356,0.6907,40952159.0909,TRUE,TRUE,TRUE,TRUE,Overbought,TRUE,100,30,100,95.9184,70,85.6837
AMGN,329.59,342.57,366.2,315.59,270.44,-0.0379,-0.1,0.0444,0.2187,344.575,355.6922,325.1719,37.9159,-1.7863,-1.3006,-0.4857,361.4363,327.7137,0.0556,0.2804,2633672.7273,FALSE,FALSE,TRUE,TRUE,Neutral,FALSE,35,20,24.4898,48.9796,30,31.8929
AMZN,273.55,212.79,232.99,243.04,185.01,0.2855,0.1741,0.1255,0.4786,253.3175,227.4052,227.8554,80.5099,5.2631,4.9511,0.312,279.2276,227.4074,0.8904,0.2756,49678272.7273,TRUE,TRUE,TRUE,FALSE,Overbought,TRUE,80,30,85.7143,67.3469,70,70.6837
AVGO,427.36,314.43,308.05,355.59,200.09,0.3592,0.3873,0.2018,1.1358,400.6275,353.093,341.4581,69.2846,5.4433,5.6465,-0.2031,444.6259,356.6291,0.8038,0.3874,21493945.4545,TRUE,TRUE,TRUE,TRUE,Neutral,FALSE,100,65,97.9592,79.5918,30,83.0561
BAC,53.12,50.06,55.38,53.29,40.84,0.0611,-0.0408,-0.0032,0.3007,53.041,50.4468,51.4857,56.9841,1.234,1.5034,-0.2693,54.3161,51.7659,0.531,0.2088,32935259.0909,TRUE,TRUE,TRUE,FALSE,Neutral,FALSE,80,85,48.9796,46.9388,30,59.8316
BLK,1048.91,959.41,1076.16,1069.4399,914.97,0.0933,-0.0253,-0.0192,0.1464,1041.6495,1008.542,1081.329,55.2944,1.4413,1.4397,0.0016,1081.663,1001.636,0.5907,0.2793,681377.2727,TRUE,TRUE,FALSE,FALSE,Neutral,TRUE,55,85,53.0612,38.7755,70,57.1735
CAT,904.59,721.24,691.82,569.78,320.89,0.2542,0.3076,0.5876,1.819,818.119,755.604,595.7679,73.6691,4.804,3.9779,0.8261,898.7114,737.5266,1.0365,0.4671,2329527.2727,TRUE,TRUE,TRUE,TRUE,Overbought,TRUE,100,30,93.8776,97.9592,70,84.2551
COST,1016.42,1018.55,978.35,923.58,1010.5,-0.0021,0.0389,0.1005,0.0059,1003.3635,998.0344,951.1748,57.5238,0.4578,0.342,0.1159,1032.7654,973.9616,0.722,0.1873,1736804.5455,TRUE,TRUE,TRUE,TRUE,Neutral,TRUE,100,85,67.3469,65.3061,70,78.0153
CRM,186.99,185.03,199.44,239.27,273.36,0.0106,-0.0624,-0.2185,-0.316,179.3725,186.8196,227.8295,53.9867,-0.3602,-1.0473,0.6871,191.9986,166.7464,0.8017,0.5063,13413572.7273,TRUE,TRUE,FALSE,FALSE,Neutral,TRUE,55,85,36.7347,8.1633,70,46.1531
CVX,192.64,198.86,181.23,152.94,135.6,-0.0313,0.063,0.2596,0.4206,188.5115,193.2666,166.954,52.8828,-0.3302,-0.7377,0.4074,194.9322,182.0908,0.8215,0.2677,10326290.9091,TRUE,FALSE,TRUE,TRUE,Neutral,TRUE,35,85,75.5102,85.7143,70,68.2959
DHR,174.63,192.12,219.53,210.67,190.05,-0.091,-0.2045,-0.1711,-0.0811,186.5505,191.5506,208.5156,32.3477,-2.8258,-2.1926,-0.6331,204.2658,168.8352,0.1636,0.3171,4676686.3636,FALSE,FALSE,FALSE,FALSE,Neutral,FALSE,15,20,4.0816,18.3673,30,14.648
GE,286.68,288.69,308.34,305.27,208.6,-0.007,-0.0702,-0.0609,0.3743,295.5105,303.44,298.4371,45.9209,-1.6472,-1.5118,-0.1354,321.3803,269.6407,0.3293,0.4569,6772363.6364,FALSE,FALSE,FALSE,TRUE,Neutral,FALSE,15,45,32.6531,28.5714,30,29.0102
GOOGL,388.43,299.99,333.04,284.75,163.23,0.2948,0.1663,0.3641,1.3796,345.332,318.416,283.148,81.3334,5.5636,4.258,1.3056,390.1699,300.4941,0.9806,0.3981,26618040.9091,TRUE,TRUE,TRUE,TRUE,Overbought,TRUE,100,30,83.6735,93.8776,70,80.3776
HD,315.42,326.65,387.2,369.07,359.38,-0.0344,-0.1854,-0.1454,-0.1223,334.878,340.7334,370.2932,36.5514,-1.7093,-1.0486,-0.6607,354.7856,314.9704,0.0113,0.3252,3797986.3636,FALSE,FALSE,FALSE,FALSE,Neutral,FALSE,15,20,6.1224,20.4082,30,15.6684
HON,209.06,228.21,235.35,195.91,197.8605,-0.0839,-0.1117,0.0671,0.0566,222.2885,228.7474,211.3363,32.3388,-2.4738,-1.9083,-0.5655,242.3814,202.1956,0.1708,0.258,3718609.0909,FALSE,FALSE,FALSE,TRUE,Neutral,FALSE,15,20,16.3265,59.1837,30,26.4847
IBM,229.03,246.74,289.05,312.42,249.12,-0.0718,-0.2076,-0.2669,-0.0806,238.5615,242.7412,272.2399,40.3362,-1.9964,-1.5695,-0.4269,257.7162,219.4068,0.2512,0.4023,6261463.6364,FALSE,FALSE,FALSE,FALSE,Neutral,FALSE,15,45,2.0408,2.0408,30,14.5204
INTU,398.32,417.36,445.64,653.64,626.55,-0.0456,-0.1062,-0.3906,-0.3643,389.215,415.6644,585.3069,48.2848,-1.2331,-1.9618,0.7287,420.0049,358.4251,0.6479,0.5694,3206459.0909,TRUE,FALSE,FALSE,FALSE,Neutral,TRUE,15,45,20.4082,0,70,23.6224
ISRG,451.38,452.58,478.49,547.78,530.46,-0.0027,-0.0567,-0.176,-0.1491,463.09,473.1322,499.505,42.1665,-0.8873,-0.6697,-0.2175,483.0844,443.0955,0.2072,0.3713,2213254.5455,FALSE,FALSE,FALSE,FALSE,Neutral,FALSE,15,45,40.8163,12.2449,30,28.1939
JNJ,225.55,240.97,234.47,186.97,154.47,-0.064,-0.038,0.2063,0.4602,231.7445,237.7412,206.8891,38.2703,-1.5042,-1.3122,-0.192,243.3809,220.1081,0.2338,0.1798,7622190.9091,FALSE,FALSE,TRUE,TRUE,Neutral,FALSE,35,20,51.0204,83.6735,30,46.7908
JPM,309.4,295.45,317.27,313.42,249.25,0.0472,-0.0248,-0.0128,0.2413,310.86,299.7056,305.0404,53.3249,0.9463,1.1862,-0.2399,315.7882,305.9318,0.3519,0.2086,7944881.8182,FALSE,TRUE,TRUE,FALSE,Neutral,FALSE,80,85,55.102,40.8163,30,60.4439
KO,78.48,77.22,77.35,69.06,71.72,0.0163,0.0146,0.1364,0.0943,76.7935,77.0892,72.0356,58.6363,0.6849,0.2603,0.4246,79.6565,73.9305,0.7945,0.2087,13583845.4545,TRUE,TRUE,TRUE,TRUE,Neutral,TRUE,100,85,61.2245,73.4694,70,77.8112
LIN,500.29,499.47,473.33,415.32,447.05,0.0016,0.057,0.2046,0.1191,501.973,497.022,462.154,50.5449,0.4521,0.6452,-0.1931,513.5194,490.4266,0.4271,0.2036,1959540.9091,FALSE,TRUE,TRUE,TRUE,Neutral,FALSE,100,85,73.4694,81.6327,30,79.1173
LLY,988.87,927.06,1107.12,937.44,775.12,0.0667,-0.1068,0.0549,0.2758,921.514,945.4306,913.457,61.7639,0.149,-1.077,1.226,990.1547,852.8733,0.9906,0.4613,3143927.2727,TRUE,TRUE,TRUE,TRUE,Neutral,TRUE,100,85,18.3673,57.1429,70,61.6888
MA,497.08,501.5,553.52,553.28,558.99,-0.0088,-0.102,-0.1016,-0.1108,508.754,506.3606,547.7444,44.7168,-0.2363,0.0081,-0.2444,524.901,492.607,0.1385,0.268,3474909.0909,FALSE,FALSE,FALSE,FALSE,Neutral,FALSE,15,45,22.449,26.5306,30,25.5408
MCD,285.17,309.76,323.69,298.41,316.79,-0.0794,-0.119,-0.0444,-0.0998,299.3735,311.9198,309.3525,31.6703,-2.3018,-1.8548,-0.4471,316.196,282.551,0.0778,0.1977,3219995.4545,FALSE,FALSE,FALSE,TRUE,Neutral,FALSE,15,20,14.2857,32.6531,30,20.5663
META,604.96,573.02,668.99,618.94,587.31,0.0557,-0.0957,-0.0226,0.0301,650.4225,628.7638,677.3293,39.8968,0.0139,1.2904,-1.2766,706.7294,594.1156,0.0963,0.4708,16223059.0909,FALSE,FALSE,FALSE,FALSE,Neutral,FALSE,15,20,26.5306,36.7347,30,25.0561
MRK,113.15,120.85,118.33,85.78,79.04,-0.0637,-0.0438,0.3191,0.4316,115.385,117.1382,100.2174,45.5421,-1.5689,-1.3865,-0.1825,124.0777,106.6923,0.3714,0.301,9581295.4545,FALSE,FALSE,TRUE,TRUE,Neutral,FALSE,35,45,44.898,89.7959,30,49.9286
MS,189.25,166.55,180.08,163.42,118.33,0.1363,0.0509,0.1581,0.5993,186.874,172.7704,166.2199,61.3131,2.6759,3.0322,-0.3563,196.342,177.406,0.6255,0.2814,5598240.9091,TRUE,TRUE,TRUE,TRUE,Neutral,FALSE,100,85,71.4286,75.5102,30,77.2806
MSFT,411.38,372.88,414.19,497.1,433.31,0.1033,-0.0068,-0.1724,-0.0506,409.5645,396.9764,467.0188,52.5854,1.6837,1.9041,-0.2203,447.6506,371.4784,0.5238,0.3432,34006481.8182,TRUE,TRUE,FALSE,FALSE,Neutral,FALSE,55,85,59.1837,16.3265,30,50.5204
NEE,96.28,92.73,89.97,82,66.54,0.0383,0.0701,0.1741,0.4469,93.883,92.902,83.4241,57.1811,1.23,0.9143,0.3157,98.4217,89.3443,0.7641,0.3373,8496327.2727,TRUE,TRUE,TRUE,TRUE,Neutral,TRUE,100,85,77.551,77.551,70,83.5255
