symbol,date,open,high,low,close,volume,ma20,ma50,ma200,rsi14,macd_line,macd_signal,macd_hist,bb_upper,bb_lower,bb_mid,daily_ret
AAPL,2025-05-06,198.2100067138672,200.64999389648438,197.02000427246094,198.50999450683594,51216500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MSFT,2025-05-06,432.20001220703125,437.7300109863281,431.1700134277344,433.30999755859375,15104200,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NVDA,2025-05-06,111.4800033569336,114.73999786376953,110.81999969482422,113.54000091552734,158525600,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AMZN,2025-05-06,184.57000732421875,187.92999267578125,183.85000610351562,185.00999450683594,29314100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GOOGL,2025-05-06,162.1699981689453,164.8000030517578,161.19000244140625,163.22999572753906,21277200,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
META,2025-05-06,592.530029296875,596.030029296875,586.58001708984375,587.30999755859375,10600700,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TSLA,2025-05-06,273.1099853515625,277.7300109863281,271.3500061035156,275.3500061035156,76715800,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
JPM,2025-05-06,250,252.64999389648438,249,249.25,6369900,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
V,2025-05-06,346.3999938964844,349.6499938964844,345.760009765625,347.70001220703125,3438500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
UNH,2025-05-06,402.79998779296875,404.7200012207031,393.4200134277344,394.510009765625,7858600,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
XOM,2025-05-06,103.88999938964844,105.9800033569336,103.4800033569336,104.70999908447266,16303400,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LLY,2025-05-06,816.8900146484375,818.41998291015625,770.3499755859375,775.1199951171875,5982000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
JNJ,2025-05-06,154.82000732421875,155.89999389648438,153.69000244140625,154.47000122070312,8644200,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
WMT,2025-05-06,98.73999786376953,99.470001220703125,98.410003662109375,98.55000305175781,10626000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MA,2025-05-06,556.47998046875,565.739990234375,556.0999755859375,558.989990234375,2341700,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PG,2025-05-06,158.0399932861328,159.7100067138672,157.64999389648438,159.25,7703800,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
HD,2025-05-06,358.67999267578125,362.2699890136719,357.1300048828125,359.3800048828125,2299700,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MRK,2025-05-06,82.470001220703125,82.4800033569336,78.29000091552734,79.04000091552734,16991100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ORCL,2025-05-06,146.97999572753906,148.94000244140625,145.72000122070312,147.6999969482422,5108600,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BAC,2025-05-06,40.650001525878906,41.27000045776367,40.560001373291016,40.84000015258789,29541800,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ABBV,2025-05-06,195.5,195.82000732421875,185.74000549316406,187.14999389648438,9392000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
KO,2025-05-06,71.68000030517578,71.9000015258789,71.160003662109375,71.720001220703125,12705500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PEP,2025-05-06,131.89999389648438,131.89999389648438,130.16000366210938,130.74000549316406,6889900,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AVGO,2025-05-06,196.44000244140625,201.91000366210938,195.94000244140625,200.08999633789062,16348800,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CVX,2025-05-06,136.35000610351562,137.30999755859375,135.0399932861328,135.60000610351562,9916200,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
COST,2025-05-06,1008.4500122070312,1016.22998046875,1003.510009765625,1010.5,1381200,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MCD,2025-05-06,315.1099853515625,317.239990234375,312.8699951171875,316.7900085449219,2691700,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TMO,2025-05-06,419.45001220703125,423.55999755859375,406.5,407.0199890136719,4070200,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CRM,2025-05-06,269.82000732421875,274.79998779296875,268.5400085449219,273.3599853515625,4681600,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NFLX,2025-05-06,112.94300079345703,114.76599884033203,112.63999938964844,113.76899719238281,32567000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ACN,2025-05-06,303.8599853515625,305.95001220703125,303.20001220703125,303.79998779296875,2719400,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
