date,symbol,daily_alpha,mean_daily_alpha,jensen_alpha_ann,info_ratio,beta,ret_1m,ret_3m,momentum_score
2026-05-29,AAPL,-0.003931,8.42e-4,0.228363,1.109126,0.936649,0.15505,0.18124,72.010204
2026-05-29,ABBV,-0.006654,-2.82e-4,0.140123,-0.273562,0.168697,0.067831,-0.061875,47.989796
2026-05-29,ACN,0.046107,-0.002845,-0.646772,-2.085953,0.724163,0.037779,-0.103727,40.030612
2026-05-29,AMD,-0.006333,0.005867,1.032553,2.464392,2.754765,0.530954,1.577793,82.5
2026-05-29,AMGN,-0.00157,-2.41e-4,0.052167,-0.226268,0.555294,-0.003639,-0.132342,34.94898
2026-05-29,AMZN,-0.014754,2.51e-4,-0.050503,0.254061,1.447464,0.028893,0.288762,81.362245
2026-05-29,AVGO,0.044839,0.001708,0.161898,1.150766,2.056341,0.101911,0.398122,79.994898
2026-05-29,BAC,0.013857,-2.84e-4,-0.051234,-0.388348,0.919584,-0.024206,0.035521,59.826531
2026-05-29,BLK,-0.002119,-6.05e-4,-0.234993,-0.744303,1.324533,0.007216,-0.015378,50.438776
2026-05-29,CAT,-0.015785,0.002966,0.595385,2.592099,1.598789,0.081254,0.179099,82.586735
2026-05-29,COST,-0.041559,-0.001337,-0.085042,-1.496605,0.008836,-0.042406,-0.053889,31.382653
2026-05-29,CRM,0.082256,-0.002007,-0.411324,-1.414699,0.62792,0.054519,-0.018943,53.295918
2026-05-29,CVX,-0.005606,2.17e-4,0.380223,0.203981,-0.28155,-0.050775,-0.023024,51.357143
2026-05-29,DHR,0.008802,-9.99e-4,-0.189596,-0.953132,0.75582,0.021644,-0.132786,38.806122
2026-05-29,GE,0.006673,2.64e-4,-0.004182,0.242468,1.277942,0.141729,-0.054052,60.219388
2026-05-29,GOOGL,-0.027586,0.002418,0.519574,2.483957,1.353115,0.086872,0.219977,81.97449
2026-05-29,HD,-0.015162,-0.001495,-0.323732,-1.728477,0.791401,-0.017564,-0.166999,21.989796
2026-05-29,HON,0.018367,-4.6e-4,-0.053029,-0.568625,0.752135,0.131051,-0.023523,70.785714
2026-05-29,IBM,0.1246,-2.41e-4,-0.0612,-0.16947,1.001893,0.311317,0.239748,63.540816
2026-05-29,INTU,0.056710000000000003,-0.003985,-0.859476,-2.340298,0.430058,-0.160853,-0.189473,13.5
