symbol,company,sector,industry,price,prev_close,vwap,market_cap,shares_outstanding,ret_1d,ret_5d,ret_1m,ret_3m,ret_6m,ret_1y,rsi14,adx,macd,macd_signal,bb_pct,sma20,sma50,sma200,above_ma20,above_ma50,above_ma200,golden_cross,trend_strength,range_pct,vol_20d,vol_60d,vol_252d,avg_vol_20d,pe_ratio,pb_ratio,ps_ratio,peg_ratio,roe,roa,roic,profit_margin,gross_margin,operating_margin,debt_equity,current_ratio,interest_coverage,revenue_growth,earnings_growth,fcf_growth,eps_growth,dcf_value,dcf_upside,eps,eps_estimate,eps_surprise_pct,earnings_beat_count,analyst_score,strong_buy,buy,hold,sell,total_analysts,beta,short_ratio,short_pct,adj_close_tiingo,tiingo_ret1m,sec_revenue,sec_net_income,high_52w,low_52w,fed_rate,yield_spread,vix,regime,data_confidence,last_updated
AMGN,NA,NA,NA,366.25,366.25,366.678,NA,NA,NA,NA,NA,NA,NA,NA,47.29,17.86223,0.6705,1.4452,0.098,376.34,357.62,315.28,FALSE,TRUE,TRUE,TRUE,55,82.6,23.76,29.93,28.59,2500175,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.29,4.72,12.08,4,63.7,6,15,18,2,42,0.47561342,NA,NA,361.13,-3.276,NA,NA,388.16,262.28,3.64,0.5500000000000003,23.51,NEUTRAL,50,2026-03-17
BA,NA,NA,NA,213.47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,39.18,25.49041,-2.7373,-1.8257,0.174,225.96,234.21,219.26,FALSE,FALSE,FALSE,TRUE,35,66.5,33.86,28.61,37.55,6636370,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,79.1,13,17,7,0,37,1.1673999,NA,NA,NA,NA,NA,NA,252.15,136.59,3.64,0.5500000000000003,23.51,NEUTRAL,50,2026-03-17
BAX,NA,NA,NA,17.08,17.08,17.0958,NA,NA,NA,NA,NA,NA,NA,NA,32.71,26.90595,-4.273,-2.8475,0.119,19.44,19.95,22.86,FALSE,FALSE,FALSE,FALSE,35,0,44.49,51.98,48.92,10845435,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,55.7,1,4,16,1,22,0.5805583,NA,NA,17.62,-15.002,NA,NA,34.85,17.08,3.64,0.5500000000000003,23.51,NEUTRAL,50,2026-03-17
BDX,NA,NA,NA,160.27,160.27,160.6651,NA,NA,NA,NA,NA,NA,NA,NA,33.99,27.99437,-1.3694,0.0523,0.131,173,166.78,151.14,FALSE,FALSE,TRUE,TRUE,25,54.8,20.14,24.84,31.85,2770480,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.91,3.24,-10.19,3,67.5,5,4,11,0,20,0.26323053,NA,NA,161.64,-8.29,NA,NA,185.39,129.83,3.64,0.5500000000000003,23.51,NEUTRAL,50,2026-03-17
BKNG,NA,NA,NA,4293.02,4293.02,4293.1434,NA,NA,NA,NA,NA,NA,NA,NA,46.14,24.83314,-1.6892,-2.4178,0.584,4236.21,4673.08,5203.94,TRUE,FALSE,FALSE,FALSE,45,21.7,52.36,41.24,32.46,566475,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,48.8,48.04,1.58,4,76.7,11,26,8,0,45,1.2237358,NA,NA,4442.33,7.546,NA,NA,5815.92,3870.83,3.64,0.5500000000000003,23.51,NEUTRAL,50,2026-03-17
BMY,NA,NA,NA,59.71,59.71,59.5206,NA,NA,NA,NA,NA,NA,NA,NA,49.87,23.44434,0.5904,1.3592,0.245,60.7,58.19,50.17,FALSE,TRUE,TRUE,TRUE,45,86.5,19.07,23.57,28.82,12173805,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,63.2,6,9,19,2,36,0.2859269,NA,NA,59.71,-1.06,NA,NA,62.37,42.6,3.64,0.5500000000000003,23.51,NEUTRAL,50,2026-03-17
BSX,NA,NA,NA,69.79,69.79,69.5769,NA,NA,NA,NA,NA,NA,NA,NA,32.81,44.68176,-4.6809,-4.7316,0.179,73.2,82.51,96.42,FALSE,FALSE,FALSE,FALSE,40,3.1,27.42,46.6,31.43,12955420,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.8,0.78,2.56,4,81.9,14,23,3,0,40,0.6991332,NA,NA,71.2,-6.672,NA,NA,108.14,68.55,3.64,0.5500000000000003,23.51,NEUTRAL,50,2026-03-17
CAT,NA,NA,NA,699.78,699.78,700.8558,NA,NA,NA,NA,NA,NA,NA,NA,46.1,21.5979,-0.1702,0.9982,0.211,732.05,691.45,527.07,FALSE,TRUE,TRUE,TRUE,35,85,31.2,36.82,33.51,2863445,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,67.6,8,10,14,2,34,1.5851445,NA,NA,702,-8.206,NA,NA,775,273.94,3.64,0.5500000000000003,23.51,NEUTRAL,50,2026-03-17
CL,NA,NA,NA,90.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,43.86,NA,-0.4321,0.835,0.181,94.27,89.88,84.77,FALSE,TRUE,TRUE,TRUE,40,63.4,25.12,24.74,21.83,6454000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,68.3,5,14,10,0,30,0.29028141,NA,NA,89.94,-5.97,NA,NA,99.14,74.98,3.64,0.5500000000000003,23.51,NEUTRAL,50,2026-03-17
CMG,NA,NA,NA,34.08,34.08,33.6382,NA,NA,NA,NA,NA,NA,NA,NA,38.97,23.092533,-3.4296,-2.4314,0.203,36.19,37.95,41.22,FALSE,FALSE,FALSE,FALSE,35,15,39.67,33.84,40.6,15621595,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,73.3,10,20,13,0,43,1.0397085,NA,NA,34.41,-9.161,NA,NA,58.24,29.81,3.64,0.5500000000000003,23.51,NEUTRAL,50,2026-03-17
