symbol,last_fetched,company_av,sector_av,industry,market_cap,pe_ratio,pe_forward,pb_ratio,eps,eps_forward,roe,roa,profit_margin,operating_margin,revenue,revenue_per_share,ebitda,ev_ebitda,earningsGrowth,revenue_growth,beta_av,analyst_target,analyst_strong_buy,analyst_buy,analyst_hold,analyst_sell,analyst_strong_sell,shares_outstanding,dividend_yield,peg_ratio,ev_revenue,book_value,high_52w_av,low_52w_av
AAPL,2026-07-25,Apple Inc.,TECHNOLOGY,CONSUMER ELECTRONICS,4724335051000,39.52,34.13,44.95,8.14,8.14,1.415,0.262,0.272,0.323,451442016000,30.53,159975997000,30.02,0.218,0.166,1.097,318.25,6,22,16,1,2,14687356000,0.0032,2.622,10.64,7.26,334.99,200.7
ABBV,2026-07-25,AbbVie Inc,HEALTHCARE,DRUG MANUFACTURERS - GENERAL,453924454000,123.52,17.95,50.46,2.08,2.08,0.623,0.1,0.0579,0.322,62819000000,35.5,29915001000,30.2,-0.462,0.124,0.283,266.89,8,16,6,0,1,1766793000,0.0266,0.416,8.13,-3.767,260.96,181.97
ACN,2026-07-25,Accenture plc,TECHNOLOGY,INFORMATION TECHNOLOGY SERVICES,84900848000,11.19,9.47,2.688,12.4,12.4,0.244,0.109,0.107,0.17,73100591000,118.32,12943768000,6.81,0.09,0.056,1.122,178.89,2,12,13,0,0,611942000,0.0465,1.018,1.148,52.12,285.21,116.75
AMD,2026-07-25,Advanced Micro Devices Inc,TECHNOLOGY,SEMICONDUCTORS,887747838000,185.46,76.92,13.97,2.91,2.91,0.0806,0.0365,0.134,0.144,37454000000,23.02,7430000000,110.33,0.912,0.378,2.469,541.66,5,37,9,0,0,1630601000,NA,1.294,23.82,39.55,584.73,149.22
AMGN,2026-07-25,Amgen Inc,HEALTHCARE,DRUG MANUFACTURERS - GENERAL,200501625000,25.45,16.45,21.5,14.6,14.6,1.013,0.0835,0.21,0.338,37220000000,69.12,16918000000,14.57,0.044,0.058,0.403,356.69,4,10,17,2,1,539708000,0.0264,2.006,6.52,17.03,388.36,264.02
AMZN,2026-07-25,Amazon.com Inc,CONSUMER CYCLICAL,INTERNET RETAIL,2513506402000,29.32,28.9,5.96,7.97,7.97,0.243,0.0685,0.122,0.131,742775980000,69.48,155860992000,14.33,0.748,0.166,1.461,313.13,15,47,4,0,0,10757109000,NA,1.314,3.636,41.09,278.56,196
AVGO,2026-07-25,Broadcom Inc,TECHNOLOGY,SEMICONDUCTORS,1817015091000,63.65,21.01,21.29,6,6,0.373,0.121,0.389,0.49,75464999000,15.94,42084000000,45.13,0.854,0.479,1.462,525.44,7,37,4,0,0,4757580000,0.0065,0.441,25.34,18.43,494.18,279.54
BAC,2026-07-25,Bank of America Corp,FINANCIAL SERVICES,BANKS - DIVERSIFIED,424025588000,14.13,13.5,1.566,4.36,4.36,0.112,0.0097,0.295,0.383,113931002000,15.59,NA,NA,0.36,0.214,1.175,68.11,6,15,3,0,0,7017967000,0.0183,1.063,7.08,39.34,62.27,43.8
BLK,2026-07-25,BlackRock Inc,FINANCIAL SERVICES,ASSET MANAGEMENT,171400724000,25.32,18.98,2.889,40.97,40.97,0.119,0.0362,0.241,0.351,27299000000,176.03,11111000000,17.1,0.197,0.306,1.443,1313.5,4,10,3,0,0,154995000,0.0207,1.137,6.07,364.87,1200.54,912.25
CAT,2026-07-25,Caterpillar Inc,INDUSTRIALS,FARM & HEAVY CONSTRUCTION MACHINERY,412017918000,44.24,36.36,21.95,20.22,20.22,0.513,0.0852,0.133,0.182,70755000000,151.47,14557000000,29.87,0.302,0.222,1.565,970.37,1,14,11,2,0,460592000,0.0068,2.086,6.34,40.51,1071.47,401.84
