bucket,rebalance_date,mean_daily_alpha,cum_alpha,hit_rate,n_stocks
1,2024-02-08,4.6024071728692153e-4,0.029295045314782515,0.48717948717948717,39
2,2024-02-08,0.0013755778622479664,0.08765550501751927,0.6410256410256411,39
3,2024-02-08,-2.8485113876858744e-5,0.008605773716013933,0.48717948717948717,39
4,2024-02-08,0.0010157750312517922,0.06761052527470335,0.5641025641025641,39
5,2024-02-08,0.0010760563927398558,0.049435755823500224,0.5384615384615384,39
1,2024-03-11,3.707762971810901e-4,0.01876199767062537,0.5897435897435898,39
2,2024-03-11,-0.0013879490504348187,-0.08477601653861172,0.28205128205128205,39
3,2024-03-11,-8.906854434932925e-4,-0.057135028734900326,0.38461538461538464,39
4,2024-03-11,-0.0012870377078984497,-0.07456984755070502,0.28205128205128205,39
5,2024-03-11,-0.0012454632658223145,-0.07635445306436751,0.38461538461538464,39
1,2024-04-10,-2.3210930736941967e-4,-0.02240626381160665,0.5128205128205128,39
2,2024-04-10,-0.0010707585062964063,-0.07053451952931321,0.46153846153846156,39
3,2024-04-10,-0.0010191125507799498,-0.06708888471021883,0.2564102564102564,39
4,2024-04-10,-0.0010263284902359059,-0.06958069808289494,0.3076923076923077,39
5,2024-04-10,-0.001801204667638359,-0.09445908617305425,0.3333333333333333,39
1,2024-05-09,-1.049244232410521e-4,-0.018387918452196002,0.5641025641025641,39
2,2024-05-09,-0.0012489034456402938,-0.09121541554176617,0.358974358974359,39
3,2024-05-09,-0.0012808890915248527,-0.07702368222746635,0.3333333333333333,39
4,2024-05-09,-2.094299462643517e-6,-0.006755524777555523,0.5128205128205128,39
5,2024-05-09,-6.386674853075318e-4,-0.04280775058889283,0.4358974358974359,39
1,2024-06-10,-6.917920521447449e-4,-0.04982671538257338,0.4358974358974359,39
2,2024-06-10,-1.5050507810456779e-4,-0.007633036109185283,0.6153846153846154,39
3,2024-06-10,-3.7144171024209135e-4,-0.03011032735884927,0.5641025641025641,39
4,2024-06-10,1.5876623613706044e-4,-8.746081525526432e-5,0.5128205128205128,39
5,2024-06-10,3.526622614252508e-4,0.01382493006708725,0.7435897435897436,39
1,2024-07-11,0.0012301578603939737,0.07537384826207726,0.6923076923076923,39
2,2024-07-11,-5.312297524570256e-4,-0.03682918714870093,0.46153846153846156,39
3,2024-07-11,-2.561879392417714e-4,-0.019065819472002327,0.48717948717948717,39
4,2024-07-11,7.316140920858516e-4,0.036829419596824634,0.6410256410256411,39
5,2024-07-11,7.871414325844206e-4,0.040767885738594245,0.6410256410256411,39
1,2024-08-09,0.0014227658578504195,0.0935079534373684,0.6410256410256411,39
2,2024-08-09,6.329780717096486e-4,0.034531257438221656,0.5641025641025641,39
3,2024-08-09,-1.8804346584574332e-4,-0.010326065467288106,0.5128205128205128,39
4,2024-08-09,0.0011187773644998013,0.08223799305138783,0.5641025641025641,39
5,2024-08-09,0.0010396069676898614,0.05769853543559989,0.6153846153846154,39
1,2024-09-10,0.001408656867406728,0.09963900320583667,0.5897435897435898,39
2,2024-09-10,7.886972392370115e-4,0.06536478224969633,0.5897435897435898,39
3,2024-09-10,0.0012199850883783585,0.0985129114897651,0.5641025641025641,39
4,2024-09-10,0.0014048466284325562,0.11664270556957385,0.5384615384615384,39
5,2024-09-10,0.005171281352074333,0.5413468993253248,0.7948717948717948,39
1,2024-10-09,0.001047123218968744,0.06302472181368207,0.717948717948718,39
2,2024-10-09,0.001695128974892463,0.12643698052838725,0.5897435897435898,39
3,2024-10-09,1.1783480927927614e-4,0.00875959861034083,0.5384615384615384,39
4,2024-10-09,0.0012552643734454892,0.09685682194890835,0.5897435897435898,39
5,2024-10-09,0.004472216810160924,0.5385431032453795,0.6410256410256411,39
1,2024-11-07,0.0015849865062196023,0.10237924192898366,0.6153846153846154,39
2,2024-11-07,8.609106136652156e-4,0.06347237034483166,0.6410256410256411,39
3,2024-11-07,0.003101255711202929,0.40541905687413327,0.6153846153846154,39
4,2024-11-07,0.0013221967189258293,0.13605851773193173,0.48717948717948717,39
5,2024-11-07,-7.26363955213321e-4,-0.069363825569872,0.4358974358974359,39
1,2024-12-09,-6.260366703293605e-4,-0.09525504258112094,0.3076923076923077,39
2,2024-12-09,-0.0015183438706947595,-0.09503748500403152,0.23076923076923078,39
3,2024-12-09,-4.911192198289666e-4,-0.0373863887640743,0.4358974358974359,39
4,2024-12-09,-8.562705759171945e-4,-0.04955753728907727,0.46153846153846156,39
5,2024-12-09,3.0866535890413765e-4,-0.009431308941630169,0.5128205128205128,39
1,2025-01-10,-1.9440561556899113e-4,-0.05472992590827208,0.46153846153846156,39
2,2025-01-10,-5.20777826147385e-5,-0.009978499006005332,0.41025641025641024,39
3,2025-01-10,-9.924033937004514e-4,-0.0550206419354815,0.4358974358974359,39
4,2025-01-10,-0.0014712508966725779,-0.09655343920797442,0.3333333333333333,39
5,2025-01-10,-0.0012397598948819533,-0.08294854106735179,0.41025641025641024,39
1,2025-02-11,-3.9788115167448006e-5,-0.011800187400586264,0.38461538461538464,39
2,2025-02-11,-2.3514595492568732e-4,-0.02902338725363775,0.3333333333333333,39
3,2025-02-11,1.831439117775518e-4,-0.004925375824439609,0.46153846153846156,39
4,2025-02-11,-6.26205069977879e-4,-0.044136679753328606,0.46153846153846156,39
5,2025-02-11,2.470573510990368e-5,-0.006597844475467734,0.46153846153846156,39
1,2025-03-13,0.003402137440938263,0.24525744968189633,0.7692307692307693,39
2,2025-03-13,9.157496137444591e-4,0.04442614163899832,0.6153846153846154,39
3,2025-03-13,-1.4082409473485907e-4,-0.010568822108894706,0.48717948717948717,39
4,2025-03-13,5.424747322285839e-5,-0.008857265399648746,0.358974358974359,39
5,2025-03-13,-1.6345107690337034e-4,-0.022713717792258722,0.5128205128205128,39
1,2025-04-11,0.0017382554734015328,0.12000637954794637,0.6410256410256411,39
2,2025-04-11,8.849930566152324e-4,0.07615690639772975,0.48717948717948717,39
3,2025-04-11,0.0011484471481271572,0.08050557379642602,0.5384615384615384,39
4,2025-04-11,0.0010847510365206501,0.08416013208216314,0.5897435897435898,39
5,2025-04-11,0.0014578643133688197,0.08428004049164871,0.6923076923076923,39
1,2025-05-13,5.181637629898899e-4,0.04296201485825194,0.5384615384615384,39
2,2025-05-13,0.0014108638740138648,0.09536699021872183,0.5897435897435898,39
3,2025-05-13,-7.654341879930501e-4,-0.04701902830295476,0.3333333333333333,39
4,2025-05-13,6.971690267077765e-6,0.0018673313768833727,0.41025641025641024,39
5,2025-05-13,-6.648552021939753e-4,-0.06572006051607146,0.48717948717948717,39
1,2025-06-12,3.3639645564978814e-6,-0.00309005976879817,0.5128205128205128,39
2,2025-06-12,8.765302952099568e-4,0.05394738422195368,0.48717948717948717,39
3,2025-06-12,6.004039480702021e-4,0.038710680136030344,0.5384615384615384,39
4,2025-06-12,2.4109729508394012e-4,0.011610802763404383,0.48717948717948717,39
5,2025-06-12,-5.536658756582056e-4,-0.048699383999276015,0.5128205128205128,39
1,2025-07-15,0.0012952817012950764,0.07795775635601769,0.6923076923076923,39
2,2025-07-15,3.883462006220149e-4,0.04693010269198809,0.41025641025641024,39
3,2025-07-15,2.1231323154667409e-4,0.020622180320752456,0.4358974358974359,39
4,2025-07-15,3.3704468841151496e-4,0.014579902290003513,0.48717948717948717,39
5,2025-07-15,-2.0125816498180868e-4,-0.02712725386100418,0.38461538461538464,39
1,2025-08-13,0.0014776315287679078,0.08438605947951398,0.6666666666666666,39
2,2025-08-13,3.042360755777332e-4,0.018795914043721083,0.46153846153846156,39
3,2025-08-13,2.2015103400180826e-4,0.024916797349249346,0.48717948717948717,39
4,2025-08-13,-1.5372298421440726e-4,-0.009319745180986425,0.4358974358974359,39
5,2025-08-13,-1.2218564101592022e-4,-0.010096339866507872,0.4358974358974359,39
1,2025-09-12,0.0014811947389820827,0.11401883815597794,0.5897435897435898,39
2,2025-09-12,0.0011365067238918597,0.06765505793415341,0.5384615384615384,39
3,2025-09-12,0.001028156669700609,0.07634254204743343,0.5128205128205128,39
4,2025-09-12,-2.0381358302921023e-4,-0.01661916371574848,0.41025641025641024,39
5,2025-09-12,-1.2136201324202979e-5,-0.009109570773582699,0.41025641025641024,39
1,2025-10-13,0.001617871751771836,0.11766118329481004,0.5384615384615384,39
2,2025-10-13,7.628559747293958e-5,-0.003858422532807665,0.5897435897435898,39
3,2025-10-13,0.0012083652570767391,0.07531743836018161,0.6410256410256411,39
4,2025-10-13,-2.0372992269516538e-4,-0.019997530114546202,0.5128205128205128,39
5,2025-10-13,-2.600373252719714e-4,-0.031071648679990516,0.5384615384615384,39
1,2025-11-11,9.436894841388491e-4,0.13067986533255468,0.5128205128205128,39
2,2025-11-11,-5.102727279688239e-4,-0.016412110216754826,0.5384615384615384,39
3,2025-11-11,8.301488534593472e-4,0.0657239695605807,0.6410256410256411,39
4,2025-11-11,-0.0013039261035848076,-0.06615832480767693,0.4358974358974359,39
5,2025-11-11,-5.410534143735684e-4,-0.02280618270555367,0.6153846153846154,39
1,2025-12-11,9.730496141810897e-6,0.04681157531750613,0.46153846153846156,39
2,2025-12-11,2.577559436796099e-5,0.00784049912908714,0.48717948717948717,39
3,2025-12-11,-0.0013451018027609125,-0.0765834178107917,0.41025641025641024,39
4,2025-12-11,-0.0011415889151883195,-0.06364239138343415,0.41025641025641024,39
5,2025-12-11,-0.001609320082859816,-0.08942185139284027,0.38461538461538464,39
1,2026-01-13,0.0015089043042840551,0.11511932729079481,0.6153846153846154,39
2,2026-01-13,5.814684771575332e-4,0.03996739840600169,0.48717948717948717,39
3,2026-01-13,-6.065999239326682e-4,-0.038150329272639553,0.48717948717948717,39
4,2026-01-13,-0.00294495390705628,-0.16679490970351682,0.2564102564102564,39
5,2026-01-13,-0.0032513067613295864,-0.17408895260213275,0.358974358974359,39
1,2026-02-12,0.0015791049390988397,0.08871153712309279,0.5897435897435898,39
2,2026-02-12,5.824131309268099e-4,0.03891639067827187,0.41025641025641024,39
3,2026-02-12,-3.860392269363974e-4,-0.031181158218002148,0.46153846153846156,39
4,2026-02-12,-0.0018275655914293156,-0.10534730079710944,0.3076923076923077,39
5,2026-02-12,-0.0012873621209049616,-0.08959149083617315,0.28205128205128205,39
1,2026-03-16,0.0018362513657196903,0.10291914893555276,0.5641025641025641,39
2,2026-03-16,0.0012106668397285825,0.08599855438687776,0.5641025641025641,39
3,2026-03-16,1.693256985522935e-4,0.01250155163954843,0.5641025641025641,39
4,2026-03-16,1.9114682672657706e-4,0.007391828718387656,0.46153846153846156,39
5,2026-03-16,-4.078778859416427e-4,-0.048009540482435255,0.46153846153846156,39
1,2026-04-15,7.860605894150488e-4,0.010461289430472512,0.6153846153846154,39
2,2026-04-15,6.672872431979034e-4,0.036961488131913085,0.5384615384615384,39
3,2026-04-15,3.525012697894696e-4,0.023319362969135237,0.5128205128205128,39
4,2026-04-15,9.244057047224599e-4,0.05472172061611067,0.5384615384615384,39
5,2026-04-15,0.0022437517651795118,0.1275538021391949,0.6666666666666666,39
1,2026-05-14,-2.899537089953274e-4,-0.03818946226406275,0.4358974358974359,39
2,2026-05-14,0.0015631712355038986,0.09451586085862937,0.6923076923076923,39
3,2026-05-14,9.080196750755851e-4,0.04898276902201163,0.6410256410256411,39
4,2026-05-14,0.019024953474664305,6.110095046637125,0.7692307692307693,39
5,2026-05-14,0.004076661955543497,0.26788996310147567,0.7692307692307693,39
