symbol,company,sector,industry,price,prev_close,vwap,market_cap,shares_outstanding,ret_1d,ret_5d,ret_1m,ret_3m,ret_6m,ret_1y,rsi14,adx,macd,macd_signal,bb_pct,sma20,sma50,sma200,above_ma20,above_ma50,above_ma200,golden_cross,trend_strength,range_pct,vol_20d,vol_60d,vol_252d,avg_vol_20d,pe_ratio,pb_ratio,ps_ratio,peg_ratio,roe,roa,roic,profit_margin,gross_margin,operating_margin,debt_equity,current_ratio,interest_coverage,revenue_growth,earnings_growth,fcf_growth,eps_growth,dcf_value,dcf_upside,eps,eps_estimate,eps_surprise_pct,earnings_beat_count,analyst_score,strong_buy,buy,hold,sell,total_analysts,beta,short_ratio,short_pct,adj_close_tiingo,tiingo_ret1m,sec_revenue,sec_net_income,high_52w,low_52w,fed_rate,yield_spread,vix,regime,data_confidence,last_updated,z_pe,z_pb,z_ps,z_peg,z_dcf,z_roe,z_roa,z_roic,z_margin,z_gmargin,z_omargin,z_cr,z_ic,z_de,z_rev_growth,z_earn_growth,z_fcf_growth,z_eps_growth,z_eps_surp,z_beat_count,z_ret1d,z_ret5d,z_ret1m,z_ret3m,z_ret6m,z_ret1y,z_rsi,z_adx,z_trend,z_analyst,z_news,z_beta,z_short,z_vol_ratio,value_score,quality_score,growth_score,momentum_score,safety_score,master_score_raw,confidence_penalty,master_score,master_percentile,value_percentile,quality_percentile,growth_percentile,momentum_percentile,rating,primary_driver,confidence_1d,confidence_5d,expected_return_1d,signal_matches,valuation_ok,popularity_penalty,chase_penalty,sweet_spot_score,sweet_spot_confidence,top15_eligible,sweet_spot_rank,is_unicorn_eligible,unicorn_score,unicorn_confidence,unicorn_rank,tier,score_explanation,rating_with_regime
AMGN,NA,NA,NA,366.25,366.25,366.678,NA,NA,NA,NA,NA,NA,NA,NA,47.29,17.86223,0.6705,1.4452,0.098,376.34,357.62,315.28,FALSE,TRUE,TRUE,TRUE,55,82.6,23.76,29.93,28.59,2500175,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.29,4.72,12.08,4,38,6,15,18,2,42,0.47561342,NA,NA,361.13,-3.276,NA,NA,388.16,262.28,3.64,0.5500000000000003,23.51,NEUTRAL,50,2026-03-17,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,61.4,62.2,50,50,50,50,50,50,52,36.5,62,32.8,50,39.4,50,58.7,50,50,51.8,49.8,48.4,49.68,5,44.7,36.3,50.8,50.8,96.8,35.5,Hold,Growth,NA,NA,NA,NA,TRUE,0,0,49.8,50,FALSE,NA,FALSE,50.6,50,NA,Hold,Growth: 96.8th | Momentum: 35.5th | Quality: 50.8th | Value: 50.8th,Hold (NEUTRAL)
BA,NA,NA,NA,213.47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,39.18,25.49041,-2.7373,-1.8257,0.174,225.96,234.21,219.26,FALSE,FALSE,FALSE,TRUE,35,66.5,33.86,28.61,37.55,6636370,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,65.2,13,17,7,0,37,1.1673999,NA,NA,NA,NA,NA,NA,252.15,136.59,3.64,0.5500000000000003,23.51,NEUTRAL,50,2026-03-17,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,38.7,51.9,29.3,71.7,50,62.4,50,53.3,50,50,50,49.7,56,51.18,5,46.2,90.3,50.8,50.8,52.4,27.4,Strong Buy,Growth,NA,NA,NA,NA,TRUE,0,0,50.7,50,FALSE,NA,FALSE,49.9,50,NA,Strong Buy,Growth: 52.4th | Momentum: 27.4th | Quality: 50.8th | Value: 50.8th,Strong Buy (NEUTRAL)
BAX,NA,NA,NA,17.08,17.08,17.0958,NA,NA,NA,NA,NA,NA,NA,NA,32.71,26.90595,-4.273,-2.8475,0.119,19.44,19.95,22.86,FALSE,FALSE,FALSE,FALSE,35,0,44.49,51.98,48.92,10845435,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23.8,1,4,16,1,22,0.5805583,NA,NA,17.62,-15.002,NA,NA,34.85,17.08,3.64,0.5500000000000003,23.51,NEUTRAL,50,2026-03-17,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,28.1,54.8,29.3,12.6,50,46.2,50,52.7,50,50,50,49.4,49.3,48.51,5,43.5,4.8,50.8,50.8,52.4,9.7,Sell,Growth,NA,NA,NA,NA,TRUE,0,0,48.5,50,FALSE,NA,FALSE,49.8,50,NA,Sell,Growth: 52.4th | Momentum: 9.7th | Quality: 50.8th | Value: 50.8th,Sell (NEUTRAL)
BDX,NA,NA,NA,160.27,160.27,160.6651,NA,NA,NA,NA,NA,NA,NA,NA,33.99,27.99437,-1.3694,0.0523,0.131,173,166.78,151.14,FALSE,FALSE,TRUE,TRUE,25,54.8,20.14,24.84,31.85,2770480,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.91,3.24,-10.19,3,44.7,5,4,11,0,20,0.26323053,NA,NA,161.64,-8.29,NA,NA,185.39,129.83,3.64,0.5500000000000003,23.51,NEUTRAL,50,2026-03-17,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,25,43.9,50,50,50,50,50,50,30.2,57,12.9,42.4,50,25.7,50,73.8,50,50,47.2,49.5,47.4,48.73,5,43.7,8.9,50.8,50.8,3.2,15.3,Sell,Quality,NA,NA,NA,NA,TRUE,0,0,48.9,50,FALSE,NA,FALSE,48.7,50,NA,Sell,Growth: 3.2th | Momentum: 15.3th | Quality: 50.8th | Value: 50.8th,Sell (NEUTRAL)
BKNG,NA,NA,NA,4293.02,4293.02,4293.1434,NA,NA,NA,NA,NA,NA,NA,NA,46.14,24.83314,-1.6892,-2.4178,0.584,4236.21,4673.08,5203.94,TRUE,FALSE,FALSE,FALSE,45,21.7,52.36,41.24,32.46,566475,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,48.8,48.04,1.58,4,61,11,26,8,0,45,1.2237358,NA,NA,4442.33,7.546,NA,NA,5815.92,3870.83,3.64,0.5500000000000003,23.51,NEUTRAL,50,2026-03-17,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,44.2,62.2,50,50,50,50,50,50,50.1,50.6,45.6,65.7,50,58.8,50,0,50,50,50,50,38.5,49.63,5,44.6,32.3,50.8,50.8,52.4,58.1,Sell,Growth,NA,NA,NA,NA,TRUE,0,0,50.5,50,FALSE,NA,FALSE,50,50,NA,Sell,Growth: 52.4th | Momentum: 58.1th | Quality: 50.8th | Value: 50.8th,Sell (NEUTRAL)
BMY,NA,NA,NA,59.71,59.71,59.5206,NA,NA,NA,NA,NA,NA,NA,NA,49.87,23.44434,0.5904,1.3592,0.245,60.7,58.19,50.17,FALSE,TRUE,TRUE,TRUE,45,86.5,19.07,23.57,28.82,12173805,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37,6,9,19,2,36,0.2859269,NA,NA,59.71,-1.06,NA,NA,62.37,42.6,3.64,0.5500000000000003,23.51,NEUTRAL,50,2026-03-17,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,56.2,47.8,45.6,31.5,50,27.2,50,71.6,50,50,50,50.1,47.4,49.16,5,44.2,18.5,50.8,50.8,52.4,71,Sell,Momentum,NA,NA,NA,NA,TRUE,0,0,49.4,50,FALSE,NA,FALSE,50,50,NA,Sell,Growth: 52.4th | Momentum: 71th | Quality: 50.8th | Value: 50.8th,Sell (NEUTRAL)
BSX,NA,NA,NA,69.79,69.79,69.5769,NA,NA,NA,NA,NA,NA,NA,NA,32.81,44.68176,-4.6809,-4.7316,0.179,73.2,82.51,96.42,FALSE,FALSE,FALSE,FALSE,40,3.1,27.42,46.6,31.43,12955420,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.8,0.78,2.56,4,70.2,14,23,3,0,40,0.6991332,NA,NA,71.2,-6.672,NA,NA,108.14,68.55,3.64,0.5500000000000003,23.51,NEUTRAL,50,2026-03-17,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,45.8,62.2,50,50,50,50,50,50,28.3,90.8,37.5,78.8,50,53.8,50,55.5,50,50,50.2,50.2,53.2,51.36,5,46.4,93.5,50.8,50.8,88.7,77.4,Strong Buy,Growth,NA,NA,NA,NA,TRUE,0,0,51.1,50,FALSE,NA,FALSE,50.2,50,NA,Strong Buy,Growth: 88.7th | Momentum: 77.4th | Quality: 50.8th | Value: 50.8th,Strong Buy (NEUTRAL)
CAT,NA,NA,NA,699.78,699.78,700.8558,NA,NA,NA,NA,NA,NA,NA,NA,46.1,21.5979,-0.1702,0.9982,0.211,732.05,691.45,527.07,FALSE,TRUE,TRUE,TRUE,35,85,31.2,36.82,33.51,2863445,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44.9,8,10,14,2,34,1.5851445,NA,NA,702,-8.206,NA,NA,775,273.94,3.64,0.5500000000000003,23.51,NEUTRAL,50,2026-03-17,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,44.1,29.3,42.7,50,35.5,50,51,50,50,50,49.9,44.5,49.29,5,44.3,22.6,50.8,50.8,52.4,44.4,Sell,Growth,NA,NA,NA,NA,TRUE,0,0,49.7,50,FALSE,NA,FALSE,50,50,NA,Sell,Growth: 52.4th | Momentum: 44.4th | Quality: 50.8th | Value: 50.8th,Sell (NEUTRAL)
CL,NA,NA,NA,90.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,43.86,NA,-0.4321,0.835,0.181,94.27,89.88,84.77,FALSE,TRUE,TRUE,TRUE,40,63.4,25.12,24.74,21.83,6454000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,46.1,5,14,10,0,30,0.29028141,NA,NA,89.94,-5.97,NA,NA,99.14,74.98,3.64,0.5500000000000003,23.51,NEUTRAL,50,2026-03-17,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,46.4,50,37.5,44.4,50,27.5,50,34.3,50,50,50,49.9,36.3,48.69,5,43.7,8.9,50.8,50.8,52.4,44.4,Sell,Growth,NA,NA,NA,NA,TRUE,0,0,49.8,50,FALSE,NA,FALSE,50,50,NA,Sell,Growth: 52.4th | Momentum: 44.4th | Quality: 50.8th | Value: 50.8th,Sell (NEUTRAL)
CMG,NA,NA,NA,34.08,34.08,33.6382,NA,NA,NA,NA,NA,NA,NA,NA,38.97,23.092533,-3.4296,-2.4314,0.203,36.19,37.95,41.22,FALSE,FALSE,FALSE,FALSE,35,15,39.67,33.84,40.6,15621595,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,55,10,20,13,0,43,1.0397085,NA,NA,34.41,-9.161,NA,NA,58.24,29.81,3.64,0.5500000000000003,23.51,NEUTRAL,50,2026-03-17,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,38.4,47.1,29.3,57.1,50,70.6,50,47.5,50,50,50,49.6,57.5,50.77,5,45.8,82.3,50.8,50.8,52.4,19.4,Strong Buy,Growth,NA,NA,NA,NA,TRUE,0,0,50.1,50,FALSE,NA,FALSE,49.9,50,NA,Strong Buy,Growth: 52.4th | Momentum: 19.4th | Quality: 50.8th | Value: 50.8th,Strong Buy (NEUTRAL)
COP,NA,NA,NA,121.32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,68.38,NA,3.4225,3.2831,0.904,114.7,106.76,95.83,TRUE,TRUE,TRUE,TRUE,60,98.5,28.22,31.82,34.54,10142675,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,55.3,8,16,8,1,33,0.29494932,NA,NA,122.87,13.811,NA,NA,121.89,82.66,3.64,0.5500000000000003,23.51,NEUTRAL,50,2026-03-17,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,86.5,50,70.2,57.6,50,27.8,50,59.7,50,50,50,51.1,44,50.01,5,45,50.8,50.8,50.8,52.4,97.6,Hold,Momentum,NA,NA,NA,NA,TRUE,0,0,50.6,50,FALSE,NA,FALSE,50.4,50,NA,Hold,Growth: 52.4th | Momentum: 97.6th | Quality: 50.8th | Value: 50.8th,Hold (NEUTRAL)
