symbol,price,high_52w,low_52w,last_fetched,industry,market_cap,pe_ratio,pe_forward,pb_ratio,eps,eps_forward,roe,roa,profit_margin,operating_margin,revenue,revenue_per_share,ebitda,ev_ebitda,earningsGrowth,revenue_growth,beta_av,analyst_target,analyst_strong_buy,analyst_buy,analyst_hold,analyst_sell,analyst_strong_sell,shares_outstanding,dividend_yield,peg_ratio,ev_revenue,book_value,pe_score,pb_score,roe_score,margin_score,analyst_total,analyst_score,analyst_upside,fundamental_score
BAC,61.49,62.03,43.8,2026-07-17,BANKS - DIVERSIFIED,435056509000,14.16,13.33,1.532,4.33,4.33,0.112,0.0097,0.295,0.383,113931002000,15.59,NA,NA,0.36,0.214,1.175,67.26,6,15,3,0,0,7096591000,0.0182,1.059,7.22,39.34,90,75,65,90,24,78.1,0.0938363961619776,78.31
ACN,144.61,285.21,116.75,2026-07-17,INFORMATION TECHNOLOGY SERVICES,88492941000,11.55,9.26,2.629,12.52,12.52,0.244,0.109,0.107,0.17,73100591000,118.32,12943768000,6.66,0.09,0.056,1.122,179.13,2,12,13,0,0,611942000,0.0476,0.996,1.123,52.12,90,75,80,60,27,64.8,0.23871101583569587,76.98
JPM,343.15,341.91,276.44,2026-07-10,BANKS - DIVERSIFIED,885899985000,16.23,15.22,2.605,20.37,20.37,0.165,0.0127,0.339,0.437,173559005000,63.1,NA,NA,0.172,0.127,0.982,352.43,4,8,12,0,0,2679511000,0.0174,1.769,6.16,128.38,75,75,65,90,24,66.7,0.02704356695322754,73.42
INTU,294.79,804.66,251.72,2026-07-17,SOFTWARE - APPLICATION,76508299000,17.24,10.37,3.745,16.22,16.22,0.225,0.0947,0.219,0.47,20925000000,75.14,6410000000,10.93,0.107,0.104,0.996,473.68,5,22,6,1,0,273537000,0.0164,0.733,3.618,75.22,75,60,80,75,34,72.8,0.6068387665795989,73.28
IBM,219.05,332.46,204.44,2026-07-17,INFORMATION TECHNOLOGY SERVICES,204542542000,19.26,23.42,8.27,11.3,11.3,0.358,0.053900000000000003,0.156,0.138,68910998000,73.71,16665000000,18.77,0.142,0.095,0.675,283.8,3,12,7,0,1,939885000,0.0318,2.709,4.8,35.08,75,40,95,75,23,67.4,0.2955946131020315,73.24
MSFT,401.1,551.05,349.2,2026-07-10,SOFTWARE - INFRASTRUCTURE,2847616270000,23.15,19.92,6.93,16.56,16.56,0.34,0.148,0.393,0.463,318272995000,42.84,184457003000,14.34,0.234,0.183,1.13,559.93,13,41,3,0,0,7428435000,0.0092,1.192,8.96,55.78,60,40,95,90,57,79.4,0.39598603839441515,72.94
META,664.54,793.65,519.78,2026-07-10,INTERNET CONTENT & INFORMATION,1530973782000,22.37,19.57,6.41,26.96,26.96,0.329,0.164,0.328,0.406,214962995000,85.21,109308002000,14.06,0.624,0.331,1.246,828.17,8,49,6,0,0,2196046000,0.0034,0.889,7.3,96.01,60,40,95,90,63,75.8,0.24623047521593885,72.58
PG,151.5,166,135.63,2026-07-10,HOUSEHOLD & PERSONAL PRODUCTS,345564086000,21.7,20.96,6.13,6.84,6.84,0.311,0.109,0.192,0.231,86716998000,37.09,25042000000,14.99,0.058,0.074,0.38,163.43,5,9,11,0,0,2328599000,0.0277,4.194,4.303,23.08,60,40,95,75,25,69,0.0787458745874588,69.65
GOOGL,354.46,408.37,183.19,2026-07-17,INTERNET CONTENT & INFORMATION,4527154528000,28.34,25,8.98,13.09,13.09,0.389,0.146,0.379,0.361,422498009000,34.93,161315996000,19.45,0.82,0.218,1.247,431.72,14,43,7,0,0,5867156000,0.0023,1.388,10.07,39.51,45,40,95,90,64,77.7,0.21796535575241227,69.02
ORCL,124.21,343.01,134.57,2026-07-10,SOFTWARE - INFRASTRUCTURE,404677394000,24.26,17.36,10.76,5.79,5.79,0.534,0.0651,0.254,0.362,67357000000,23.55,30493999000,15.94,0.219,0.206,1.712,251.85,8,29,5,1,0,2880471000,0.0141,0.793,7.92,13.04,60,20,95,90,43,75.6,1.0276145237903551,68.56
CRM,172.68,271.7,146.32,2026-07-17,SOFTWARE - APPLICATION,138222633000,19.56,12.58,4.096,8.63,8.63,0.169,0.057,0.187,0.218,42829001000,46.2,12895000000,12.44,0.522,0.133,1.178,245.16,6,34,10,0,2,819000000,0.0101,0.817,3.976,41.8,75,60,65,75,52,70.2,0.41973592772758855,68.52
QCOM,170.61,258.96,121.54,2026-07-10,SEMICONDUCTORS,196634231000,20.08,16.58,7.21,9.29,9.29,0.361,0.127,0.223,0.221,44486001000,41.33,12999000000,14.48,1.73,-0.035,1.638,216.55,2,10,22,1,2,1054000000,0.0195,0.59,4.541,25.76,60,40,95,75,37,56.1,0.2692690932536193,68.36
NFLX,74.35,127.75,70.86,2026-07-10,ENTERTAINMENT,318294262000,24.54,23.7,10.28,3.08,3.08,0.485,0.154,0.285,0.323,46889992000,11.07,14288498000,9.45,0.864,0.162,1.517,113.71,8,29,13,0,0,4210799000,NA,1.493,6.87,7.39,60,20,95,90,50,72.5,0.5293880295897782,68.25
MS,218.37,230.47,132.07,2026-07-10,CAPITAL MARKETS,350362305000,19.76,18.38,3.29,11.24,11.24,0.164,0.0127,0.247,0.406,73174000000,46.66,NA,NA,0.319,0.163,1.218,216.48,2,8,13,1,1,1577285000,0.0183,2.589,6.75,66.18,75,60,65,75,25,59,-0.008655035032284722,67.4
UPS,117.18,118.73,78.17,2026-07-11,INTEGRATED FREIGHT & LOGISTICS,94129693000,17.8,15.36,5.93,6.22,6.22,0.334,0.0719,0.0594,0.0633,88317002000,104.03,11834000000,9.99,-0.272,-0.016,1.03,114.65,0,13,11,1,2,746582000,0.0597,1.735,1.317,19.11,75,40,95,40,27,57.4,-0.021590715139102244,66.99
NEE,89.35,98.03,67.73,2026-07-10,UTILITIES - REGULATED ELECTRIC,182365340000,22.48,22.17,3.336,3.89,3.89,0.103,0.0241,0.294,0.302,27865999000,13.45,14159000000,16.77,1.6,0.073,0.667,99.25,3,11,7,1,0,2085605000,0.0263,1.947,10.29,26.48,60,60,65,90,22,68.2,0.11080022383883611,66.82
PEP,139.43,168.19,128.66,2026-07-10,BEVERAGES - NON-ALCOHOLIC,194802745000,22.77,16.67,9.16,6.26,6.26,0.439,0.0909,0.0915,0.17,95448998000,69.78,18695999000,14.6,0.278,0.085,0.368,165.55,4,4,15,1,0,1366768000,0.0392,1.543,2.491,15.63,60,40,95,60,24,61.5,0.1873341461665352,66.65
HON,226.33,258.86,193.84,2026-07-17,CONGLOMERATES,70601630000,17.8,13.28,5.18,12.52,12.52,0.243,0.0595,0.109,0.21,37660000000,118.5,8526000000,15.5,-0.419,0.024,0.93,246.25,3,12,8,1,1,316827000,0.0417,8.3,2.516,42.89,75,40,80,60,25,65,0.08801307824857503,66.25
MA,551.54,598.04,463.74,2026-07-10,CREDIT SERVICES,459339891000,30.76,27.17,70.11,16.9,16.9,2.321,0.25,0.459,0.608,33938999000,37.72,21376999000,22.67,0.212,0.158,0.729,643.84,9,29,2,0,0,877036000,0.0061,1.64,14.2,7.58,45,20,95,90,40,79.4,0.16734960292997803,65.19
V,365.14,365.02,293.28,2026-07-11,CREDIT SERVICES,662187213000,30.3,23.2,18.81,11.49,11.49,0.604,0.192,0.517,0.673,43027001000,22.45,30143001000,23.67,0.355,0.171,0.754,401.16,8,29,3,0,0,1659710000,0.0075,1.525,15.61,18.64,45,20,95,90,40,78.1,0.09864709426521345,65.06
NVDA,207.4,236.26,161.8,2026-07-10,SEMICONDUCTORS,4943990227000,30.11,22.22,24.14,6.78,6.78,1.143,0.527,0.63,0.656,253491003000,10.42,165514002000,24.1,2.145,0.852,2.211,301.62,10,48,2,1,0,24221000000,2e-4,0.6,18.35,8.07,45,20,95,90,61,77.5,0.45429122468659594,65
KO,84.92,85.68,64.04,2026-07-10,BEVERAGES - NON-ALCOHOLIC,358827033000,26.23,25.84,10.76,3.18,3.18,0.434,0.0951,0.278,0.351,49284002000,11.45,16715000000,20.38,0.182,0.121,0.349,85.97,7,12,5,0,1,4302482000,0.0245,4.302,7.96,7.82,45,20,95,90,25,74,0.012364578426754558,64.65
BLK,1087.05,1200.54,912.25,2026-07-17,ASSET MANAGEMENT,175764161000,25.88,19.23,2.821,41.77,41.77,0.119,0.0362,0.244,0.356,25638001000,165.35,10341000000,15.27,0.459,0.27,1.443,1302.56,4,10,3,0,0,154995000,0,1.179,6.31,364.87,45,75,65,75,17,76.5,0.1982521503150729,64.65
SPGI,457.38,543.27,359.36,2026-07-11,FINANCIAL DATA & STOCK EXCHANGES,128156156000,27.25,22.94,4.09,15.89,15.89,0.139,0.0692,0.304,0.443,15730000000,52.03,7873000000,17.14,0.325,0.104,1.079,510,5,18,1,0,0,296000000,0.0089,1.793,8.87,105.31,45,60,65,90,24,79.2,0.11504656959202415,64.17
