symbol,price,high_52w,low_52w,last_fetched,industry,market_cap,pe_ratio,pe_forward,pb_ratio,eps,eps_forward,roe,roa,profit_margin,operating_margin,revenue,revenue_per_share,ebitda,ev_ebitda,earningsGrowth,revenue_growth,beta_av,analyst_target,analyst_strong_buy,analyst_buy,analyst_hold,analyst_sell,analyst_strong_sell,shares_outstanding,dividend_yield,peg_ratio,ev_revenue,book_value,company,sector,pe_score,pb_score,roe_score,margin_score,analyst_total,analyst_score,analyst_upside,fundamental_score,price_now,price_1m,price_3m,price_6m,price_1y,ret_1m,ret_3m,ret_6m,ret_1y,ma20,ma50,ma200,rsi14,macd_line,macd_signal,macd_hist,bb_upper,bb_lower,bb_pct,vol_annual,avg_vol_30,beta,spy_mean_daily,mean_daily_ret,mean_daily_alpha,sd_daily_alpha,days_in_pull,today_alpha,jensen_alpha_ann,tracking_error,info_ratio,above_ma20,above_ma50,above_ma200,golden_cross,rsi_zone,macd_bullish,trend_score,rsi_score,ret3m_score,ret6m_score,macd_score,momentum_score,days_tracked,cum_alpha_all,alpha_30d,alpha_63d,alpha_hit_rate,hist_mean_alpha,hist_sd_alpha,hist_alpha_ann,hist_ir,confidence_weight,alpha_streak,squeeze_score,squeeze_tier,short_percent_float,short_ratio,short_trend,fundamentals_improving,short_float_pct,improvement_count,put_call_ratio,put_call_oi,options_volume,avg_iv,options_score,options_sentiment,above_vwap,squeeze_poly,debt_equity_poly,revenue_poly,gross_margin,fcf,shares_float,market_cap_poly,vwap,vol_ratio,open_gap_pct,debt_equity,fcf_sec,debt_equity_sec,gross_margin_sec,revenue_sec,total_debt_sec,cash_sec,rev_cagr_sec,equity_sec,total_debt,cash,rev_cagr,p_ann_alpha,p_ir,p_hit_rate,p_streak,p_alpha_63d,alpha_score_raw,alpha_score,q_pe,q_pb,q_roe,q_de,q_margin,q_analyst,quality_gate,tech_filter,options_signal,options_live,final_score,master_score,rating,signal,golden_cross_flag,squeeze_candidate,regime,confidence_band,master_percentile,expected_return_1d,primary_driver,signal_matches,close,changesPercentage,yearHigh,yearLow,priceToBook,enterpriseToEbitda,grossMargin,operatingMargin,profitMargins,returnOnEquity,revenueGrowth,debtToEquity,debt_to_equity,currentRatio,current_ratio,marketCap,mktcap_fmt,pe_fmt,ret_1m_fmt,ret_3m_fmt,ret_6m_fmt,ret_1y_fmt,value_score,quality_score,growth_score,safety_score,short_float,tier
AAPL,NA,344.27,235.78,2026-09-15,CONSUMER ELECTRONICS,4861029515000,38.24,34.72,45.21,8.71,8.71,1.488,0.271,0.276,0.326,466822988000,31.71,167959003000,29.07,0.287,0.042,1.085,325.66,6,19,14,3,2,14594180000,0.0032,2.675,10.46,7.36,Apple Inc.,TECHNOLOGY,25,20,95,90,44,63.6,NA,58.61,337.02,310.34,275.15,248.8,254.43,0.086,0.2249,0.3546,0.3246,326.948,321.5074,287.1647,62.9038,1.9022,1.5462,0.3561,344.3129,309.5831,0.79,0.2195,42279913.6364,1.0509,8e-4,0.001,2e-4,0.0135,750,-8e-4,0.0414,0.2143,0.2429,TRUE,TRUE,TRUE,TRUE,Neutral,TRUE,100,85,81.3472,72.5389,70,83.6619,767,0.0558,0.1086,0.1241,0.5794,0.0019,0.0168,0.4664,1.7447,1,0,17.1,No Signal,0.01,2.85,Decreasing,FALSE,0.9%,0,NA,NA,NA,NA,50,Unknown,FALSE,FALSE,NA,NA,0.4691,102386000000,NA,NA,NA,NA,NA,0.7659,102386000000,0.7659,0.4691,416161000000,82347000000,39544000000,0.042,107520000000,82347000000,39544000000,0.042,73.6,88.6,98.4,0,72.5,74.8,74.8,30.2,1.1,98.5,35.1,82,63.6,55.3,84,50,FALSE,74.1,74.1,Strong,Strong,TRUE,FALSE,NEUTRAL,Proven,87.6,0.0019,Alpha Leader,GX MACD RSI MA200 α>SPY,337.02,8.6,344.27,235.78,45.21,29.07,0.4691,0.326,0.276,1.488,0.042,0.7659,0.7659,NA,NA,4861029515000,$4.86T,38.2,+8.6%,+22.5%,+35.5%,+32.5%,55.3,55.3,84,53.18,0.01,Tier 2: Golden Cross
ABBV,NA,267.47,189.4,2026-09-15,DRUG MANUFACTURERS - GENERAL,462578287000,73.74,15.9,50.46,3.55,3.55,0.623,0.105,0.098,0.4,64385999000,36.39,30763000000,26.62,2.904,0.0611,0.281,278.61,8,17,5,0,1,1767117000,0.0266,0.526,8.05,-3.359,AbbVie Inc,HEALTHCARE,25,20,95,60,31,75,NA,55.25,265.08,264.52,243.14,209.4,222.61,0.0021,0.0902,0.2659,0.1908,259.6895,256.0204,229.9784,60.2742,0.9691,0.7663,0.2028,268.9676,250.4114,0.7905,0.1916,4206461.9048,0.2662,8e-4,8e-4,0,0.017,749,0.0095,0.1583,0.2703,0.0154,TRUE,TRUE,TRUE,TRUE,Neutral,TRUE,100,85,64.2487,63.2124,70,76.6671,766,0.0048,0.0748,0.1469,0.5238,0.0026,0.0162,0.6534,2.5341,1,0,21.39,No Signal,0.01,4.48,Stable,FALSE,1.1%,0,NA,NA,NA,NA,50,Unknown,FALSE,FALSE,NA,NA,NA,19236666666.6667,NA,NA,NA,NA,NA,NA,19236666666.6667,NA,NA,61160000000,64503000000,6569000000,0.0611,-5935000000,64503000000,6569000000,0.0611,82.9,96.4,75.1,0,76.2,75.4,75.4,9.4,50,93.8,50,49.5,75,54.4,74.6,50,FALSE,72.1,72.1,Strong,Strong,TRUE,FALSE,NEUTRAL,Proven,84,0.0026,Alpha Leader,GX MACD RSI MA200,265.08,0.21,267.47,189.4,50.46,26.62,NA,0.4,0.098,0.623,0.0611,NA,NA,NA,NA,462578287000,$462.6B,73.7,+0.2%,+9%,+26.6%,+19.1%,54.4,54.4,74.6,52.64,0.01,Tier 2: Golden Cross
ACAD,NA,30.96,19.69,2026-09-20,BIOTECHNOLOGY,4702218000,12.24,27.03,3.599,2.23,2.23,0.357,0.0364,0.334,0.123,1138644000,6.69,98392000,38.82,0.133,0.2145,0.857,33.89,4,12,4,1,0,172306000,NA,50.86,3.354,7.59,ACADIA Pharmaceuticals Inc,HEALTHCARE,90,60,95,90,21,72.6,NA,83.76,25.43,29.65,23.72,20.75,23.6,-0.1423,0.0721,0.2255,0.0775,28.041,27.609,24.6233,31.8881,-1.5959,-0.4398,-1.1561,30.4127,25.6693,-0.0505,0.3107,1535438.0952,0.9091,8e-4,6e-4,-3e-4,0.0301,749,-0.0295,-0.0463,0.4777,-0.137,FALSE,FALSE,TRUE,TRUE,Neutral,FALSE,35,20,61.658,56.9948,30,44.6464,766,-0.4525,-0.1305,0.1,0.5,0.0012,0.0221,0.2928,0.8349,1,0,36.39,No Signal,0.06,7.22,Stable,FALSE,5.6%,0,NA,NA,NA,NA,50,Unknown,FALSE,FALSE,NA,NA,0.9427,92998000,172305518,4381729322.74,NA,NA,NA,NA,92998000,NA,0.9427,726437000,NA,384985000,0.2145,1306609000,NA,384985000,0.2145,65.3,66.8,53.9,0,68.9,57.4,57.4,91.4,68.9,84.5,50,91.8,72.6,78.7,44.7,50,FALSE,57.5,57.5,Neutral,Neutral,TRUE,FALSE,NEUTRAL,Proven,63.9,0.0012,Quality,GX MA200,25.43,-14.23,30.96,19.69,3.599,38.82,0.9427,0.123,0.334,0.357,0.2145,NA,NA,NA,NA,4702218000,$4.7B,12.2,-14.2%,+7.2%,+22.6%,+7.8%,78.7,78.7,44.7,67.22,0.06,Tier 2: Golden Cross
ACN,NA,285.21,116.75,2026-09-16,INFORMATION TECHNOLOGY SERVICES,118349595000,15.45,13.18,3.742,12.52,12.52,0.244,0.109,0.107,0.17,73100591000,118.32,12943768000,9.53,0.09,0.0425,1.092,185.39,3,11,13,0,0,611942000,0.0334,1.417,1.608,52.12,Accenture plc,TECHNOLOGY,75,60,80,60,27,65.7,NA,70.32,183.52,186.53,125.82,192.6,235.5,-0.0161,0.4586,-0.0471,-0.2207,186.328,172.9082,199.3014,50.9739,1.68,2.3673,-0.6873,196.5825,176.0735,0.3631,0.4412,4948847.619,0.6587,8e-4,-5e-4,-0.0013,0.0204,749,-0.0067,-0.2586,0.3231,-1.0225,FALSE,TRUE,FALSE,FALSE,Neutral,FALSE,55,85,89.1192,23.3161,30,60.899,766,-0.6757,0.0372,0.4584,0.5,1e-4,0.0328,0.03,0.0577,1,0,32.3,No Signal,0.04,5.54,Stable,FALSE,4.1%,0,NA,NA,NA,NA,50,Unknown,FALSE,FALSE,NA,NA,NA,9494991333.3333,NA,NA,NA,NA,NA,0.1577,9494991333.3333,0.1577,NA,69672977000,5029449000,10165245000,0.0425,31890566000,5029449000,10165245000,0.0425,50.8,51.8,53.9,0,89.6,52.4,52.4,82.7,67.2,71.1,80.2,52.6,65.7,71.2,51.7,50,FALSE,55.1,55.1,Neutral,Neutral,FALSE,FALSE,NEUTRAL,Proven,60.3,1e-4,Quality,RSI,183.52,-1.6099999999999999,285.21,116.75,3.742,9.53,NA,0.17,0.107,0.244,0.0425,0.1577,0.1577,NA,NA,118349595000,$118.3B,15.4,-1.6%,+45.9%,-4.7%,-22.1%,71.2,71.2,51.7,62.72,0.04,Tier 5: Underdog Watch
AFRM,NA,91.08,42.09,2026-09-20,CREDIT SERVICES,24027767000,12.88,37.31,4.382,5.53,5.53,0.451,0.0193,0.453,0.126,4261082000,12.71,739194000,25.16,21.87,0.425,3.61,99.09,5,19,9,0,0,296882000,NA,8.64,7.38,16.26,Affirm Holdings Inc,FINANCIAL SERVICES,90,60,95,90,33,72,NA,83.7,68.09,76.88,76.85,42.53,82.73,-0.1143,-0.114,0.601,-0.177,72.6062,74.4129,66.7044,39.8556,-1.9668,-1.6421,-0.3247,78.6777,66.5348,0.1281,0.4985,5991500,2.5603,8e-4,0.0027,0.0019,0.043,749,-0.0345,0.1513,0.6831,0.7014,FALSE,FALSE,TRUE,TRUE,Neutral,FALSE,35,20,27.9793,86.0104,30,40.3459,766,1.142,-0.091,-0.1495,0.5079,5e-4,0.0284,0.136,0.3016,1,0,27.59,No Signal,0.05,3.57,Stable,FALSE,5.5%,0,NA,NA,NA,NA,50,Unknown,FALSE,FALSE,NA,NA,NA,261322666.6667,337421256,22975013321.04,NA,NA,NA,1.786,261322666.6667,1.786,NA,3224412000,9794058000,1630038000,0.425,5483824000,9794058000,1630038000,0.425,59.6,57,63.7,0,29,49.2,49.2,89.2,61.2,89.7,10.8,96.9,72,73.4,54.4,50,FALSE,54.1,54.1,Neutral,Neutral,TRUE,FALSE,NEUTRAL,Proven,56.7,5e-4,Quality,GX MA200,68.09,-11.43,91.08,42.09,4.382,25.16,NA,0.126,0.453,0.451,0.425,1.786,1.786,NA,NA,24027767000,$24B,12.9,-11.4%,-11.4%,+60.1%,-17.7%,73.4,73.4,54.4,64.03999999999999,0.05,Tier 2: Golden Cross
AI,NA,20.22,7.67,2026-09-20,SOFTWARE - INFRASTRUCTURE,1684973000,NA,NA,2.425,-3.09,-3.09,-0.598,-0.312,-1.921,-1.863,232382000,1.598,-447079008,-2.296,0,-0.1023,2.093,8.91,0,1,7,3,3,157280000,NA,NA,4.474,4.348,C3 Ai Inc,TECHNOLOGY,50,75,15,20,14,35.7,NA,38.57,10.86,10.11,8.75,7.76,18.12,0.0742,0.2411,0.3995,-0.4007,10.5385,9.8992,10.445,56.5782,2.0981,2.2477,-0.1497,11.2185,9.8585,0.7364,0.5044,5432428.5714,1.9753,8e-4,-2e-4,-0.001,0.0373,749,0.009,-0.4686,0.5923,-0.4452,TRUE,TRUE,TRUE,FALSE,Neutral,FALSE,80,85,82.3834,75.6477,30,75.5946,766,-0.7804,0.0521,0.0401,0.5079,2e-4,0.0315,0.041,0.0819,1,2,53.02,Low Signal,0.27,6.93,Decreasing,FALSE,27%,0,NA,NA,NA,NA,50,Unknown,FALSE,FALSE,NA,NA,0.3092,-108066666.6667,NA,NA,NA,NA,NA,NA,-108066666.6667,NA,0.3092,250268000,NA,136435000,-0.1023,694896000,NA,136435000,-0.1023,52.3,52.3,63.7,77.7,61.7,58.5,58.5,50,83.1,7.2,50,0.5,35.7,34.7,76,50,FALSE,59.1,59.1,Neutral,Neutral,FALSE,FALSE,NEUTRAL,Proven,67,2e-4,Strong Trend,RSI MA200,10.86,7.42,20.22,7.67,2.425,-2.296,0.3092,-1.863,-1.921,-0.598,-0.1023,NA,NA,NA,NA,1684973000,$1.7B,N/A,+7.4%,+24.1%,+40%,-40.1%,34.7,34.7,76,40.82,0.27,Tier 5: Underdog Watch
ALGM,NA,71.77,22.41,2026-09-20,SEMICONDUCTORS,6356310000,487.14,34.84,6.59,0.07,0.07,0.0153,0.0297,0.015,0.0982,945934000,5.1,134877000,64.39,-0.485,-0.079,1.911,54.82,2,9,1,0,0,186402000,NA,NA,6.87,5.17,Allegro Microsystems Inc,TECHNOLOGY,25,40,40,40,12,77.1,NA,39.96,35.11,35.63,60.16,30.12,31.41,-0.0146,-0.4164,0.1657,0.1178,35.4445,40.4667,39.9399,42.5413,-4.9363,-5.7233,0.7869,38.1036,32.7854,0.4371,0.4622,2158600,2.2487,8e-4,8e-4,-0,0.0324,749,-0.0038,-0.2646,0.5144,-0.0043,FALSE,FALSE,FALSE,TRUE,Neutral,TRUE,15,45,4.1451,48.1865,70,28.3808,766,-0.4137,-0.1657,-0.4559,0.4921,-0.0025,0.0395,-0.6381,-1.0174,1,1,39.66,No Signal,0.06,5.18,Decreasing,FALSE,5.6%,0,NA,NA,NA,NA,50,Unknown,FALSE,FALSE,NA,NA,0.4628,67931333.3333,186402046,6544575835.06,NA,NA,NA,0.2978,67931333.3333,0.2978,0.4628,890096000,287159000,162029000,-0.079,964276000,287159000,162029000,-0.079,13.5,17.6,46.1,47.2,4.1,23,23,50,39.3,28.4,65.8,25.8,77.1,44.7,33.5,50,FALSE,28.8,28.8,Very Weak,Very Weak,TRUE,FALSE,NEUTRAL,Proven,18.6,-0.0025,Balanced,GX MACD,35.11,-1.46,71.77,22.41,6.59,64.39,0.4628,0.0982,0.015,0.0153,-0.079,0.2978,0.2978,NA,NA,6356310000,$6.4B,487.1,-1.5%,-41.6%,+16.6%,+11.8%,44.7,44.7,33.5,46.82,0.06,Tier 2: Golden Cross
ALNY,NA,495.55,197.81,2026-09-18,BIOTECHNOLOGY,32851476000,41.68,18.73,23.65,5.89,5.89,0.966,0.123,0.161,0.179,4804182000,36.24,1054538000,27.13,0,0.4253,0.3,371.35,7,16,6,0,0,133809000,NA,0.309,6.24,10.12,Alnylam Pharmaceuticals Inc,HEALTHCARE,25,20,95,75,29,75.9,NA,57.59,246.51,236.01,293.17,317.36,454.41,0.0445,-0.1592,-0.2232,-0.4575,247.768,246.0194,309.9336,50.1746,-0.165,0.0431,-0.2082,267.4632,228.0728,0.4681,0.4444,1649095.2381,0.7283,8e-4,9e-4,1e-4,0.029,749,0.0162,0.0721,0.4597,0.0327,FALSE,TRUE,FALSE,FALSE,Neutral,FALSE,55,85,19.171,8.8083,30,37.013,766,-0.285,0.1446,-0.1549,0.5317,-0.0013,0.0361,-0.3318,-0.5797,1,2,26.91,No Signal,0.05,4.13,Increasing,FALSE,5.4%,0,NA,NA,NA,NA,50,Unknown,FALSE,FALSE,NA,NA,NA,154913000,NA,NA,NA,NA,NA,NA,154913000,NA,NA,3713937000,NA,1708318000,0.4253,1354118000,NA,1708318000,0.4253,25.4,28.5,80.8,77.7,26.9,42.7,42.7,24.5,3.8,95.9,50,63.9,75.9,54.5,33.8,50,FALSE,42.3,42.3,Weak,Weak,FALSE,FALSE,NEUTRAL,Proven,40.7,-0.0013,Consistent Beat,RSI,246.51,4.45,495.55,197.81,23.65,27.13,NA,0.179,0.161,0.966,0.4253,NA,NA,NA,NA,32851476000,$32.9B,41.7,+4.4%,-15.9%,-22.3%,-45.8%,54.5,54.5,33.8,52.699999999999996,0.05,No Signal
ALRM,NA,58.15,41.49,2026-09-20,SOFTWARE - APPLICATION,2648909000,23.88,26.25,3.064,2.26,2.26,0.133,0.0499,0.111,0.151,1060984000,21.36,167716000,12.58,-0.234,0.0709,0.764,63,1,2,2,0,1,49090200,NA,1.406,2.58,17.63,Alarm.com Holdings Inc,TECHNOLOGY,60,60,65,60,6,58.3,NA,61.33,53.35,57.58,44.07,42.49,54.13,-0.0735,0.2106,0.2556,-0.0144,55.6915,55.16,49.2256,37.0422,-0.7643,0.0166,-0.7809,58.2716,53.1114,0.0462,0.1945,433480.9524,0.8741,8e-4,-0,-8e-4,0.0167,749,0.0112,-0.186,0.2647,-0.8026,FALSE,FALSE,TRUE,TRUE,Neutral,FALSE,35,20,78.7565,62.1762,30,50.8122,766,-0.471,-0.0496,0.2333,0.5714,0.0014,0.0197,0.3614,1.1545,1,1,34.59,No Signal,0.06,7.33,Increasing,FALSE,6%,0,NA,NA,NA,NA,50,Unknown,FALSE,FALSE,NA,NA,NA,153925666.6667,NA,NA,NA,NA,NA,NA,153925666.6667,NA,NA,1011187000,NA,479418000,0.0709,864455000,NA,479418000,0.0709,69.4,74.6,96.4,47.2,83.4,76,76,59,74.9,49.5,50,54.6,58.3,56.6,53.1,50,FALSE,67.6,67.6,Strong,Strong,TRUE,FALSE,NEUTRAL,Proven,77.8,0.0014,High IR,GX MA200 α>SPY,53.35,-7.35,58.15,41.49,3.064,12.58,NA,0.151,0.111,0.133,0.0709,NA,NA,NA,NA,2648909000,$2.6B,23.9,-7.3%,+21.1%,+25.6%,-1.4%,56.6,56.6,53.1,53.96,0.06,Tier 2: Golden Cross
AMD,NA,584.73,149.85,2026-09-15,SEMICONDUCTORS,805479514000,125.87,33.22,12.53,3.92,3.92,0.102,0.0513,0.156,0.172,41305002000,25.36,9562000000,77.79,1.595,0.2358,2.476,615.07,4,39,11,0,0,1632475000,NA,0.526,20.18,41.19,Advanced Micro Devices Inc,TECHNOLOGY,25,20,65,75,54,71.8,NA,48.18,614.61,456.75,532.57,201.99,160.9,0.3456,0.154,2.0428,2.8198,512.9895,500.1168,360.6495,71.0044,5.7245,2.9048,2.8196,616.7731,409.2059,0.9896,0.5644,20726750,2.2903,8e-4,0.0032,0.0023,0.0322,750,-0.0075,0.3135,0.5109,1.1434,TRUE,TRUE,TRUE,TRUE,Overbought,TRUE,100,30,73.057,100,70,78.4171,767,2.7268,0.3023,0.0198,0.5476,0.0053,0.0379,1.3256,2.205,1,7,13.42,No Signal,0.02,2.13,Stable,FALSE,2.4%,0,NA,NA,NA,NA,50,Unknown,FALSE,FALSE,NA,NA,0.4952,3420333333.3333,NA,NA,NA,NA,NA,0.048,3420333333.3333,0.048,0.4952,34639000000,3226000000,5086000000,0.2358,67224000000,3226000000,5086000000,0.2358,92.7,94.8,89.6,100,58.5,88.2,88.2,2.2,17.5,41.8,91.9,62.9,71.8,43.6,89.5,50,FALSE,81.8,81.8,Very Strong,Very Strong,TRUE,FALSE,NEUTRAL,Proven,95.4,0.0053,Alpha Leader,GX MACD MA200,614.61,34.56,584.73,149.85,12.53,77.79,0.4952,0.172,0.156,0.102,0.2358,0.048,0.048,NA,NA,805479514000,$805.5B,125.9,+34.6%,+15.4%,+204.3%,+282%,43.6,43.6,89.5,46.16,0.02,Tier 2: Golden Cross
