symbol,price_now,price_1m,price_3m,price_6m,price_1y,ret_1m,ret_3m,ret_6m,ret_1y,ma20,ma50,ma200,rsi14,macd_line,macd_signal,macd_hist,bb_upper,bb_lower,bb_pct,vol_annual,avg_vol_30,beta,spy_mean_daily,mean_daily_ret,mean_daily_alpha,sd_daily_alpha,days_in_pull,today_alpha,jensen_alpha_ann,tracking_error,info_ratio,above_ma20,above_ma50,above_ma200,golden_cross,rsi_zone,macd_bullish,trend_score,rsi_score,ret3m_score,ret6m_score,macd_score,momentum_score,days_tracked,cum_alpha_all,alpha_30d,alpha_63d,alpha_hit_rate,hist_mean_alpha,hist_sd_alpha,hist_alpha_ann,hist_ir,confidence_weight,alpha_streak
AAPL,306.309998,280.140015,263.75,284.149994,201.699997,0.093418,0.161365,0.077987,0.518642,298.849998,276.431599,263.602049,67.006914,3.321109,3.376961,-0.055852,318.067476,279.632521,0.694094,0.169498,47508480,0.933967,0.001015,0.001769,7.54e-4,0.012112,250,-0.021149,0.206991,0.192269,0.988714,TRUE,TRUE,TRUE,TRUE,Neutral,FALSE,100,65,75.510204,57.142857,30,71.831633,2,-0.024996863281000037,-0.024996863281000037,-0.024996863281000037,0,-0.01254,0.012174964558469977,-3.1600800000000002,-16.350464733469124,0.031746031746031744,0
ABBV,212.929993,206.600006,233.860001,230.240005,186.990005,0.030639,-0.089498,-0.075182,0.138724,210.3665,208.3608,219.643299,52.961601,1.091895,0.741786,0.35011,220.152733,200.580267,0.630974,0.189616,5483970,0.165877,0.001015,6.35e-4,-3.8e-4,0.016412,250,-0.024724,0.117644,0.260531,-0.36746,TRUE,TRUE,FALSE,FALSE,Neutral,TRUE,55,85,26.530612,22.44898,70,45.94898,2,-0.03121348650400002,-0.03121348650400002,-0.03121348650400002,0,-0.015689,0.012777419536040913,-3.9536280000000006,-19.491819393833882,0.031746031746031744,0
ACN,196.589996,179.830002,209.889999,272.850006,314.470001,0.093199,-0.063367,-0.279494,-0.374853,176.749001,185.1486,231.68475,65.190956,0.099113,-1.490008,1.589121,191.916842,161.581161,1.154048,0.4729,6133770,0.730473,0.001015,-0.001625,-0.002641,0.021845,250,0.048167,-0.59649,0.346772,-1.918951,TRUE,TRUE,FALSE,FALSE,Neutral,TRUE,55,65,30.612245,2.040816,70,40.091837,2,0.09649483586899987,0.09649483586899987,0.09649483586899987,1,0.047137,0.0014566399692442873,11.878523999999999,513.700497787466,0.031746031746031744,2
AMD,510.130005,360.540009,190.949997,217.600006,114.629997,0.414905,1.671537,1.344347,3.450231,447.584503,334.243601,239.21105,73.702167,11.631674,11.984093,-0.352418,541.404151,353.764855,0.833328,0.941197,39737675,2.751925,0.001015,0.006801,0.005786,0.037736,250,-0.014291,1.009927,0.599045,2.434028,TRUE,TRUE,TRUE,TRUE,Overbought,FALSE,100,30,100,100,30,82.5,2,-0.020533495097000087,-0.020533495097000087,-0.020533495097000087,0,-0.010312,0.005627155764682546,-2.598624,-29.09070442755432,0.031746031746031744,0
AMGN,329.130005,329.820007,377,345.420013,288.470001,-0.002092,-0.126976,-0.04716,0.140951,332.402003,341.452001,328.429251,41.89379,-0.623113,-0.867634,0.244521,341.326319,323.477688,0.316681,0.214635,2593150,0.552296,0.001015,6.73e-4,-3.42e-4,0.016975,250,-0.025467,0.028275,0.269471,-0.320082,FALSE,FALSE,TRUE,TRUE,Neutral,TRUE,35,45,12.244898,34.693878,70,33.112245,2,-0.026997016809999996,-0.026997016809999996,-0.026997016809999996,0,-0.0135185,0.016897730750014925,-3.406662,-12.699902594410228,0.031746031746031744,0
AMZN,261.26001,268.26001,208.729996,232.380005,206.649994,-0.026094,0.251665,0.124279,0.264263,268.388501,247.719601,231.70405,48.94764,1.683115,2.31175,-0.628635,276.852162,259.92484,0.078877,0.24375,39644240,1.442757,0.001015,0.001115,1e-4,0.015816,250,-0.037382,-0.088007,0.251078,0.100591,FALSE,TRUE,TRUE,TRUE,Neutral,FALSE,100,45,83.673469,67.346939,30,73.321429,2,-0.05158446597200006,-0.05158446597200006,-0.05158446597200006,0,-0.026068,0.016000412244689198,-6.569136,-25.862875576742912,0.031746031746031744,0
AVGO,459.970001,421.279999,313.839996,380.609985,248.710007,0.091839,0.465619,0.208507,0.849423,424.839999,388.501401,353.058151,69.746767,2.882696,2.705903,0.176793,448.493388,401.18661,1.2426,0.403896,20494740,2.059197,0.001015,0.002823,0.001808,0.023561,250,0.026822,0.184657,0.374022,1.218146,TRUE,TRUE,TRUE,TRUE,Neutral,TRUE,100,65,93.877551,79.591837,70,85.831633,2,0.072863671658,0.072863671658,0.072863671658,1,0.0358305,0.012739942876638025,9.029286,44.646319030960896,0.031746031746031744,2
BAC,51.509998,53.240002,49.970001,54.09,44.080002,-0.032494,0.030818,-0.047698,0.168557,51.3425,51.2822,51.86355,50.503772,-0.194935,-0.263895,0.068959,53.399535,49.285464,0.540714,0.220034,37018305,0.919088,0.001015,7.14e-4,-3.01e-4,0.011605,250,-0.004467,-0.055185,0.18422,-0.411917,TRUE,TRUE,FALSE,FALSE,Neutral,TRUE,55,85,65.306122,32.653061,70,59.622449,2,0.009328100780999993,0.009328100780999993,0.009328100780999993,0.5,0.0046949999999999995,0.012957024658462296,1.1831399999999999,5.752155019942258,0.031746031746031744,0
BLK,1020.72998,1061.680054,1052.589966,1079.869995,978.070007,-0.038571,-0.030268,-0.054766,0.043616,1067.674493,1032.302596,1076.896404,40.056623,0.074152,0.765718,-0.691566,1109.506488,1025.842499,-0.061108,0.261842,630990,1.321144,0.001015,3.01e-4,-7.14e-4,0.012997,250,-0.027702,-0.262001,0.206325,-0.871672,FALSE,FALSE,FALSE,FALSE,Neutral,FALSE,15,45,42.857143,28.571429,30,32.071429,2,-0.02976229946200004,-0.02976229946200004,-0.02976229946200004,0,-0.0149105,0.018089912783095446,-3.757446,-13.084466043581953,0.031746031746031744,0
CAT,865.359985,889.669983,722.179993,591.48999,344.670013,-0.027325,0.198261,0.463017,1.510691,891.954001,818.160798,637.835599,49.757174,1.707246,2.555824,-0.848579,933.998847,849.909154,0.183742,0.354498,2646600,1.596495,0.001015,0.003911,0.002896,0.018165,250,-0.014723,0.577106,0.288355,2.530554,FALSE,TRUE,TRUE,TRUE,Neutral,FALSE,100,45,77.55102,95.918367,30,77.19898,2,-0.03027559744500008,-0.03027559744500008,-0.03027559744500008,0,-0.015254,7.509474016201139e-4,-3.844008,-322.4589930951959,0.031746031746031744,0
