symbol,shares_outstanding,shares_float,market_cap_poly,primary_exchange,locale,cache_date
ACAD,172305518,172305518,4865907828.32,XNAS,us,2026-08-15
PD,77122565,77122565,917758523.5,XNYS,us,2026-08-15
WAL,109100864,109100864,8981183124.48,XNYS,us,2026-08-15
HON,316940010,316940010,74151284739.6,XNAS,us,2026-08-15
FHN,NA,NA,NA,NA,NA,2026-08-15
WBS,NA,NA,NA,NA,NA,2026-08-15
INCY,NA,NA,NA,NA,NA,2026-08-15
ZION,NA,NA,NA,NA,NA,2026-08-15
CROX,NA,NA,NA,NA,NA,2026-08-15
DUOL,NA,NA,NA,NA,NA,2026-08-15
BAC,NA,NA,NA,NA,NA,2026-08-15
ZM,NA,NA,NA,NA,NA,2026-08-15
DECK,NA,NA,NA,NA,NA,2026-08-15
GOOGL,NA,NA,NA,NA,NA,2026-08-15
TROW,NA,NA,NA,NA,NA,2026-08-15
ACN,NA,NA,NA,NA,NA,2026-08-15
SENEA,NA,NA,NA,NA,NA,2026-08-15
JPM,NA,NA,NA,NA,NA,2026-08-15
JBSS,NA,NA,NA,NA,NA,2026-08-15
FIZZ,NA,NA,NA,NA,NA,2026-08-15
CFR,NA,NA,NA,NA,NA,2026-08-15
MLI,NA,NA,NA,NA,NA,2026-08-15
QCOM,NA,NA,NA,NA,NA,2026-08-15
CALM,NA,NA,NA,NA,NA,2026-08-15
EXP,NA,NA,NA,NA,NA,2026-08-15
WLDN,NA,NA,NA,NA,NA,2026-08-15
RJF,NA,NA,NA,NA,NA,2026-08-15
AMZN,NA,NA,NA,NA,NA,2026-08-15
NEE,NA,NA,NA,NA,NA,2026-08-15
PEP,NA,NA,NA,NA,NA,2026-08-15
OLLI,NA,NA,NA,NA,NA,2026-08-15
MS,NA,NA,NA,NA,NA,2026-08-15
PG,NA,NA,NA,NA,NA,2026-08-15
CVX,NA,NA,NA,NA,NA,2026-08-15
NBIX,NA,NA,NA,NA,NA,2026-08-15
MSFT,NA,NA,NA,NA,NA,2026-08-15
INTU,NA,NA,NA,NA,NA,2026-08-15
IBM,NA,NA,NA,NA,NA,2026-08-15
NTRS,NA,NA,NA,NA,NA,2026-08-15
VITL,NA,NA,NA,NA,NA,2026-08-15
NFLX,NA,NA,NA,NA,NA,2026-08-15
META,NA,NA,NA,NA,NA,2026-08-15
SPGI,NA,NA,NA,NA,NA,2026-08-15
DKS,NA,NA,NA,NA,NA,2026-08-15
ARHS,NA,NA,NA,NA,NA,2026-08-15
V,NA,NA,NA,NA,NA,2026-08-15
MA,NA,NA,NA,NA,NA,2026-08-15
NVDA,NA,NA,NA,NA,NA,2026-08-15
ORCL,NA,NA,NA,NA,NA,2026-08-15
KO,NA,NA,NA,NA,NA,2026-08-15
XOM,NA,NA,NA,NA,NA,2026-08-15
CRM,NA,NA,NA,NA,NA,2026-08-15
QRVO,NA,NA,NA,NA,NA,2026-08-15
AAPL,NA,NA,NA,NA,NA,2026-08-15
