symbol,shares_short,shares_short_prior,short_ratio,settlement_date,float_shares,short_percent_float,short_source,shares_outstanding,short_pct_basis,short_trend,improvement_count,fundamentals_improving,sf_score,dtc_score,fi_score,st_score,squeeze_score_raw,squeeze_mult,squeeze_score,squeeze_tier,short_float_pct
LOVE,3027171,3242845,13.91,2026-07-31,NA,0.21,finra,14638400,shares outstanding,Decreasing,0,FALSE,95.88,96.91,0,80,55.35,1,55.35,Low Signal,20.7%
PTGX,7543109,8292656,14.21,2026-07-31,NA,0.12,finra,64708000,shares outstanding,Decreasing,0,FALSE,82.99,97.42,0,80,52.23,1,52.23,Low Signal,11.7%
RXRX,180771459,180760541,9.31,2026-07-31,NA,0.34,finra,535342000,shares outstanding,Stable,0,FALSE,99.48,93.81,0,40,49.63,1,49.63,Low Signal,33.8%
ASAN,28563366,35653631,4.74,2026-07-31,NA,0.18,finra,160970000,shares outstanding,Decreasing,0,FALSE,91.75,71.13,0,80,49.16,1,49.16,Low Signal,17.7%
VERA,15281960,15081995,9.42,2026-07-31,NA,0.21,finra,72063000,shares outstanding,Stable,0,FALSE,96.91,94.33,0,40,49.09,1,49.09,Low Signal,21.2%
SRPT,27566969,28489470,8.77,2026-07-31,NA,0.26,finra,105627000,shares outstanding,Stable,0,FALSE,97.94,92.78,0,40,49.04,1,49.04,Low Signal,26.1%
AI,46307686,44419287,8.4,2026-07-31,NA,0.3,finra,151949000,shares outstanding,Stable,0,FALSE,98.45,91.75,0,40,48.96,1,48.96,Low Signal,30.5%
WDAY,25349192,27369617,5.12,2026-07-31,NA,0.13,finra,201000000,shares outstanding,Decreasing,0,FALSE,85.57,76.8,0,80,48.75,1,48.75,Low Signal,12.6%
CGEM,10254541,10285963,19.17,2026-07-31,NA,0.17,finra,61458000,shares outstanding,Stable,0,FALSE,90.72,100,0,40,48.68,1,48.68,Low Signal,16.7%
TDUP,19197601,19847001,14.53,2026-07-31,NA,0.17,finra,111010000,shares outstanding,Stable,0,FALSE,91.24,97.94,0,40,48.4,1,48.4,Low Signal,17.3%
APPN,4508906,5989933,5.3,2026-07-31,NA,0.11,finra,40540200,shares outstanding,Decreasing,0,FALSE,81.44,78.87,0,80,48.13,1,48.13,Low Signal,11.1%
UPST,25223623,26176982,7.31,2026-07-31,NA,0.26,finra,97313000,shares outstanding,Stable,0,FALSE,97.42,88.66,0,40,48.09,1,48.09,Low Signal,25.9%
FSLY,22594904,25531692,4.48,2026-07-31,NA,0.14,finra,159300000,shares outstanding,Decreasing,0,FALSE,88.66,68.56,0,80,47.88,1,47.88,Low Signal,14.2%
CELH,34398398,39938164,4.38,2026-07-31,NA,0.14,finra,253035000,shares outstanding,Decreasing,0,FALSE,87.63,65.98,0,80,47.1,1,47.1,Low Signal,13.6%
BBAI,147452014,145808992,5.67,2026-07-31,NA,0.31,finra,479494000,shares outstanding,Stable,0,FALSE,98.97,80.93,0,40,46.93,1,46.93,Low Signal,30.8%
KYMR,9976794,9900469,18.07,2026-07-31,NA,0.12,finra,83151000,shares outstanding,Stable,0,FALSE,84.02,98.97,0,40,46.8,1,46.8,Low Signal,12%
DUOL,7263743,7494489,7.23,2026-07-31,NA,0.18,finra,40237100,shares outstanding,Stable,0,FALSE,92.78,87.63,0,40,46.72,1,46.72,Low Signal,18.1%
BRZE,11843868,12553830,5.01,2026-07-31,NA,0.11,finra,112632000,shares outstanding,Decreasing,0,FALSE,78.35,74.23,0,80,46.43,1,46.43,Low Signal,10.5%
OLMA,15963215,15101848,18.21,2026-07-31,NA,0.18,finra,87498000,shares outstanding,Increasing,0,FALSE,93.3,99.48,0,20,46.22,1,46.22,Low Signal,18.2%
WLDN,1925574,1907811,8.99,2026-07-31,NA,0.13,finra,15232100,shares outstanding,Stable,0,FALSE,86.08,93.3,0,40,46.18,1,46.18,Low Signal,12.6%
PINS,50504065,57443101,4.96,2026-07-31,NA,0.1,finra,492198000,shares outstanding,Decreasing,0,FALSE,77.32,73.71,0,80,46.07,1,46.07,Low Signal,10.3%
TROW,25488484,26733625,12.38,2026-07-31,NA,0.12,finra,213316000,shares outstanding,Stable,0,FALSE,83.51,95.36,0,40,45.95,1,45.95,Low Signal,11.9%
CALM,5103170,5949877,4.46,2026-07-31,NA,0.11,finra,46917100,shares outstanding,Decreasing,0,FALSE,79.9,68.04,0,80,45.58,1,45.58,Low Signal,10.9%
BMRN,12504131,14315984,7.42,2026-07-31,NA,0.06,finra,193574000,shares outstanding,Decreasing,0,FALSE,60.82,89.69,0,80,45.14,1,45.14,Low Signal,6.5%
FIGS,20034622,19917442,6.81,2026-07-31,NA,0.13,finra,157857000,shares outstanding,Stable,0,FALSE,86.6,86.08,0,40,44.87,1,44.87,Low Signal,12.7%
SANA,42148007,39736380,16.33,2026-07-31,NA,0.14,finra,299361000,shares outstanding,Increasing,0,FALSE,88.14,98.45,0,20,44.73,1,44.73,Low Signal,14.1%
CXM,13273788,14348124,4.41,2026-07-31,NA,0.1,finra,133099000,shares outstanding,Decreasing,0,FALSE,76.8,66.49,0,80,44.5,1,44.5,Low Signal,10%
SWKS,31330554,32855050,4.76,2026-07-31,NA,0.21,finra,150473000,shares outstanding,Stable,0,FALSE,96.39,71.65,0,40,44.43,1,44.43,Low Signal,20.8%
