symbol,company,sector,price,unicorn_score,master_score,rating,signal,unicorn_confidence,confidence_5d,confidence_band,days_tracked,hist_ir,hist_alpha_ann,alpha_hit_rate,alpha_streak,expected_return_1d,primary_driver,pe_ratio,market_cap,revenue_growth,ret_1m,ret_3m,rsi14,momentum_score,put_call_ratio,options_sentiment,avg_iv,analyst_target,analyst_upside
ANAB,AnaptysBio Inc,HEALTHCARE,57.74,85.7,68.4,Strong,Strong,100,100,Proven,763,1.5293,1.062,0.5159,2,0.0042,Alpha Leader,NA,1731208000,2.6978,0.0792,0.0116,53.1254,74.9046,NA,Unknown,NA,87.09,0.5083
SENEA,Seneca Foods Corp A,CONSUMER DEFENSIVE,194.07,82.1,76.4,Strong,Strong,100,100,Proven,763,1.1622,0.5761,0.5873,0,0.0023,Alpha Leader,11.13,1304125000,0.331,0.141,0.3133,61.4358,84.9046,NA,Unknown,NA,202,0.0409
IDYA,Ideaya Biosciences Inc,HEALTHCARE,39.67,78.6,64,Neutral,Neutral,100,100,Proven,763,0.703,0.3271,0.4762,6,0.0013,Strong Trend,NA,3750546000,2.0582,0.1311,0.3642,70.2748,75.933,NA,Unknown,NA,52.15,0.3146
BRZE,Braze Inc,TECHNOLOGY,31.06,75,81.4,Very Strong,Very Strong,100,100,Proven,763,1.8196,1.3862,0.5476,5,0.0055,Alpha Leader,NA,3148055000,0.2508,0.4449,0.2354,67.3688,82.7294,NA,Unknown,NA,34.95,0.1252
UPST,Upstart Holdings Inc,FINANCIAL SERVICES,30.3,60.7,35.7,Weak,Weak,100,100,Proven,763,0.2591,0.1444,0.4683,0,6e-4,Analyst Upside,58.9,2808455000,0.4257,0.1099,-0.0238,49.9666,35.3351,NA,Unknown,NA,40.6,0.3399
SRPT,Sarepta Therapeutics Inc,HEALTHCARE,18.79,57.1,37.5,Weak,Weak,100,100,Proven,763,0.0331,0.0241,0.4762,0,1e-4,Analyst Upside,NA,2084021000,0.3297,0.1562,0.0876,53.685,54.1701,NA,Unknown,NA,22.09,0.1756
APPN,Appian Corp,TECHNOLOGY,38.3,50,77.5,Strong,Strong,100,100,Proven,763,1.3945,0.9379,0.5397,5,0.0037,Alpha Leader,NA,2500519000,0.1545,0.6493,0.8076,74.548,77.4794,NA,Unknown,NA,34,-0.1123
INTA,Intapp Inc,TECHNOLOGY,41.35,50,75.5,Strong,Strong,100,100,Proven,763,2.2442,1.52,0.5238,0,0.006,Alpha Leader,NA,3067332000,0.1986,0.4896,1.0635,70.8581,75.9536,NA,Unknown,NA,39.43,-0.0464
RARE,Ultragenyx,HEALTHCARE,25.83,46.4,38.9,Weak,Weak,100,100,Proven,763,0.3666,0.1714,0.4762,0,7e-4,Analyst Upside,NA,2496270000,0.2453,-0.0439,0.1115,43.6268,44.4072,NA,Unknown,NA,54.21,1.0987
RXRX,Recursion Pharmaceuticals Inc,HEALTHCARE,3.5,46.4,30.5,Weak,Weak,100,100,Proven,763,-0.2259,-0.1282,0.4603,0,-5e-4,Analyst Upside,NA,1876949000,0.2944,0.098,0.0943,49.9157,36.7784,NA,Unknown,NA,7.22,1.0629
ACAD,ACADIA Pharmaceuticals Inc,HEALTHCARE,29.5,42.9,62.5,Neutral,Neutral,100,100,Proven,763,0.5463,0.1984,0.4524,2,8e-4,Strong Trend,12.67,4967553000,0.2145,0.1936,0.3946,63.4249,78.5851,NA,Unknown,NA,33.85,0.1475
VITL,Vital Farms Inc,CONSUMER DEFENSIVE,10.57,35.7,22.2,Very Weak,Very Weak,100,100,Proven,763,-2.3415,-1.6596,0.4603,1,-0.0066,Analyst Upside,NA,455933000,0.2687,-0.149,0.1226,42.3269,31.3866,NA,Unknown,NA,13.22,0.2507
WING,Wingstop Inc,CONSUMER CYCLICAL,115.43,21.4,16.1,Very Weak,Very Weak,100,100,Proven,763,-2.4759,-1.542,0.4206,2,-0.0061,Analyst Upside,27.09,3283544000,0.2307,-0.1358,-0.1692,41.7945,22.6031,NA,Unknown,NA,206.59,0.7897
WLDN,Willdan Group Inc,INDUSTRIALS,85.56,17.9,25.6,Very Weak,Very Weak,100,100,Proven,763,-0.8249,-0.548,0.4365,0,-0.0022,Analyst Upside,19.9,1303562000,0.1559,0.1497,-0.1038,55.7289,41.3351,NA,Unknown,NA,137.5,0.6071
PRIM,Primoris Services Corporation,INDUSTRIALS,77.18,0,15.8,Very Weak,Very Weak,100,100,Proven,763,-1.1547,-1.1502,0.4841,0,-0.0046,Analyst Upside,31.32,4299161000,0.1512,-0.1314,-0.4191,36.67,10.6263,NA,Unknown,NA,119.79,0.5521
