date,symbol,daily_alpha,mean_daily_alpha,jensen_alpha_ann,info_ratio,beta,ret_1m,ret_3m,momentum_score
2026-05-29,AAPL,-0.003931,8.42e-4,0.228363,1.109126,0.936649,0.15505,0.18124,72.010204
2026-06-01,AAPL,-0.021149,7.54e-4,0.206991,0.988714,0.933967,0.093418,0.161365,71.831633
2026-06-02,AAPL,0.027665,8.57e-4,0.232454,1.111939,0.934111,0.138605,0.200671,69.438776
2026-06-03,AAPL,-0.008655,8.3e-4,0.223901,1.075911,0.939593,0.12076,0.191978,75.30102
2026-06-05,AAPL,0.013311,9.36e-4,0.254666,1.212408,0.912923,0.068971,0.193739,78.505102
2026-06-08,AAPL,-0.021136,8.47e-4,0.233001,1.093115,0.910819,0.028024,0.156079,77.076531
2026-06-10,AAPL,0.019311,8.54e-4,0.235692,1.084682,0.89629,-0.003758,0.140053,69.647959
2026-06-11,AAPL,-0.003107,8.49e-4,0.236206,1.078242,0.894344,0.002816,0.181953,69.852041
2026-06-12,AAPL,-0.02063,7.78e-4,0.221474,0.980551,0.883759,-0.025898,0.163961,69.239796
2026-06-16,AAPL,0.015475,8.61e-4,0.246757,1.084619,0.874695,0.0047,0.197247,76.872449
2026-06-17,AAPL,0.001493,8.47e-4,0.241442,1.0674,0.875883,-0.006346,0.188745,70.872449
2026-06-18,AAPL,-8.4e-4,7.66e-4,0.218024,0.97216,0.890346,-0.003211,0.201702,75.239796
2026-06-22,AAPL,-2.09e-4,7.62e-4,0.216509,0.969148,0.890722,-0.038242,0.180297,69.443878
2026-06-23,AAPL,0.005398,8.51e-4,0.234645,1.087322,0.898891,-0.047018,0.164991,70.668367
2026-06-24,AAPL,-0.003682,8.14e-4,0.224964,1.039281,0.899341,-0.04946,0.158923,69.647959
2026-06-25,AAPL,-0.062623,6.06e-4,0.171477,0.737149,0.901442,-0.107612,0.105908,42.505102
2026-06-26,AAPL,0.038596,7.19e-4,0.20226,0.861312,0.879485,-0.087084,0.140595,47.683673
2026-06-30,AAPL,0.019259,6.45e-4,0.189238,0.768005,0.866514,-0.055336,0.131948,48.908163
2026-05-29,ABBV,-0.006654,-2.82e-4,0.140123,-0.273562,0.168697,0.067831,-0.061875,47.989796
2026-06-01,ABBV,-0.024724,-3.8e-4,0.117644,-0.36746,0.165877,0.030639,-0.089498,45.94898
2026-06-02,ABBV,0.010242,-3.22e-4,0.128589,-0.310925,0.166167,0.034781,-0.088022,47.785714
2026-06-03,ABBV,0.015049,-2.64e-4,0.138545,-0.255195,0.161203,0.043092,-0.065505,50.234694
2026-06-05,ABBV,0.03599,-5e-6,0.185899,-0.005158,0.136612,0.108277,-0.012516,59.811224
2026-06-08,ABBV,-0.020572,-8.8e-5,0.166795,-0.082976,0.134756,0.106773,-0.017356,60.770408
2026-06-10,ABBV,0.013681,-1.7e-5,0.165683,-0.016292,0.135272,0.10933,-0.001864,62.403061
2026-06-11,ABBV,-0.017797,-9.2e-5,0.15926,-0.086496,0.130495,0.081353,0.02317,63.015306
2026-06-12,ABBV,0.007761,-3.5e-5,0.180418,-0.032993,0.130899,0.09223,0.036644,59.811224
2026-06-16,ABBV,0.009933,-9.5e-5,0.194693,-0.088533,0.078532,0.062366,0.067822,64.239796
2026-06-17,ABBV,0.006914,-6.8e-5,0.188953,-0.063498,0.083175,0.056444,0.072734,60.852041
2026-06-18,ABBV,-0.029226,-1.3e-4,0.178362,-0.120352,0.078123,0.012771,0.055688,46.153061
2026-06-22,ABBV,0.065598,1.33e-4,0.24454,0.12002,0.061701,0.066342,0.120906,64.117347
2026-06-23,ABBV,0.035173,2.79e-4,0.262282,0.2497,0.035819,0.088363,0.133121,68.382653
2026-06-24,ABBV,0.001017,2.89e-4,0.263744,0.25844,0.035829,0.102149,0.11259,66.545918
2026-06-25,ABBV,0.033677,4.25e-4,0.292025,0.377337,0.034482,0.14086,0.161127,64.969388
2026-06-26,ABBV,0.049224,6.86e-4,0.345453,0.603907,0.015845,0.176184,0.209885,67.214286
2026-06-30,ABBV,-0.018286,4.64e-4,0.313506,0.409368,0.014226,0.181797,0.170528,68.846939
2026-05-29,ACN,0.046107,-0.002845,-0.646772,-2.085953,0.724163,0.037779,-0.103727,40.030612
2026-06-01,ACN,0.048167,-0.002641,-0.59649,-1.918951,0.730473,0.093199,-0.063367,40.091837
2026-06-02,ACN,-0.054107,-0.002814,-0.641673,-2.023324,0.73144,0.033866,-0.113238,40.030612
2026-06-03,ACN,-0.040185,-0.003021,-0.70138,-2.161328,0.755263,-0.014935,-0.170888,19.744898
2026-06-05,ACN,0.022399,-0.002903,-0.67137,-2.067392,0.72217,0.02108,-0.17093,18.520408
2026-06-08,ACN,-0.023695,-0.002986,-0.691508,-2.127185,0.720214,-0.0332,-0.134901,20.969388
2026-06-10,ACN,-0.001356,-0.003024,-0.706919,-2.154953,0.719589,-0.010734,-0.130324,16.357143
2026-06-11,ACN,-0.034475,-0.003132,-0.724645,-2.223475,0.691483,-0.013253,-0.148131,10.770408
2026-06-12,ACN,0.011067,-0.00306,-0.702671,-2.166262,0.68577,0.06665,-0.134096,15.744898
2026-06-16,ACN,0.006929,-0.003211,-0.723955,-2.260048,0.640864,-0.067756,-0.151832,11.994898
2026-06-17,ACN,-0.044968,-0.003319,-0.764573,-2.322173,0.680561,-0.121318,-0.233554,10.770408
2026-06-18,ACN,-0.187469,-0.003927,-0.887764,-2.472346,0.555328,-0.276131,-0.360068,10.770408
2026-06-22,ACN,-0.021466,-0.003997,-0.908413,-2.519138,0.560452,-0.303559,-0.355017,10.770408
2026-06-23,ACN,0.031986,-0.003903,-0.887888,-2.450705,0.520165,-0.291397,-0.339487,10.770408
2026-06-24,ACN,0.017313,-0.00375,-0.849472,-2.353544,0.518239,-0.270339,-0.34248,10.770408
2026-06-25,ACN,-0.02723,-0.003847,-0.876613,-2.410735,0.515205,-0.289153,-0.346729,10.770408
2026-06-26,ACN,0.032347,-0.003732,-0.852037,-2.325142,0.495495,-0.268655,-0.330322,10.770408
2026-06-30,ACN,-0.010192,-0.004006,-0.9015,-2.487062,0.457626,-0.36700700000000003,-0.368517,10.770408
2026-05-29,AMD,-0.006333,0.005867,1.032553,2.464392,2.754765,0.530954,1.577793,82.5
2026-06-01,AMD,-0.014291,0.005786,1.009927,2.434028,2.751925,0.414905,1.671537,82.5
2026-06-02,AMD,0.021009,0.005799,1.021176,2.439324,2.75106,0.527025,1.580987,82.5
2026-06-03,AMD,0.047244,0.005944,1.07712,2.494229,2.720019,0.588452,1.72008,82.5
2026-06-05,AMD,-0.082792,0.005392,0.968304,2.234842,2.799872,0.106766,1.423635,90.75
