symbol,last_fetched,company_av,sector_av,industry,market_cap,pe_ratio,pe_forward,pb_ratio,eps,eps_forward,roe,roa,profit_margin,operating_margin,revenue,revenue_per_share,ebitda,ev_ebitda,earningsGrowth,revenue_growth,beta_av,analyst_target,analyst_strong_buy,analyst_buy,analyst_hold,analyst_sell,analyst_strong_sell,shares_outstanding,dividend_yield,peg_ratio,ev_revenue,book_value,high_52w_av,low_52w_av
AAPL,2026-08-13,Apple Inc.,TECHNOLOGY,CONSUMER ELECTRONICS,4411090797000,34.66,32.36,41.84,8.72,8.72,1.488,0.271,0.276,0.326,466822988000,31.71,167959003000,26.92,0.287,0.164,1.086,322.28,6,22,14,2,2,14594180000,0.0034,2.486,9.68,7.36,344.27,222.96
ABBV,2026-08-13,AbbVie Inc,HEALTHCARE,DRUG MANUFACTURERS - GENERAL,439588094000,70.47,17.64,50.46,3.53,3.53,0.623,0.105,0.098,0.4,64385999000,36.39,30763000000,25.79,2.904,0.102,0.28,275.39,8,16,6,0,1,1767117000,0.0273,0.406,7.8,-3.359,267.47,189.4
ACAD,2026-08-18,ACADIA Pharmaceuticals Inc,HEALTHCARE,BIOTECHNOLOGY,4967553000,12.67,68.97,3.724,2.29,2.29,0.357,0.0364,0.334,0.123,1138644000,6.69,98392000,40.48,0.133,0.164,0.845,33.85,4,12,4,1,0,171236000,NA,50.86,3.498,7.59,29.85,19.69
ACN,2026-08-13,Accenture plc,TECHNOLOGY,INFORMATION TECHNOLOGY SERVICES,110235247000,14.37,12.05,3.42,12.54,12.54,0.244,0.109,0.107,0.17,73100591000,118.32,12943768000,8.7,0.09,0.056,1.074,178.89,3,11,13,0,0,611942000,0.0363,1.295,1.468,52.12,285.21,116.75
AFRM,2026-08-18,Affirm Holdings Inc,FINANCIAL SERVICES,CREDIT SERVICES,24956639000,71.65,39.84,6.94,1.04,1.04,0.115,0.0174,0.0963,0.0851,3971539000,11.96,631559000,29.42,35.29,0.326,3.616,91.2,5,20,9,0,0,294358000,NA,0.786,8.27,11.3,100,42.09
AI,2026-08-18,C3 Ai Inc,TECHNOLOGY,SOFTWARE - INFRASTRUCTURE,1588692000,NA,NA,2.361,-3.27,-3.27,-0.63,-0.331,-1.879,-2.138,250268000,1.781,-474316000,-2.296,0,-0.525,2.073,8.82,0,1,7,3,3,151949000,NA,NA,3.891,4.417,20.22,7.67
ALGM,2026-08-18,Allegro Microsystems Inc,TECHNOLOGY,SEMICONDUCTORS,8248291000,632.14,45.25,8.58,0.07,0.07,0.0153,0.0297,0.015,0.0982,945934000,5.1,134877000,83.4,-0.485,0.275,1.936,54.83,2,8,1,0,0,186402000,NA,NA,8.9,5.17,71.77,22.41
ALNY,2026-08-16,Alnylam Pharmaceuticals Inc,HEALTHCARE,BIOTECHNOLOGY,30595455000,39.83,26.32,22.59,5.74,5.74,0.966,0.123,0.161,0.179,4804182000,36.24,1054538000,25.84,0,0.669,0.279,372.29,8,14,6,0,0,133809000,NA,0.434,5.94,10.12,495.55,197.81
ALRM,2026-08-18,Alarm.com Holdings Inc,TECHNOLOGY,SOFTWARE - APPLICATION,2727944000,24.59,26.25,3.156,2.26,2.26,0.133,0.0499,0.111,0.151,1060984000,21.36,167716000,12.94,-0.234,0.092,0.759,63,1,2,2,0,1,49090200,NA,1.406,2.654,17.63,59.53,41.49
AMD,2026-08-13,Advanced Micro Devices Inc,TECHNOLOGY,SEMICONDUCTORS,788371145000,120.43,63.29,11.4,4.01,4.01,0.102,0.0513,0.156,0.172,41305002000,25.36,9562000000,70.7,1.595,0.501,2.489,613.33,5,36,10,0,0,1632475000,NA,1.006,18.34,41.19,584.73,149.22
AMGN,2026-08-13,Amgen Inc,HEALTHCARE,DRUG MANUFACTURERS - GENERAL,225153368000,25.71,18.62,19.31,16.19,16.19,0.915,0.0867,0.23,0.355,38095000000,70.68,17268001000,15.27,0.649,0.095,0.413,381.59,4,10,17,2,1,541000000,0.0237,2.19,7.06,21.62,421.79,264.02
AMKR,2026-08-18,Amkor Technology Inc,TECHNOLOGY,SEMICONDUCTOR EQUIPMENT & MATERIALS,15194585000,26.42,27.55,3.152,2.32,2.32,0.125,0.0462,0.0745,0.105,7457680000,30.14,1323916000,10.59,2.182,0.256,2.247,77.11,2,3,5,0,0,247873000,0.0056,0.76,1.975,18.75,96.68,22.55
AMPL,2026-08-18,Amplitude Inc,TECHNOLOGY,SOFTWARE - APPLICATION,1575192000,NA,44.05,11.96,-0.73,-0.73,-0.479,-0.155,-0.266,-0.328,374369000,2.828,-96246000,-14.31,0,0.212,1.427,13.59,3,6,3,0,0,101262000,NA,NA,4.002,1.091,13.58,5.51
AMZN,2026-08-13,Amazon.com Inc,CONSUMER CYCLICAL,INTERNET RETAIL,2882965864000,21.89,23.7,5.44,12.21,12.21,0.306,0.0659,0.174,0.137,775680033000,72.33,168911995000,12.2,2.423,0.196,1.454,325.19,16,43,3,0,0,10786314000,NA,1.48,3.996,51.16,287.2,196
ANAB,2026-08-18,AnaptysBio Inc,HEALTHCARE,BIOTECHNOLOGY,1731208000,NA,NA,135.88,-1.02,-1.02,-1.145,0.0678,-0.115,-1.355,232388000,8.22,41341000,24.95,0,-0.08,0.403,87.09,3,8,0,0,0,29608500,NA,0,6.28,0.439,72.36,11.4
ANET,2026-08-16,Arista Networks,TECHNOLOGY,COMPUTER HARDWARE,250756710000,64.55,46.73,16.32,3.08,3.08,0.315,0.141,0.384,0.454,10540800000,8.38,4639600000,49.19,0.357,0.377,1.615,241.82,7,22,1,0,0,1261225000,NA,1.811,21.65,11.73,214.89,114.52
APPN,2026-08-18,Appian Corp,TECHNOLOGY,SOFTWARE - INFRASTRUCTURE,2500519000,NA,416.67,42.82,-0.14,-0.14,-9.37,0.0323,-0.0134,0.0042,795307000,10.8,39892000,119.34,0,0.191,0.861,34,0,1,5,0,1,40540200,NA,0,3.349,-1.465,46.06,18.63
ARHS,2026-08-18,Arhaus Inc,CONSUMER CYCLICAL,SPECIALTY RETAIL,1348877000,19.06,15.22,3.358,0.5,0.5,0.173,0.0421,0.0491,0.141,1408588000,9.99,142127000,9.41,0.124,0.074,2.304,10.35,1,4,10,0,0,54424000,0,NA,1.261,2.928,12.02,5.57
ARWR,2026-08-18,Arrowhead Pharmaceuticals Inc,HEALTHCARE,BIOTECHNOLOGY,12494018000,NA,111.11,26.29,-2.28,-2.28,-0.552,-0.081,-0.478,-2.26,669495000,4.766,-200635008,27.85,0.098,1.71,1.294,110.18,4,8,0,0,0,140857000,NA,-1.32,17.36,3.298,95.49,19.56
ASAN,2026-08-18,Asana Inc,TECHNOLOGY,SOFTWARE - APPLICATION,2035402000,NA,24.69,15.38,-0.67,-0.67,-0.875,-0.102,-0.202,-0.0743,808634000,3.403,-121904000,-13.2,0,0.095,0.92,9.13,1,4,8,2,0,160970000,NA,NA,2.387,0.586,15.71,5.38
ATI,2026-08-18,Allegheny Technologies Incorporated,INDUSTRIALS,METAL FABRICATION,31561572000,67.18,51.81,16.58,3.45,3.45,0.254,0.0879,0.101,0.182,4715200000,34.54,916800000,36.89,0.557,0.106,1.008,248.44,1,8,0,0,0,136170000,NA,1.195,6.9,13.78,243.57,70.42
AVGO,2026-08-13,Broadcom Inc,TECHNOLOGY,SEMICONDUCTORS,1979391279000,69.46,22.62,22.92,5.99,5.99,0.373,0.121,0.389,0.49,75464999000,15.94,42084000000,48.49,0.854,0.479,1.473,527.88,7,37,4,0,0,4757580000,0.0061,0.475,27.23,18.43,494.18,279.8
AXON,2026-08-18,Axon Enterprise Inc.,INDUSTRIALS,AEROSPACE & DEFENSE,49784726000,256.41,77.52,13.55,2.39,2.39,0.0622,0.0051,0.0619,0.0517,3219099000,40.47,165106000,125.36,-0.182,0.353,1.397,693.4,8,10,2,0,1,81237000,NA,2.804,15.82,45.23,794.29,339.01
BAC,2026-08-13,Bank of America Corp,FINANCIAL SERVICES,BANKS - DIVERSIFIED,453200019000,14.76,13.81,1.617,4.39,4.39,0.112,0.0097,0.295,0.383,113931002000,15.59,NA,NA,0.341,0.168,1.168,68.77,5,15,4,0,0,6992748000,0.0175,1.087,7.31,39.34,64.95,45.79
