bucket,rebalance_date,mean_daily_alpha,cum_alpha,hit_rate,n_stocks
1,2024-02-08,4.6024071728692083e-4,0.029295045314782567,0.48717948717948717,39
2,2024-02-08,0.0013755778622479666,0.08765550501751931,0.6410256410256411,39
3,2024-02-08,-2.8485113876858443e-5,0.008605773716013971,0.48717948717948717,39
4,2024-02-08,0.0010157750312517924,0.06761052527470353,0.5641025641025641,39
5,2024-02-08,0.0010760563927398551,0.049435755823500266,0.5384615384615384,39
1,2024-03-11,3.7077629718109003e-4,0.018761997670625398,0.5897435897435898,39
2,2024-03-11,-0.0013879490504348185,-0.08477601653861168,0.28205128205128205,39
3,2024-03-11,-8.906854434932925e-4,-0.057135028734900416,0.38461538461538464,39
4,2024-03-11,-0.0012870377078984497,-0.07456984755070502,0.28205128205128205,39
5,2024-03-11,-0.0012454632658223143,-0.07635445306436746,0.38461538461538464,39
1,2024-04-10,-2.3210930736941986e-4,-0.022406263811606746,0.5128205128205128,39
2,2024-04-10,-0.0010707585062964063,-0.07053451952931325,0.46153846153846156,39
3,2024-04-10,-0.0010191125507799496,-0.0670888847102188,0.2564102564102564,39
4,2024-04-10,-0.0010263284902359059,-0.06958069808289494,0.3076923076923077,39
5,2024-04-10,-0.001801204667638359,-0.09445908617305426,0.3333333333333333,39
1,2024-05-09,-1.0492442324105256e-4,-0.01838791845219597,0.5641025641025641,39
2,2024-05-09,-0.0012489034456402935,-0.09121541554176624,0.358974358974359,39
3,2024-05-09,-0.0012808890915248525,-0.07702368222746639,0.3333333333333333,39
4,2024-05-09,-2.094299462643563e-6,-0.006755524777555519,0.5128205128205128,39
5,2024-05-09,-6.386674853075317e-4,-0.04280775058889279,0.4358974358974359,39
1,2024-06-10,-6.917920521447447e-4,-0.04982671538257339,0.4358974358974359,39
2,2024-06-10,-1.5050507810456773e-4,-0.007633036109185336,0.6153846153846154,39
3,2024-06-10,-3.714417102420914e-4,-0.03011032735884931,0.5641025641025641,39
4,2024-06-10,1.5876623613706028e-4,-8.746081525523017e-5,0.5128205128205128,39
5,2024-06-10,3.526622614252508e-4,0.013824930067087219,0.7435897435897436,39
1,2024-07-11,0.0012301578603939737,0.07537384826207724,0.6923076923076923,39
2,2024-07-11,-5.312297524570256e-4,-0.036829187148700905,0.46153846153846156,39
3,2024-07-11,-2.5618793924177133e-4,-0.019065819472002282,0.48717948717948717,39
4,2024-07-11,7.316140920858518e-4,0.036829419596824654,0.6410256410256411,39
5,2024-07-11,7.871414325844204e-4,0.04076788573859417,0.6410256410256411,39
1,2024-08-09,0.0014227658578504197,0.09350795343736823,0.6410256410256411,39
2,2024-08-09,6.329780717096486e-4,0.034531257438221746,0.5641025641025641,39
3,2024-08-09,-1.8804346584574324e-4,-0.010326065467288122,0.5128205128205128,39
4,2024-08-09,0.0011187773644998013,0.08223799305138782,0.5641025641025641,39
5,2024-08-09,0.0010396069676898612,0.057698535435599954,0.6153846153846154,39
1,2024-09-10,0.0014086568674067277,0.09963900320583677,0.5897435897435898,39
2,2024-09-10,7.886972392370112e-4,0.06536478224969638,0.5897435897435898,39
3,2024-09-10,0.0012199850883783585,0.09851291148976497,0.5641025641025641,39
4,2024-09-10,0.001404846628432556,0.11664270556957369,0.5384615384615384,39
5,2024-09-10,0.005171281352074333,0.5413468993253246,0.7948717948717948,39
1,2024-10-09,0.0010471232189687442,0.06302472181368211,0.717948717948718,39
2,2024-10-09,0.001695128974892463,0.12643698052838734,0.5897435897435898,39
3,2024-10-09,1.1783480927927616e-4,0.008759598610340792,0.5384615384615384,39
4,2024-10-09,0.0012552643734454892,0.09685682194890838,0.5897435897435898,39
5,2024-10-09,0.004472216810160924,0.5385431032453794,0.6410256410256411,39
1,2024-11-07,0.001584986506219602,0.10237924192898366,0.6153846153846154,39
2,2024-11-07,8.609106136652156e-4,0.06347237034483158,0.6410256410256411,39
3,2024-11-07,0.003101255711202929,0.4054190568741336,0.6153846153846154,39
4,2024-11-07,0.0013221967189258287,0.13605851773193162,0.48717948717948717,39
5,2024-11-07,-7.263639552133209e-4,-0.06936382556987201,0.4358974358974359,39
1,2024-12-09,-6.260366703293605e-4,-0.0952550425811211,0.3076923076923077,39
2,2024-12-09,-0.001518343870694759,-0.0950374850040316,0.23076923076923078,39
3,2024-12-09,-4.911192198289669e-4,-0.0373863887640744,0.4358974358974359,39
4,2024-12-09,-8.562705759171945e-4,-0.04955753728907717,0.46153846153846156,39
5,2024-12-09,3.086653589041373e-4,-0.009431308941629971,0.5128205128205128,39
1,2025-01-10,-1.9440561556899105e-4,-0.05472992590827211,0.46153846153846156,39
2,2025-01-10,-5.207778261473798e-5,-0.00997849900600533,0.41025641025641024,39
3,2025-01-10,-9.924033937004516e-4,-0.055020641935481465,0.4358974358974359,39
4,2025-01-10,-0.0014712508966725783,-0.0965534392079744,0.3333333333333333,39
5,2025-01-10,-0.0012397598948819537,-0.08294854106735172,0.41025641025641024,39
1,2025-02-11,-3.978811516744867e-5,-0.011800187400586328,0.38461538461538464,39
2,2025-02-11,-2.351459549256877e-4,-0.02902338725363761,0.3333333333333333,39
3,2025-02-11,1.8314391177755206e-4,-0.004925375824439514,0.46153846153846156,39
4,2025-02-11,-6.262050699778789e-4,-0.04413667975332854,0.46153846153846156,39
5,2025-02-11,2.470573510990355e-5,-0.006597844475467794,0.46153846153846156,39
1,2025-03-13,0.0034021374409382633,0.24525744968189625,0.7692307692307693,39
2,2025-03-13,9.157496137444591e-4,0.04442614163899832,0.6153846153846154,39
3,2025-03-13,-1.4082409473485929e-4,-0.010568822108894675,0.48717948717948717,39
4,2025-03-13,5.424747322285815e-5,-0.008857265399648743,0.358974358974359,39
5,2025-03-13,-1.634510769033707e-4,-0.022713717792258736,0.5128205128205128,39
1,2025-04-11,0.0017382554734015326,0.12000637954794627,0.6410256410256411,39
2,2025-04-11,8.849930566152323e-4,0.0761569063977299,0.48717948717948717,39
3,2025-04-11,0.0011484471481271572,0.08050557379642606,0.5384615384615384,39
4,2025-04-11,0.0010847510365206501,0.08416013208216314,0.5897435897435898,39
5,2025-04-11,0.00145786431336882,0.0842800404916486,0.6923076923076923,39
1,2025-05-13,5.181637629898897e-4,0.0429620148582519,0.5384615384615384,39
2,2025-05-13,0.0014108638740138646,0.09536699021872178,0.5897435897435898,39
3,2025-05-13,-7.654341879930502e-4,-0.04701902830295473,0.3333333333333333,39
4,2025-05-13,6.971690267077963e-6,0.0018673313768833954,0.41025641025641024,39
5,2025-05-13,-6.648552021939753e-4,-0.06572006051607142,0.48717948717948717,39
1,2025-06-12,3.363964556497847e-6,-0.0030900597687982057,0.5128205128205128,39
2,2025-06-12,8.765302952099565e-4,0.05394738422195375,0.48717948717948717,39
3,2025-06-12,6.00403948070202e-4,0.03871068013603035,0.5384615384615384,39
4,2025-06-12,2.410972950839401e-4,0.011610802763404367,0.48717948717948717,39
5,2025-06-12,-5.536658756582057e-4,-0.04869938399927599,0.5128205128205128,39
1,2025-07-15,0.0012952817012950766,0.07795775635601761,0.6923076923076923,39
2,2025-07-15,3.8834620062201463e-4,0.046930102691988065,0.41025641025641024,39
3,2025-07-15,2.1231323154667387e-4,0.020622180320752467,0.4358974358974359,39
4,2025-07-15,3.370446884115155e-4,0.014579902290003466,0.48717948717948717,39
5,2025-07-15,-2.012581649818089e-4,-0.02712725386100417,0.38461538461538464,39
1,2025-08-13,0.0014776315287679076,0.08438605947951393,0.6666666666666666,39
2,2025-08-13,3.042360755777336e-4,0.01879591404372117,0.46153846153846156,39
3,2025-08-13,2.2015103400180829e-4,0.02491679734924936,0.48717948717948717,39
4,2025-08-13,-1.5372298421440772e-4,-0.009319745180986416,0.4358974358974359,39
5,2025-08-13,-1.221856410159204e-4,-0.010096339866507806,0.4358974358974359,39
1,2025-09-12,0.0014811947389820831,0.11401883815597788,0.5897435897435898,39
2,2025-09-12,0.001136506723891859,0.06765505793415341,0.5384615384615384,39
3,2025-09-12,0.001028156669700609,0.07634254204743343,0.5128205128205128,39
4,2025-09-12,-2.0381358302921002e-4,-0.01661916371574852,0.41025641025641024,39
5,2025-09-12,-1.2136201324203113e-5,-0.009109570773582718,0.41025641025641024,39
1,2025-10-13,0.0016178717517718356,0.11766118329481014,0.5384615384615384,39
2,2025-10-13,7.628559747293951e-5,-0.0038584225328077053,0.5897435897435898,39
3,2025-10-13,0.0012083652570767387,0.07531743836018161,0.6410256410256411,39
4,2025-10-13,-2.0372992269516538e-4,-0.019997530114546157,0.5128205128205128,39
5,2025-10-13,-2.600373252719712e-4,-0.031071648679990523,0.5384615384615384,39
1,2025-11-11,9.436894841388485e-4,0.13067986533255466,0.5128205128205128,39
2,2025-11-11,-5.10272727968824e-4,-0.01641211021675485,0.5384615384615384,39
3,2025-11-11,8.301488534593471e-4,0.06572396956058063,0.6410256410256411,39
4,2025-11-11,-0.0013039261035848074,-0.06615832480767693,0.4358974358974359,39
5,2025-11-11,-5.410534143735686e-4,-0.022806182705553717,0.6153846153846154,39
1,2025-12-11,9.730496141810946e-6,0.046811575317506175,0.46153846153846156,39
2,2025-12-11,2.5775594367960804e-5,0.007840499129087191,0.48717948717948717,39
3,2025-12-11,-0.0013451018027609125,-0.07658341781079174,0.41025641025641024,39
4,2025-12-11,-0.0011415889151883192,-0.0636423913834342,0.41025641025641024,39
5,2025-12-11,-0.0016093200828598163,-0.0894218513928402,0.38461538461538464,39
1,2026-01-13,0.0015089043042840553,0.11511932729079487,0.6153846153846154,39
2,2026-01-13,5.814684771575332e-4,0.039967398406001636,0.48717948717948717,39
3,2026-01-13,-6.065999239326682e-4,-0.038150329272639574,0.48717948717948717,39
4,2026-01-13,-0.00294495390705628,-0.16679490970351685,0.2564102564102564,39
5,2026-01-13,-0.0032513067613295864,-0.17408895260213275,0.358974358974359,39
1,2026-02-12,0.0015791049390988395,0.08871153712309282,0.5897435897435898,39
2,2026-02-12,5.824131309268099e-4,0.03891639067827184,0.41025641025641024,39
3,2026-02-12,-3.86039226936397e-4,-0.03118115821800205,0.46153846153846156,39
4,2026-02-12,-0.0018275655914293154,-0.10534730079710934,0.3076923076923077,39
5,2026-02-12,-0.0012873621209049616,-0.08959149083617317,0.28205128205128205,39
1,2026-03-16,0.0018362513657196903,0.10291914893555276,0.5641025641025641,39
2,2026-03-16,0.0012106668397285822,0.0859985543868777,0.5641025641025641,39
3,2026-03-16,1.6932569855229347e-4,0.012501551639548504,0.5641025641025641,39
4,2026-03-16,1.9114682672657717e-4,0.00739182871838765,0.46153846153846156,39
5,2026-03-16,-4.078778859416428e-4,-0.04800954048243527,0.46153846153846156,39
1,2026-04-15,7.860605894150484e-4,0.010461289430472493,0.6153846153846154,39
2,2026-04-15,6.672872431979032e-4,0.036961488131913064,0.5384615384615384,39
3,2026-04-15,3.525012697894692e-4,0.023319362969135213,0.5128205128205128,39
4,2026-04-15,9.244057047224602e-4,0.054721720616110664,0.5384615384615384,39
5,2026-04-15,0.0022437517651795118,0.12755380213919496,0.6666666666666666,39
1,2026-05-14,-2.899537089953274e-4,-0.038189462264062765,0.4358974358974359,39
2,2026-05-14,0.0015631712355038986,0.09451586085862941,0.6923076923076923,39
3,2026-05-14,9.080196750755856e-4,0.0489827690220116,0.6410256410256411,39
4,2026-05-14,0.0190249534746643,6.110095046637127,0.7692307692307693,39
5,2026-05-14,0.004076661955543497,0.2678899631014756,0.7692307692307693,39
