symbol,price,high_52w,low_52w,last_fetched,industry,market_cap,pe_ratio,pe_forward,pb_ratio,eps,eps_forward,roe,roa,profit_margin,operating_margin,revenue,revenue_per_share,ebitda,ev_ebitda,earningsGrowth,revenue_growth,beta_av,analyst_target,analyst_strong_buy,analyst_buy,analyst_hold,analyst_sell,analyst_strong_sell,shares_outstanding,dividend_yield,peg_ratio,ev_revenue,book_value,company,sector,pe_score,pb_score,roe_score,margin_score,analyst_total,analyst_score,analyst_upside,fundamental_score,price_now,price_1m,price_3m,price_6m,price_1y,ret_1m,ret_3m,ret_6m,ret_1y,ma20,ma50,ma200,rsi14,macd_line,macd_signal,macd_hist,bb_upper,bb_lower,bb_pct,vol_annual,avg_vol_30,beta,spy_mean_daily,mean_daily_ret,mean_daily_alpha,sd_daily_alpha,days_in_pull,today_alpha,jensen_alpha_ann,tracking_error,info_ratio,above_ma20,above_ma50,above_ma200,golden_cross,rsi_zone,macd_bullish,trend_score,rsi_score,ret3m_score,ret6m_score,macd_score,momentum_score,days_tracked,cum_alpha_all,alpha_30d,alpha_63d,alpha_hit_rate,hist_mean_alpha,hist_sd_alpha,hist_alpha_ann,hist_ir,confidence_weight,alpha_streak,squeeze_score,squeeze_tier,short_percent_float,short_ratio,short_trend,fundamentals_improving,short_float_pct,improvement_count,put_call_ratio,put_call_oi,options_volume,avg_iv,options_score,options_sentiment,above_vwap,squeeze_poly,debt_equity_poly,revenue_poly,gross_margin,fcf,shares_float,market_cap_poly,vwap,vol_ratio,open_gap_pct,debt_equity,fcf_sec,debt_equity_sec,gross_margin_sec,revenue_sec,total_debt_sec,cash_sec,rev_cagr_sec,equity_sec,total_debt,cash,rev_cagr,p_ann_alpha,p_ir,p_hit_rate,p_streak,p_alpha_63d,alpha_score_raw,alpha_score,q_pe,q_pb,q_roe,q_de,q_margin,q_analyst,quality_gate,tech_filter,options_signal,options_live,final_score,master_score,rating,signal,golden_cross_flag,squeeze_candidate,regime,confidence_band,master_percentile,expected_return_1d,primary_driver,signal_matches,close,changesPercentage,yearHigh,yearLow,priceToBook,enterpriseToEbitda,grossMargin,operatingMargin,profitMargins,returnOnEquity,revenueGrowth,debtToEquity,debt_to_equity,currentRatio,current_ratio,marketCap,mktcap_fmt,pe_fmt,ret_1m_fmt,ret_3m_fmt,ret_6m_fmt,ret_1y_fmt,value_score,quality_score,growth_score,safety_score,short_float,tier
AAPL,316.22,344.27,225.12,2026-09-04,CONSUMER ELECTRONICS,4789955985000,37.68,33.22,44.13,8.71,8.71,1.488,0.271,0.276,0.326,466822988000,31.71,167959003000,28.38,0.287,0.042,1.086,324.53,6,19,14,3,2,14594180000,0.0032,2.556,10.21,7.36,Apple Inc.,TECHNOLOGY,25,20,95,90,44,63.6,0.0263,58.61,316.22,308.26,291.58,255.76,237.88,0.0258,0.0845,0.2364,0.3293,313.538,315.8002,284.1139,50.1995,0.6963,0.4005,0.2958,327.9553,299.1207,0.593,0.2108,39456852.381,1.0553,8e-4,9e-4,1e-4,0.0135,750,-0.0062,0.024,0.2136,0.162,TRUE,TRUE,TRUE,TRUE,Neutral,TRUE,100,85,54.6392,63.4021,70,73.8222,768,0.0347,-0.0962,0.0085,0.5159,7e-4,0.0171,0.1776,0.6531,1,0,17,No Signal,0.01,2.53,Decreasing,FALSE,0.8%,0,NA,NA,NA,NA,50,Unknown,FALSE,FALSE,NA,NA,0.4691,102386000000,NA,NA,NA,NA,NA,0.7659,102386000000,0.7659,0.4691,416161000000,82347000000,39544000000,0.042,107520000000,82347000000,39544000000,0.042,58.2,66.5,68.6,0,51,55.5,55.5,34.1,0.5,98.5,35.1,82,63.6,56.1,70,50,FALSE,59.1,59.1,Neutral,Neutral,TRUE,FALSE,NEUTRAL,Proven,63.4,7e-4,Strong Trend,GX MACD RSI MA200,316.22,2.58,344.27,225.12,44.13,28.38,0.4691,0.326,0.276,1.488,0.042,0.7659,0.7659,NA,NA,4789955985000,$4.79T,37.7,+2.6%,+8.5%,+23.6%,+32.9%,56.1,56.1,70,53.66,0.01,Tier 2: Golden Cross
ABBV,248.78,267.47,189.4,2026-09-04,DRUG MANUFACTURERS - GENERAL,459821580000,74.13,16.08,50.46,3.51,3.51,0.623,0.105,0.098,0.4,64385999000,36.39,30763000000,26.88,2.904,0.0611,0.28,276.59,8,17,5,0,1,1767117000,0.0261,0.37,8.13,-3.359,AbbVie Inc,HEALTHCARE,25,20,95,60,31,75,0.1118,55.25,248.78,247.97,224.95,225.37,209.79,0.0033,0.1059,0.1039,0.1859,257.578,254.387,228.4141,41.6742,0.519,1.0035,-0.4845,269.4212,245.7348,0.1286,0.2438,4335776.1905,0.2733,8e-4,8e-4,0,0.017,750,-0.0245,0.1511,0.2697,0.0437,FALSE,FALSE,TRUE,TRUE,Neutral,FALSE,35,45,57.732,41.2371,30,44.067,768,-0.1017,-0.068,0.0689,0.5,-1e-4,0.0199,-0.0364,-0.115,1,0,25.43,No Signal,0.01,3.57,Decreasing,FALSE,1%,0,NA,NA,NA,NA,50,Unknown,FALSE,FALSE,NA,NA,NA,19236666666.6667,NA,NA,NA,NA,NA,NA,19236666666.6667,NA,NA,61160000000,64503000000,6569000000,0.0611,-5935000000,64503000000,6569000000,0.0611,37.6,38.1,55.7,0,63.4,41.5,41.5,8.7,50,93.8,50,51,75,54.5,38.9,50,FALSE,42.8,42.8,Weak,Weak,TRUE,FALSE,NEUTRAL,Proven,40.2,-1e-4,Balanced,GX MA200 ANALYST,248.78,0.33,267.47,189.4,50.46,26.88,NA,0.4,0.098,0.623,0.0611,NA,NA,NA,NA,459821580000,$459.8B,74.1,+0.3%,+10.6%,+10.4%,+18.6%,54.5,54.5,38.9,52.699999999999996,0.01,Tier 2: Golden Cross
ACAD,27.58,30.96,19.69,2026-09-09,BIOTECHNOLOGY,4722685000,12.37,27.78,3.695,2.23,2.23,0.357,0.0364,0.334,0.123,1138644000,6.69,98392000,40.1,0.133,0.2145,0.857,34,4,12,4,1,0,171236000,NA,50.86,3.465,7.59,ACADIA Pharmaceuticals Inc,HEALTHCARE,90,60,95,90,21,72.6,0.2328,83.76,27.58,29.39,21.25,21.27,25.39,-0.0616,0.2979,0.2967,0.0863,29.1125,27.3316,24.4844,43.9693,0.9474,2.2951,-1.3476,30.6783,27.5467,0.0106,0.3548,1480938.0952,0.9234,8e-4,5e-4,-3e-4,0.03,750,-0.0102,-0.0515,0.4768,-0.1389,FALSE,TRUE,TRUE,TRUE,Neutral,FALSE,100,45,85.567,70.1031,30,74.4407,768,-0.4493,0.0468,0.2221,0.4365,8e-4,0.0223,0.2116,0.598,1,0,40.07,Low Signal,0.06,4.54,Decreasing,FALSE,5.5%,0,NA,NA,NA,NA,50,Unknown,FALSE,FALSE,NA,NA,0.9427,92998000,172305518,4752186186.44,NA,NA,NA,NA,92998000,NA,0.9427,726437000,NA,384985000,0.2145,1306609000,NA,384985000,0.2145,61.9,64.4,12.4,0,83,49.6,49.6,92,70.5,85.1,50,91.8,72.6,79.2,66,50,FALSE,58,58,Neutral,Neutral,TRUE,FALSE,NEUTRAL,Proven,61.3,8e-4,Analyst Upside,GX MA200 ANALYST,27.58,-6.16,30.96,19.69,3.695,40.1,0.9427,0.123,0.334,0.357,0.2145,NA,NA,NA,NA,4722685000,$4.7B,12.4,-6.2%,+29.8%,+29.7%,+8.6%,79.2,79.2,66,67.52000000000001,0.06,Tier 2: Golden Cross
ACN,179.03,285.21,116.75,2026-09-04,INFORMATION TECHNOLOGY SERVICES,118178251000,15.42,12.71,3.609,12.52,12.52,0.244,0.109,0.107,0.17,73100591000,118.32,12943768000,9.19,0.09,0.0425,1.074,184.19,3,11,13,0,0,611942000,0.0347,1.367,1.55,52.12,Accenture plc,TECHNOLOGY,75,60,80,60,27,65.7,0.0288,70.32,179.03,178.25,170.5,196.05,255.57,0.0044,0.05,-0.0868,-0.2995,183.214,162.7062,202.5957,50.381,3.3099,4.091,-0.7811,194.8144,171.6136,0.3197,0.3994,5129309.5238,0.6585,8e-4,-6e-4,-0.0013,0.0201,750,-0.0357,-0.2718,0.3194,-1.056,FALSE,TRUE,FALSE,FALSE,Neutral,FALSE,55,85,47.4227,20.1031,30,47.7474,768,-0.6716,0.1198,-0.0163,0.4841,-0.0017,0.0338,-0.43120000000000003,-0.8031,1,0,35.76,No Signal,0.04,4.17,Decreasing,FALSE,3.8%,0,NA,NA,NA,NA,50,Unknown,FALSE,FALSE,NA,NA,NA,9494991333.3333,NA,NA,NA,NA,NA,0.1577,9494991333.3333,0.1577,NA,69672977000,5029449000,10165245000,0.0425,31890566000,5029449000,10165245000,0.0425,18,21.1,42.8,0,44.3,25.9,25.9,85.5,71.6,71.6,80.2,53.6,65.7,72.7,43.4,50,FALSE,37.1,37.1,Weak,Weak,FALSE,FALSE,NEUTRAL,Proven,30.9,-0.0017,Quality,RSI,179.03,0.44,285.21,116.75,3.609,9.19,NA,0.17,0.107,0.244,0.0425,0.1577,0.1577,NA,NA,118178251000,$118.2B,15.4,+0.4%,+5%,-8.7%,-30%,72.7,72.7,43.4,63.62,0.04,No Signal
AFRM,72.08,92.56,42.09,2026-09-09,CREDIT SERVICES,24321325000,13.03,37.45,4.452,5.53,5.53,0.451,0.0193,0.453,0.126,4261082000,12.71,739194000,25.46,21.87,0.425,3.61,99.42,NA,NA,NA,NA,NA,296882000,NA,0.707,7.47,16.26,Affirm Holdings Inc,FINANCIAL SERVICES,90,60,95,90,0,50,0.3793,81.5,72.08,75.54,62.81,46.38,85.88,-0.0458,0.1476,0.5541,-0.1607,75.4005,76.9393,66.5454,44.0491,-1.0263,-0.3919,-0.6343,80.0328,70.7682,0.1416,0.5611,5292671.4286,2.5599,8e-4,0.0026,0.0018,0.0431,750,0.0018,0.1612,0.6839,0.6728,FALSE,FALSE,TRUE,TRUE,Neutral,FALSE,35,45,70.6186,88.1443,30,57.3144,768,2.2182,-0.0452,0.0692,0.5159,0.0024,0.0313,0.6095,1.2255,1,1,40.45,Low Signal,0.05,5.38,Decreasing,FALSE,4.9%,0,NA,NA,NA,NA,50,Unknown,FALSE,FALSE,NA,NA,NA,261322666.6667,337421256,24321324132.48,NA,NA,NA,1.786,261322666.6667,1.786,NA,3224412000,9794058000,1630038000,0.425,5483824000,9794058000,1630038000,0.425,83.5,88.1,68.6,61.3,63.9,76.5,76.5,90.6,60.1,89.2,10.8,96.9,50,71.2,62.7,50,FALSE,72.4,72.4,Strong,Strong,TRUE,FALSE,NEUTRAL,Proven,86.6,0.0024,Alpha Leader,GX MA200 ANALYST,72.08,-4.58,92.56,42.09,4.452,25.46,NA,0.126,0.453,0.451,0.425,1.786,1.786,NA,NA,24321325000,$24.3B,13,-4.6%,+14.8%,+55.4%,-16.1%,71.2,71.2,62.7,62.72,0.05,Tier 2: Golden Cross
AI,10.51,20.22,7.67,2026-09-09,SOFTWARE - INFRASTRUCTURE,1682516000,NA,NA,2.41,-3.09,-3.09,-0.598,-0.312,-1.921,-1.863,232382000,1.598,-447079008,-2.296,0,-0.1023,2.093,8.82,0,1,7,3,3,156587000,NA,NA,4.754,4.417,C3 Ai Inc,TECHNOLOGY,50,75,15,20,14,35.7,-0.1608,38.57,10.51,10.4,10.8,8.87,15.74,0.0106,-0.0269,0.1849,-0.3323,10.2695,9.5746,10.6096,55.6512,2.5786,2.5256,0.0529,10.948,9.591,0.6772,0.5074,5255019.0476,1.9806,8e-4,-5e-4,-0.0013,0.0372,750,0.0103,-0.504,0.5908,-0.535,TRUE,TRUE,FALSE,FALSE,Neutral,TRUE,55,85,31.9588,53.6082,70,53.8093,768,-0.7981,0.1518,-0.0414,0.5159,6e-4,0.0317,0.1454,0.289,1,1,49.48,Low Signal,0.31,11.46,Stable,FALSE,30.7%,0,NA,NA,NA,NA,50,Unknown,FALSE,FALSE,NA,NA,0.3092,-108066666.6667,NA,NA,NA,NA,NA,NA,-108066666.6667,NA,0.3092,250268000,NA,136435000,-0.1023,694896000,NA,136435000,-0.1023,53.1,50.5,68.6,61.3,36.6,53.9,53.9,50,84.2,7.2,50,0.5,35.7,34.9,60.4,50,FALSE,52.6,52.6,Neutral,Neutral,FALSE,FALSE,NEUTRAL,Proven,54.1,6e-4,Balanced,MACD RSI,10.51,1.06,20.22,7.67,2.41,-2.296,0.3092,-1.863,-1.921,-0.598,-0.1023,NA,NA,NA,NA,1682516000,$1.7B,N/A,+1.1%,-2.7%,+18.5%,-33.2%,34.9,34.9,60.4,40.94,0.31,Tier 5: Underdog Watch
ALGM,36.47,71.77,22.41,2026-09-09,SEMICONDUCTORS,6798083000,521,37.31,7.08,0.07,0.07,0.0153,0.0297,0.015,0.0982,945934000,5.1,134877000,69.03,-0.485,-0.079,1.911,54.82,2,9,1,0,0,186402000,NA,NA,7.36,5.17,Allegro Microsystems Inc,TECHNOLOGY,25,40,40,40,12,77.1,0.5032,39.96,36.47,42.46,44.54,31.16,30.39,-0.1411,-0.1812,0.1704,0.2001,38.45,45.1064,39.486,38.5111,-6.1822,-6.5573,0.3752,44.7053,32.1947,0.3417,0.5524,2002661.9048,2.2334,8e-4,8e-4,0,0.0323,750,0.0017,-0.236,0.5121,7e-4,FALSE,FALSE,FALSE,TRUE,Neutral,TRUE,15,20,12.8866,49.4845,70,27.5129,768,-0.4098,-0.247,-0.2617,0.5159,0.001,0.0449,0.2633,0.3696,1,2,41.66,Low Signal,0.05,5.75,Decreasing,FALSE,5.3%,0,NA,NA,NA,NA,50,Unknown,FALSE,FALSE,NA,NA,0.4628,67931333.3333,NA,NA,NA,NA,NA,0.2978,67931333.3333,0.2978,0.4628,890096000,287159000,162029000,-0.079,964276000,287159000,162029000,-0.079,63.9,54.6,68.6,78.9,10.8,56,56,50,36.6,28.4,65.8,26.3,77.1,44.4,29.9,50,FALSE,48,48,Neutral,Neutral,TRUE,FALSE,NEUTRAL,Proven,46.9,0.001,Analyst Upside,GX MACD ANALYST,36.47,-14.11,71.77,22.41,7.08,69.03,0.4628,0.0982,0.015,0.0153,-0.079,0.2978,0.2978,NA,NA,6798083000,$6.8B,521,-14.1%,-18.1%,+17%,+20%,44.4,44.4,29.9,46.64,0.05,Tier 2: Golden Cross
ALNY,260.1,495.55,197.81,2026-09-07,BIOTECHNOLOGY,35607941000,46.28,20.7,26.14,5.75,5.75,0.966,0.123,0.161,0.179,4804182000,36.24,1054538000,30.18,0,0.4253,0.3,370.2,7,16,6,0,0,133809000,NA,0.341,6.94,10.12,Alnylam Pharmaceuticals Inc,HEALTHCARE,25,20,95,75,29,75.9,0.4233,57.59,260.1,216.98,291.22,317.23,455.03,0.1987,-0.1069,-0.1801,-0.4284,239.796,258.2,320.1254,57.8614,1.2891,-0.8148,2.1039,267.7929,211.7991,0.8626,0.469,1716257.1429,0.7037,8e-4,8e-4,0,0.0292,750,-0.0171,0.0584,0.4634,0.0034,TRUE,TRUE,FALSE,FALSE,Neutral,TRUE,55,85,19.5876,11.8557,70,41.7474,768,-0.1835,-0.1043,-0.148,0.4921,-0.002,0.0364,-0.5121,-0.8871,1,0,19.71,No Signal,0.04,2.36,Stable,FALSE,3.6%,0,NA,NA,NA,NA,50,Unknown,FALSE,FALSE,NA,NA,NA,154913000,NA,NA,NA,NA,NA,NA,154913000,NA,NA,3713937000,NA,1708318000,0.4253,1354118000,NA,1708318000,0.4253,14.4,18,49,0,18,21.3,21.3,21,3.8,95.9,50,63.9,75.9,53.8,39.8,50,FALSE,30.6,30.6,Weak,Weak,FALSE,FALSE,NEUTRAL,Proven,23.7,-0.002,Analyst Upside,MACD RSI ANALYST,260.1,19.869999999999997,495.55,197.81,26.14,30.18,NA,0.179,0.161,0.966,0.4253,NA,NA,NA,NA,35607941000,$35.6B,46.3,+19.9%,-10.7%,-18%,-42.8%,53.8,53.8,39.8,52.279999999999994,0.04,No Signal
ALRM,56.01,58.15,41.49,2026-09-09,SOFTWARE - APPLICATION,2749544000,24.78,26.25,3.207,2.26,2.26,0.133,0.0499,0.111,0.151,1060984000,21.36,167716000,13.14,-0.234,0.0709,0.764,63,1,2,2,0,1,49090200,NA,1.406,2.696,17.63,Alarm.com Holdings Inc,TECHNOLOGY,60,60,65,60,6,58.3,0.1248,61.33,56.01,56.45,46.15,46.9,56.98,-0.0078,0.2137,0.1942,-0.017,56.5385,54.1998,49.0418,51.1366,1.1846,1.7598,-0.5753,58.1695,54.9075,0.338,0.2206,358252.381,0.8843,8e-4,1e-4,-7e-4,0.0166,750,-0.0028,-0.142,0.2638,-0.6223,FALSE,TRUE,TRUE,TRUE,Neutral,FALSE,100,85,78.3505,55.1546,30,75.2861,768,-0.4428,0.0066,0.1986,0.4841,2e-4,0.0211,0.043,0.1285,1,0,33.88,No Signal,0.06,6.91,Increasing,FALSE,5.6%,0,NA,NA,NA,NA,50,Unknown,FALSE,FALSE,NA,NA,NA,153925666.6667,NA,NA,NA,NA,NA,NA,153925666.6667,NA,NA,1011187000,NA,479418000,0.0709,864455000,NA,479418000,0.0709,44.8,46.4,42.8,0,80.9,45.7,45.7,60.1,74.9,50,50,55.7,58.3,57.1,70.1,50,FALSE,53.3,53.3,Neutral,Neutral,TRUE,FALSE,NEUTRAL,Proven,56.7,2e-4,Strong Trend,GX RSI MA200 ANALYST,56.01,-0.7799999999999999,58.15,41.49,3.207,13.14,NA,0.151,0.111,0.133,0.0709,NA,NA,NA,NA,2749544000,$2.7B,24.8,-0.8%,+21.4%,+19.4%,-1.7%,57.1,57.1,70.1,54.26,0.06,Tier 2: Golden Cross
AMD,505.74,584.73,149.22,2026-09-04,SEMICONDUCTORS,744669774000,116.37,30.21,11.16,3.92,3.92,0.102,0.0513,0.156,0.172,41305002000,25.36,9562000000,69.18,1.595,0.2358,2.489,613.84,5,36,10,0,0,1632475000,NA,0.479,17.95,41.19,Advanced Micro Devices Inc,TECHNOLOGY,25,20,65,75,51,72.5,0.2137,48.25,505.74,469.56,452.4,197.74,151.41,0.0771,0.1179,1.5576,2.3402,477.007,498.9578,342.3752,57.035,-0.9889,-1.5825,0.5936,508.9939,445.0201,0.9491,0.4958,18013247.619,2.2702,8e-4,0.0028,0.002,0.0319,750,0.0645,0.2596,0.5069,0.9924,TRUE,TRUE,TRUE,TRUE,Neutral,TRUE,100,85,60.8247,100,70,82.9974,768,1.8702,-0.0117,0.0049,0.5635,0.0074,0.0425,1.8535,2.7502,1,2,10.94,No Signal,0.02,1.49,Increasing,FALSE,2.5%,0,NA,NA,NA,NA,50,Unknown,FALSE,FALSE,NA,NA,0.4952,3420333333.3333,NA,NA,NA,NA,NA,0.048,3420333333.3333,0.048,0.4952,34639000000,3226000000,5086000000,0.2358,67224000000,3226000000,5086000000,0.2358,100,100,96.4,78.9,48.5,89.4,89.4,4.3,21.9,41.8,91.9,62.4,72.5,44.6,92.6,50,FALSE,83.4,83.4,Very Strong,Very Strong,TRUE,FALSE,NEUTRAL,Proven,100,0.0074,Alpha Leader,GX MACD RSI MA200 α>SPY ANALYST,505.74,7.71,584.73,149.22,11.16,69.18,0.4952,0.172,0.156,0.102,0.2358,0.048,0.048,NA,NA,744669774000,$744.7B,116.4,+7.7%,+11.8%,+155.8%,+234%,44.6,44.6,92.6,46.760000000000005,0.02,Tier 2: Golden Cross
