symbol,price_now,price_1m,price_3m,price_6m,price_1y,ret_1m,ret_3m,ret_6m,ret_1y,ma20,ma50,ma200,rsi14,macd_line,macd_signal,macd_hist,bb_upper,bb_lower,bb_pct,vol_annual,avg_vol_30,beta,spy_mean_daily,mean_daily_ret,mean_daily_alpha,sd_daily_alpha,days_in_pull,today_alpha,jensen_alpha_ann,tracking_error,info_ratio,above_ma20,above_ma50,above_ma200,golden_cross,rsi_zone,macd_bullish,trend_score,rsi_score,ret3m_score,ret6m_score,macd_score,momentum_score,days_tracked,cum_alpha_all,alpha_30d,alpha_63d,alpha_hit_rate,hist_mean_alpha,hist_sd_alpha,hist_alpha_ann,hist_ir,confidence_weight,alpha_streak
AAPL,283.779999,310.850006,248.800003,273.76001,205.169998,-0.087084,0.140595,0.036601,0.383146,298.288501,291.4978,269.458849,41.250633,-0.766305,0.169932,-0.936237,317.817971,278.759031,0.128548,0.340162,65374504.545455,0.879485,6.95e-4,0.001414,7.19e-4,0.013248,249,0.038596,0.20226,0.210308,0.861312,FALSE,FALSE,TRUE,TRUE,Neutral,FALSE,35,45,63.265306,51.020408,30,47.683673,17,-0.028578042814753846,-0.028578042814753846,-0.028578042814753846,0.4117647058823529,-0.0014537058823529412,0.022906860180862593,-0.3663338823529412,-1.0074215882325526,0.2698412698412698,1
ABBV,253.350006,215.399994,209.399994,230.839996,185.619995,0.176184,0.209885,0.097513,0.364885,225.960999,214.782801,221.26005,76.530246,3.191896,2.161248,1.030648,244.967893,206.954106,1.220502,0.366184,8309745.454545,0.015845,6.95e-4,0.001382,6.86e-4,0.018044,249,0.049224,0.345453,0.286446,0.603907,TRUE,TRUE,TRUE,FALSE,Overbought,TRUE,80,30,75.510204,65.306122,70,67.214286,17,0.19572864772630805,0.19572864772630805,0.19572864772630805,0.7058823529411765,0.010899176470588235,0.02663306533764771,2.746592470588235,6.4964006368025675,0.2698412698412698,5
ACN,128.979996,176.360001,192.600006,271.339996,298.890015,-0.268655,-0.330322,-0.524655,-0.56847,160.564,171.6798,222.93815,27.102097,-8.909176,-6.08331,-2.825866,207.287347,113.840652,0.16201,0.780234,10289918.181818,0.495495,6.95e-4,-0.003037,-0.003732,0.025479,249,0.032347,-0.852037,0.404469,-2.325142,FALSE,FALSE,FALSE,FALSE,Oversold,FALSE,15,20,2.040816,2.040816,30,10.770408,17,-0.21910413843396026,-0.21910413843396026,-0.21910413843396026,0.47058823529411764,-0.012860941176470587,0.05553076625222115,-3.240957176470588,-3.6765405135547478,0.2698412698412698,1
AMD,521.580017,495.540009,201.990005,215.610001,141.899994,0.052549,1.582207,1.41909,2.675687,512.395,439.120601,270.46565,56.07829,5.037323,6.037106,-0.999783,563.913225,460.876774,0.589143,0.793796,31855168.181818,2.911236,6.95e-4,0.00612,0.005425,0.038828,249,-0.013404,1.032141,0.616377,2.217911,TRUE,TRUE,TRUE,TRUE,Neutral,FALSE,100,85,100,100,30,90.75,17,0.06622482780916017,0.06622482780916017,0.06622482780916017,0.5882352941176471,0.004635235294117646,0.04236540968840236,1.1680792941176468,1.7368433276161857,0.2698412698412698,0
AMGN,358.329987,336.059998,348.769989,329.630005,279.209991,0.066268,0.027411,0.087067,0.283371,344.840503,340.231402,333.609351,61.886224,1.043637,0.72622,0.317418,360.933014,328.747992,0.919123,0.289293,3108213.636364,0.513848,6.95e-4,0.001149,4.54e-4,0.017209,249,0.022848,0.199568,0.273189,0.418662,TRUE,TRUE,TRUE,TRUE,Neutral,TRUE,100,85,28.571429,61.22449,70,65.566327,17,0.11559581403622188,0.11559581403622188,0.11559581403622188,0.47058823529411764,0.0066316470588235294,0.019438143050267098,1.6711750588235295,5.415853414092113,0.2698412698412698,5
AMZN,232.690002,271.850006,199.339996,232.070007,219.389999,-0.14405,0.167302,0.002672,0.060623,244.0255,256.1288,232.7676,39.491613,-2.806552,-2.211208,-0.595344,264.806145,223.244856,0.227258,0.367259,59333613.636364,1.422678,6.95e-4,4.26e-4,-2.69e-4,0.016333,249,0.032252,-0.141916,0.259281,-0.261664,FALSE,FALSE,FALSE,TRUE,Neutral,FALSE,15,20,73.469388,36.734694,30,39.137755,17,-0.14108687214173554,-0.14108687214173554,-0.14108687214173554,0.29411764705882354,-0.008701058823529412,0.020831578071135743,-2.192666823529412,-6.630559925337802,0.2698412698412698,1
AVGO,365.019989,421.859985,300.679993,349.390015,275.649994,-0.134737,0.213982,0.044735,0.324215,403.693002,411.965402,361.31635,39.833693,-2.556197,-1.692426,-0.863771,472.37882,335.007185,0.218479,0.755077,36370277.272727,2.128919,6.95e-4,0.00156,8.64e-4,0.025755,249,-0.029426,0.019993,0.408853,0.532778,FALSE,FALSE,TRUE,TRUE,Neutral,FALSE,35,20,77.55102,53.061224,30,48.627551,17,0.015346643393823634,0.015346643393823634,0.015346643393823634,0.5294117647058824,0.0014637647058823526,0.03474429913764525,0.3688687058823528,0.6687872518600668,0.2698412698412698,0
BAC,57.880001,51.099998,46.970001,55.349998,47.32,0.132681,0.232276,0.045709,0.223161,55.214,53.3076,52.4259,71.048898,2.832085,2.421584,0.410501,59.442831,50.985168,0.815217,0.183199,40553063.636364,0.800268,6.95e-4,9.03e-4,2.08e-4,0.012262,249,0.001904,0.087308,0.19465,0.268723,TRUE,TRUE,TRUE,TRUE,Overbought,TRUE,100,30,81.632653,55.102041,70,72.010204,17,0.14700281854652064,0.14700281854652064,0.14700281854652064,0.7058823529411765,0.00816670588235294,0.011908676027190774,2.058009882352941,10.886385394637989,0.2698412698412698,2
BLK,964.710022,1070.339966,933.849976,1088.400024,1049.25,-0.098688,0.033046,-0.113644,-0.080572,1017.522998,1044.777795,1067.010403,33.27491,-1.345483,-0.722948,-0.622536,1071.665049,963.380947,0.012274,0.283056,869486.363636,1.250895,6.95e-4,-1.98e-4,-8.94e-4,0.013572,249,-1.87e-4,-0.269218,0.215443,-1.04552,FALSE,FALSE,FALSE,FALSE,Neutral,FALSE,15,20,32.653061,28.571429,30,25.260204,17,-0.08428673693278899,-0.08428673693278899,-0.08428673693278899,0.29411764705882354,-0.005061411764705882,0.014867562144896283,-1.2754757647058823,-5.404209519408772,0.2698412698412698,0
CAT,997.469971,909.929993,695.400024,578.609985,388.209991,0.096205,0.434383,0.723907,1.569408,939.663,895.373199,685.127299,58.507867,3.857348,3.072704,0.784644,1043.672406,835.653595,0.777893,0.550972,3800031.818182,1.672034,6.95e-4,0.004061,0.003365,0.01978,249,-0.049097,0.73028,0.313992,2.700865,TRUE,TRUE,TRUE,TRUE,Neutral,TRUE,100,85,89.795918,95.918367,70,90.872449,17,0.14091710288895842,0.14091710288895842,0.14091710288895842,0.6470588235294118,0.008254176470588235,0.03159220497653514,2.0800524705882353,4.147573409650454,0.2698412698412698,0
