symbol,shares_outstanding,shares_float,market_cap_poly,primary_exchange,locale,cache_date
BAC,7096590651,7096590651,410750666879.88,XNYS,us,2026-06-28
ACN,667510210,611942109,78928293218.81999,XNYS,us,2026-06-28
INTU,273537000,273537000,73231325640,XNAS,us,2026-06-28
JPM,2679511418,2679511418,881693232092.9,XNYS,us,2026-06-28
MSFT,7428434704,7428434704,2770583291550.8804,XNAS,us,2026-06-28
META,NA,NA,NA,NA,NA,2026-06-28
NFLX,NA,NA,NA,NA,NA,2026-06-28
PG,NA,NA,NA,NA,NA,2026-06-28
GOOGL,NA,NA,NA,NA,NA,2026-06-28
IBM,NA,NA,NA,NA,NA,2026-06-28
CRM,NA,NA,NA,NA,NA,2026-06-28
QCOM,NA,NA,NA,NA,NA,2026-06-28
UPS,NA,NA,NA,NA,NA,2026-06-28
NEE,NA,NA,NA,NA,NA,2026-06-28
PEP,NA,NA,NA,NA,NA,2026-06-28
V,NA,NA,NA,NA,NA,2026-06-28
MA,NA,NA,NA,NA,NA,2026-06-28
NVDA,NA,NA,NA,NA,NA,2026-06-28
KO,NA,NA,NA,NA,NA,2026-06-28
AMGN,NA,NA,NA,NA,NA,2026-06-28
BLK,NA,NA,NA,NA,NA,2026-06-28
ORCL,NA,NA,NA,NA,NA,2026-06-28
SPGI,NA,NA,NA,NA,NA,2026-06-28
MS,NA,NA,NA,NA,NA,2026-06-28
HD,NA,NA,NA,NA,NA,2026-06-28
TMO,NA,NA,NA,NA,NA,2026-06-28
JNJ,NA,NA,NA,NA,NA,2026-06-28
AMZN,NA,NA,NA,NA,NA,2026-06-28
AVGO,NA,NA,NA,NA,NA,2026-06-28
LLY,NA,NA,NA,NA,NA,2026-06-28
AAPL,NA,NA,NA,NA,NA,2026-06-28
RTX,NA,NA,NA,NA,NA,2026-06-28
TXN,NA,NA,NA,NA,NA,2026-06-28
GE,NA,NA,NA,NA,NA,2026-06-28
LIN,NA,NA,NA,NA,NA,2026-06-28
UNH,NA,NA,NA,NA,NA,2026-06-28
DHR,NA,NA,NA,NA,NA,2026-06-28
MRK,NA,NA,NA,NA,NA,2026-06-28
XOM,NA,NA,NA,NA,NA,2026-06-28
ISRG,NA,NA,NA,NA,NA,2026-06-28
CAT,NA,NA,NA,NA,NA,2026-06-28
ABBV,NA,NA,NA,NA,NA,2026-06-28
WMT,NA,NA,NA,NA,NA,2026-06-28
CVX,NA,NA,NA,NA,NA,2026-06-28
HON,NA,NA,NA,NA,NA,2026-06-28
COST,NA,NA,NA,NA,NA,2026-06-28
PM,NA,NA,NA,NA,NA,2026-06-28
MCD,NA,NA,NA,NA,NA,2026-06-28
AMD,NA,NA,NA,NA,NA,2026-06-28
TSLA,NA,NA,NA,NA,NA,2026-06-28
