symbol,date,open,high,low,close,volume,ma20,ma50,ma200,rsi14,macd_line,macd_signal,macd_hist,bb_upper,bb_lower,bb_mid,daily_ret,spy_ret,daily_alpha
BAC,2025-06-30,47.619998931884766,47.619998931884766,47.029998779296875,47.31999969482422,47921200,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ACN,2025-06-30,296.739990234375,299.010009765625,295.739990234375,298.8900146484375,3136800,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
INTU,2025-06-30,782.52001953125,790.5,779.1300048828125,787.6300048828125,1946900,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
JPM,2025-06-30,290.3999938964844,292.6499938964844,288.9200134277344,289.9100036621094,12689200,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MSFT,2025-06-30,497.0400085449219,500.760009765625,495.3299865722656,497.4100036621094,28369000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
META,2025-06-30,744.54998779296875,747.9000244140625,734.25,738.09002685546875,15402100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NFLX,2025-06-30,133.10000610351562,134.11500549316406,132.12100219726562,133.91299438476562,32829000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PG,2025-06-30,159.25999450683594,159.89999389648438,158.1300048828125,159.32000732421875,11238200,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GOOGL,2025-06-30,180.77999877929688,181.22999572753906,174.5800018310547,176.22999572753906,63378900,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
IBM,2025-06-30,290.92999267578125,294.80999755859375,290,294.7799987792969,3495400,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CRM,2025-06-30,274.4599914550781,276.3800048828125,270.3999938964844,272.69000244140625,8541900,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
QCOM,2025-06-30,158.38999938964844,159.86000061035156,157.8000030517578,159.25999450683594,7988200,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
UPS,2025-06-30,101.16000366210938,101.2699966430664,100.26000213623047,100.94000244140625,5446800,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NEE,2025-06-30,67.83000183105469,69.68000030517578,67.19999694824219,69.41999816894531,20894500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PEP,2025-06-30,131.1999969482422,132.36000061035156,130.58999633789062,132.0399932861328,11402400,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
V,2025-06-30,349.3500061035156,355.6099853515625,349.05999755859375,355.04998779296875,7080100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MA,2025-06-30,552.5,562.6300048828125,551.9000244140625,561.94000244140625,5054600,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NVDA,2025-06-30,158.39999389648438,158.66000366210938,155.9600067138672,157.99000549316406,194580300,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
KO,2025-06-30,70.12999725341797,70.79000091552734,70.089996337890625,70.75,15429000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
