symbol,fcf_sec,fcf_latest_sec,fcf_years_sec,ocf_sec,capex_sec,revenue_sec,gross_margin_sec,equity_sec,total_debt_sec,cash_sec,debt_equity_sec,rev_cagr_sec
ZM,1734906000,1924087000,3,1989048000,64961000,4868769000,0.7702,11303611000,NA,931992000,NA,0.037
ACAD,92998000,105146000,3,109836000,4690000,726437000,0.9427,1306609000,NA,384985000,NA,0.2145
PD,98942000,111916000,3,114857000,2941000,492546000,0.8495,231961000,420614000,233651000,1.8133,0.0694
WAL,NA,NA,0,-2678900000,NA,135800000,NA,7842000000,1479000000,NA,0.1886,0.1736
HON,5082333333.333333,5422000000,3,6408000000,986000000,37442000000,NA,18537000000,31510000000,8751000000,1.6998,0.065
FHN,1027000000,595000000,3,628000000,33000000,3419000000,NA,9168000000,NA,NA,NA,-0.0069
INCY,NA,NA,0,1413498000,NA,5141242000,NA,6344427000,NA,3982375000,NA,0.1795
ZION,925000000,952000000,3,1073000000,121000000,662000000,NA,7681000000,1956000000,NA,0.2547,0.0367
CROX,799052666.6666666,659200000,3,710431000,51231000,4040647000,0.5833,1384674000,1313208000,170276000,0.9484,0.0098
DUOL,264515666.66666666,369727000,3,387823000,18096000,1037589000,0.7223,1409742000,NA,1180887000,NA,0.3977
BAC,NA,NA,0,12613000000,NA,113097000000,NA,301094000000,339863000000,NA,1.1288,0.049
DECK,999834333.3333334,1097332000,3,1181955000,84623000,5472296000,0.577,2301682000,NA,1602589000,NA,0.1297
GOOGL,71841666666.66667,73266000000,3,164713000000,91447000000,402836000000,NA,640480000000,100164000000,55911000000,0.1564,0.1448
AMZN,24263333333.333332,7695000000,3,139514000000,131819000000,716924000000,NA,551620000000,132224000000,78213000000,0.2397,0.1168
CALM,565431333.3333334,328533000,3,479753000,151220000,2911632000,0.2308,2632732000,NA,107217000,NA,0.1187
TROW,1217533333.3333333,1479200000,3,1753400000,274200000,7314800000,NA,11002500000,NA,3234300000,NA,0.0641
JAZZ,1240968000,1297021000,3,1355773000,58752000,4267586000,NA,4801700000,4351400000,1619800000,0.9062,0.055
MLI,623695000,686639000,3,755444000,68805000,4178547000,NA,3547750000,5243000,1388748000,0.0015,0.1053
JPM,NA,NA,0,-147782000000,NA,182447000000,NA,374598000000,NA,NA,NA,0.0742
FIZZ,164711333.33333334,156112000,3,181254000,25142000,1180552000,0.3704,635714000,NA,349543000,NA,-0.0047
CFR,436432666.6666667,127327000,3,273979000,146652000,2235244000,NA,4622643000,NA,NA,NA,0.0606
QCOM,11276666666.666666,12820000000,3,14012000000,1192000000,44284000000,NA,27658000000,16802000000,4533000000,0.6075,0.1119
ONON,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
EXP,331442333.3333333,197427000,3,614166000,416739000,2308658000,0.2827,1486932000,1757011000,233539000,1.1816,0.0109
RJF,169666666.66666666,2246000000,3,2434000000,188000000,15912000000,NA,12699000000,950000000,9977000000,0.0748,0.1067
YETI,222298000,212070000,3,254737000,42667000,1868494000,0.5741,609504000,100662000,NA,0.1652,0.0614
JBSS,29647333.333333332,35748000,3,123837000,88089000,1175673000,0.1796,379948000,43567000,1147000,0.1147,0.0498
SENEA,89325000,298250000,2,335475000,37225000,NA,NA,774456000,217102000,86921000,0.2803,NA
NEE,NA,NA,0,12485000000,NA,NA,NA,55222000000,97785000000,1998000000,1.7708,NA
ACN,9494991333.333334,10874360000,3,11474399000,600039000,69672977000,NA,31890566000,5029449000,10165245000,0.1577,0.0425
PEP,7595000000,7672000000,3,12087000000,4415000000,93925000000,0.5415,22098000000,43921000000,10251000000,1.9876,0.0133
MS,NA,NA,0,-17889000000,NA,NA,NA,116329000000,383156000000,160135000000,3.2937,NA
NBIX,555833333.3333334,748700000,3,782700000,34000000,2860500000,NA,3693600000,NA,332400000,NA,0.2312
OLLI,143884333.33333334,194660000,3,296539000,101879000,2649198000,0.405,1895599000,1420000,120765000,7e-4,0.1225
PG,14784666666.666666,14044000000,3,17817000000,3773000000,84284000000,NA,54311000000,29299000000,NA,0.5395,0.0138
DKS,616448666.6666666,400167000,3,1537343000,1137176000,17215120000,0.3292,5725722000,NA,913736000,NA,0.1514
MSFT,68385666666.666664,71611000000,3,136162000000,64551000000,281724000000,0.6882,442387000000,40294000000,20935000000,0.0911,0.153
IBM,12395000000,12102000000,3,13193000000,1091000000,67535000000,0.5819,34452000000,56212000000,7172000000,1.6316,0.0449
NTRS,2460366666.6666665,5459500000,3,5533500000,74000000,8086400000,NA,13401600000,NA,NA,NA,0.0926
INTU,5217333333.333333,6123000000,3,6207000000,84000000,18831000000,NA,20629000000,6162000000,4681000000,0.2987,0.1448
META,48083000000,46109000000,3,115800000000,69691000000,200966000000,NA,261221000000,83664000000,15462000000,0.3203,0.2205
WLDN,54548666.666666664,70697000,3,80084000,9387000,681552000,0.3751,350465000,67245000,34870000,0.1919,0.1559
LMB,42084000,41893000,3,45700000,3807000,646804000,0.2618,203148000,35842000,17529000,0.1764,0.1192
CVX,17138666666.666666,16592000000,3,33939000000,17347000000,189031000000,NA,189883000000,39781000000,NA,0.2095,-0.0301
MA,14358000000,17159000000,3,17648000000,489000000,32791000000,NA,5611000000,24643000000,11291000000,4.3919,0.143
V,19988666666.666668,21577000000,3,23059000000,1482000000,40000000000,NA,35178000000,23858000000,12359000000,0.6782,0.1068
NVDA,61516666666.666664,96676000000,3,102718000000,6042000000,215938000000,0.7107,228984000000,33366000000,22443000000,0.1457,0.8827
KO,6594666666.666667,5296000000,3,7408000000,2112000000,47941000000,0.6163,36150000000,37001000000,12907000000,1.0235,0.0236
XOM,NA,NA,0,NA,NA,NA,NA,259380000000,32229000000,10588000000,0.1243,NA
ORCL,-4091000000,-23686000000,3,31977000000,55663000000,67357000000,NA,42508000000,129541000000,31289000000,3.0474,0.1278
GGG,539709000,637922000,3,683591000,45669000,2236604000,0.5245,2522688000,NA,507575000,NA,0.0093
NFLX,7769542666.666667,9461053000,3,10149273000,688220000,45183036000,NA,30152052000,11825548000,9099232000,0.3922,0.1575
SPGI,4862666666.666667,5456000000,3,5651000000,195000000,15336000000,NA,31501000000,12598000000,4134000000,0.3999,0.10780000000000001
QRVO,623374000,679561000,3,808631000,129070000,3678517000,0.4589,3471925000,1549138000,1328943000,0.4462,-0.0121
HD,15639000000,12646000000,3,16325000000,3679000000,164683000000,0.3332,16617000000,49397000000,2085000000,2.9727,0.0386
UPS,5352666666.666667,4765000000,3,8450000000,3685000000,88661000000,NA,15067000000,23585000000,4653000000,1.5653,-0.0127
AMKR,352205666.6666667,190992000,3,1095606000,904614000,6707981000,0.1399,4650412000,2334950000,1551890000,0.5021,0.0156
ARHS,57987000,58978000,3,136848000,77870000,1379222000,0.3889,414947000,NA,226399000,NA,0.0349
HALO,495411000,644588000,3,651558000,6970000,1396611000,NA,143543000,2146654000,163138000,14.9548,0.2978
BLK,4024666666.6666665,3552000000,3,3927000000,375000000,12794000000,NA,57613000000,12744000000,10492000000,0.2212,0.4829
JNJ,19262666666.666668,19698000000,3,24530000000,4832000000,94193000000,0.6788,84971000000,39344000000,20422000000,0.463,0.0517
TWLO,NA,NA,0,1003244000,NA,5067220000,0.4892,8977808000,993162000,823261000,0.1106,0.1045
AMGN,8617666666.666666,8100000000,3,9958000000,1858000000,36751000000,NA,11688000000,57304000000,13989000000,4.9028,0.1418
CRM,12111333333.333334,14402000000,3,14996000000,594000000,41525000000,0.7768,38378000000,39288000000,8310000000,1.0237,0.0915
ANET,3309400000,4252400000,3,4371900000,119500000,9005700000,0.6406,14797700000,NA,2290200000,NA,0.2397
STRL,397677000,362676000,3,439988000,77312000,2490049000,0.2298,1357315000,283875000,464451000,0.2091,0.1236
AVGO,21320333333.333332,26914000000,3,27537000000,623000000,63887000000,0.6777,87691000000,64907000000,19628000000,0.7402,0.3355
LLY,NA,NA,0,16813000000,NA,65179000000,NA,33879000000,47858000000,8950000000,1.4126,0.3821
FIVE,227636666.66666666,411687000,3,586428000,174741000,4764147000,NA,2476123000,NA,561083000,NA,0.1569
TER,450025333.3333333,450406000,3,674415000,224009000,3190024000,0.5822,3437162000,NA,349538000,NA,0.0918
KRYS,69164333.33333333,188914000,3,200865000,11951000,389130000,NA,1359126000,NA,427740000,NA,1.7704
TMO,6829000000,6293000000,3,7818000000,1525000000,44556000000,NA,52679000000,42284000000,4064000000,0.8027,0.0196
GRMN,1261518000,1362913000,3,1633359000,270446000,7245519000,0.5874,9029013000,NA,2334235000,NA,0.1772
CAT,10084333333.333334,8918000000,3,11739000000,2821000000,67589000000,NA,19394000000,30696000000,6713000000,1.5828,0.0039
AAPL,102386000000,98767000000,3,111482000000,12715000000,416161000000,0.4691,107520000000,82347000000,39544000000,0.7659,0.042
TXN,1816666666.6666667,2603000000,3,7153000000,4550000000,17682000000,0.5702,18007000000,14052000000,3660000000,0.7804,0.0046
HUBB,800200000,874700000,3,1029800000,155100000,5844600000,0.3532,3911900000,4803900000,378600000,1.228,0.043
IESC,181441000,218843000,3,286096000,67253000,3371468000,0.2549,1229242000,0,77278000,0,0.1909
ALNY,154913000,465383000,3,524080000,58697000,3713937000,NA,1354118000,NA,1708318000,NA,0.4253
FTNT,1945466666.6666667,2225800000,3,2590600000,364800000,6799600000,0.8046,1551100000,496900000,2934900000,0.3204,0.1322
ALRM,153925666.66666666,137049000,3,153330000,16281000,1011187000,NA,864455000,NA,479418000,NA,0.0709
DOCN,133573000,180518000,3,309604000,129086000,901427000,0.5986,930731000,921053000,767026000,0.9896,0.1406
LIN,5177666666.666667,5089000000,3,10350000000,5261000000,33986000000,NA,39081000000,23152000000,4898000000,0.5924,0.0171
GE,5089666666.666667,7264000000,3,8537000000,1273000000,45855000000,NA,17640000000,20469000000,NA,1.1604,0.139
KEYS,1130000000,1281000000,3,1409000000,128000000,5375000000,NA,6571000000,2517000000,2605000000,0.383,-0.0082
IBKR,NA,NA,0,15811000000,NA,2440000000,NA,5904000000,NA,7711000000,NA,0.2518
UNH,20820666666.666668,16075000000,3,19697000000,3622000000,447567000000,NA,104513000000,69501000000,28585000000,0.665,0.0974
MEDP,550286666.6666666,681867000,3,713223000,31356000,2530234000,NA,433861000,NA,502688000,NA,0.1583
NDSN,586532333.3333334,661115000,3,719175000,58060000,2791687000,NA,3269059000,1539005000,113431000,0.4708,0.0305
TXRH,319769666.6666667,342071000,3,730067000,387996000,5878075000,NA,1558552000,50000000,202427000,0.0321,0.1265
MYRG,76550666.66666667,232195000,3,326567000,94372000,3657889000,0.1159,660423000,9372000,137872000,0.0142,0.0019
ABBV,19236666666.666668,17816000000,3,19030000000,1214000000,61160000000,NA,-5935000000,64503000000,6569000000,NA,0.0611
HOOD,NA,NA,0,1638000000,NA,4473000000,NA,8567000000,NA,5362000000,NA,0.5487
VEEV,NA,NA,0,1415225000,NA,3195311000,0.7553,7431449000,NA,1812012000,NA,0.1627
ISRG,1514700000,2490700000,3,3030500000,539800000,10064700000,0.66,18168400000,NA,2760400000,NA,0.1886
RTX,5980666666.666667,7940000000,3,10567000000,2627000000,80738000000,NA,66377000000,31858000000,8305000000,0.48,0.1338
WTS,321066666.6666667,356300000,3,402000000,45700000,2438500000,0.4946,2189400000,108000000,347900000,0.0493,0.089
