symbol,shares_short,shares_short_prior,short_ratio,settlement_date,float_shares,short_percent_float,short_source,shares_outstanding,short_pct_basis,short_trend,improvement_count,fundamentals_improving,sf_score,dtc_score,fi_score,st_score,squeeze_score_raw,squeeze_mult,squeeze_score,squeeze_tier,short_float_pct
CGEM,9629017,10371763,10.88,2026-09-15,NA,0.15,finra,64355000,shares outstanding,Decreasing,0,FALSE,89.58,94.79,0,80,53.35,1,53.35,Low Signal,15%
AI,42395077,46699653,6.93,2026-09-15,NA,0.27,finra,157280000,shares outstanding,Decreasing,0,FALSE,97.4,83.33,0,80,53.02,1,53.02,Low Signal,27%
VERA,17035040,19873297,6.18,2026-09-15,NA,0.24,finra,72063000,shares outstanding,Decreasing,0,FALSE,95.31,80.73,0,80,51.97,1,51.97,Low Signal,23.6%
KRYS,3163642,3347813,13.23,2026-09-15,NA,0.11,finra,29598800,shares outstanding,Decreasing,0,FALSE,79.17,97.4,0,80,51.27,1,51.27,Low Signal,10.7%
RXRX,178724433,179145796,12.56,2026-09-15,NA,0.33,finra,535342000,shares outstanding,Stable,0,FALSE,98.96,96.88,0,40,50.11,1,50.11,Low Signal,33.4%
BBAI,150124548,145426949,9.98,2026-09-15,NA,0.31,finra,479494000,shares outstanding,Stable,0,FALSE,98.44,92.71,0,40,49.15,1,49.15,Low Signal,31.3%
OLMA,16068469,15663548,15.93,2026-09-15,NA,0.18,finra,87498000,shares outstanding,Stable,0,FALSE,92.19,98.44,0,40,48.73,1,48.73,Low Signal,18.4%
DUOL,6573989,7573914,4.97,2026-09-15,NA,0.16,finra,40237100,shares outstanding,Decreasing,0,FALSE,90.1,68.75,0,80,48.28,1,48.28,Low Signal,16.3%
ANAB,5437438,5412436,10.25,2026-09-15,NA,0.18,finra,29608500,shares outstanding,Stable,0,FALSE,92.71,93.75,0,40,47.93,1,47.93,Low Signal,18.4%
SRPT,25434681,24621090,8.02,2026-09-15,NA,0.24,finra,105627000,shares outstanding,Stable,0,FALSE,96.35,88.54,0,40,47.8,1,47.8,Low Signal,24.1%
LOVE,3132055,3014563,8.08,2026-09-15,NA,0.22,finra,14423400,shares outstanding,Stable,0,FALSE,94.27,89.06,0,40,47.38,1,47.38,Low Signal,21.7%
TROW,27437346,26224508,20.36,2026-09-15,NA,0.13,finra,213316000,shares outstanding,Stable,0,FALSE,85.42,100,0,40,47.35,1,47.35,Low Signal,12.9%
SWKS,32713338,34558719,4.17,2026-09-15,NA,0.22,finra,150406000,shares outstanding,Decreasing,0,FALSE,94.79,56.77,0,80,47.05,1,47.05,Low Signal,21.8%
SANA,41374811,41563334,12.22,2026-09-15,NA,0.14,finra,299361000,shares outstanding,Stable,0,FALSE,87.5,95.83,0,40,47.04,1,47.04,Low Signal,13.8%
KYMR,10530809,10371554,16.13,2026-09-15,NA,0.13,finra,82258000,shares outstanding,Stable,0,FALSE,84.9,98.96,0,40,47.02,1,47.02,Low Signal,12.8%
