symbol,title,watchlist_count,st_rank,trending_score,messages,bullish,bearish,sentiment_label,fetched_at
HOOD,Robinhood Markets Inc,101081,1,14.9295,1,0,0,Neutral,2026-09-22T00:24:17Z
AMD,Advanced Micro Devices Inc,564798,2,14.7534,4,4,0,Very Bullish,2026-09-22T00:24:17Z
PSKY,Paramount Skydance Corp. - Ordinary Shares - Class B,26732,3,11.6217,0,0,0,Neutral,2026-09-22T00:24:17Z
RKLB,Rocket Lab USA Inc,67993,4,11.3264,1,0,0,Neutral,2026-09-22T00:24:17Z
DOGE.X,Dogecoin,350949,5,10.0491,1,1,0,Very Bullish,2026-09-22T00:24:17Z
XRP.X,Ripple,238496,6,8.4456,1,0,0,Neutral,2026-09-22T00:24:17Z
SOXL,Direxion Daily Semiconductor Bull 3X Shares,40294,7,8.36085,1,0,0,Neutral,2026-09-22T00:24:17Z
META,Meta Platforms Inc,610244,8,8.21915,2,0,1,Very Bearish,2026-09-22T00:24:17Z
SHIB.X,Shiba Inu,188944,9,7.62312,0,0,0,Neutral,2026-09-22T00:24:17Z
ASST,Strive Inc.,20092,10,6.86099,0,0,0,Neutral,2026-09-22T00:24:17Z
INTC,Intel Corp,209015,11,6.75864,3,1,1,Neutral,2026-09-22T00:24:17Z
GME,GameStop Corp,307822,12,6.52884,1,1,0,Very Bullish,2026-09-22T00:24:17Z
SOXS,Direxion Daily Semiconductor Bear 3X ETF,18907,13,6.29789,0,0,0,Neutral,2026-09-22T00:24:17Z
AERO.X,Aerodrome Finance,4574,14,6.28097,0,0,0,Neutral,2026-09-22T00:24:17Z
QQQ,Invesco QQQ Trust Series 1,279989,15,6.11958,4,0,1,Very Bearish,2026-09-22T00:24:17Z
CRML,Critical Metals Corp.,15263,16,5.97793,1,0,0,Neutral,2026-09-22T00:24:17Z
SOFI,SoFi Technologies Inc,156311,17,5.84018,3,1,0,Very Bullish,2026-09-22T00:24:17Z
SOXX,iShares Semiconductor ETF,10944,18,5.81784,0,0,0,Neutral,2026-09-22T00:24:17Z
ETH.X,Ethereum,337723,19,5.71676,0,0,0,Neutral,2026-09-22T00:24:17Z
VICR,Vicor Corp.,2026,20,5.36447,1,0,0,Neutral,2026-09-22T00:24:17Z
ARM,Arm Holdings Plc.,33623,21,4.97459,0,0,0,Neutral,2026-09-22T00:24:17Z
GRPN,Groupon Inc,37499,22,4.90021,0,0,0,Neutral,2026-09-22T00:24:17Z
TQQQ,ProShares UltraPro QQQ,44383,23,4.89732,0,0,0,Neutral,2026-09-22T00:24:17Z
AAOI,Applied Optoelectronics Inc,25820,24,4.81349,0,0,0,Neutral,2026-09-22T00:24:17Z
IONQ,IonQ Inc,59788,25,4.72101,0,0,0,Neutral,2026-09-22T00:24:17Z
XLE,Energy Select Sector SPDR Fund,24639,26,4.68014,0,0,0,Neutral,2026-09-22T00:24:17Z
TAO.X,Bittensor,2878,27,4.5871,0,0,0,Neutral,2026-09-22T00:24:17Z
PEPE.X,Pepe,25210,28,4.47236,0,0,0,Neutral,2026-09-22T00:24:17Z
XLM.X,Stellar Lumens,70329,29,4.45882,0,0,0,Neutral,2026-09-22T00:24:17Z
NVO,Novo Nordisk A/S,31978,30,4.34781,0,0,0,Neutral,2026-09-22T00:24:17Z
