symbol,company,sector,price,sweet_spot_score,master_score,master_percentile,alpha_score,quality_gate,tech_filter,rating,signal,sweet_spot_confidence,confidence_band,days_tracked,expected_return_1d,hist_alpha_ann,hist_ir,alpha_hit_rate,alpha_streak,confidence_weight,primary_driver,signal_matches,pe_ratio,pb_ratio,market_cap,roe,profit_margin,ret_1m,ret_3m,ret_6m,rsi14,momentum_score,put_call_ratio,options_sentiment,options_score,avg_iv,above_vwap,analyst_target,analyst_upside,analyst_score
QCOM,Qualcomm Inc.,Technology,250.01,61.5,61.5,100,51.9,56.2,93.7,Hold,Hold,6.3,Emerging,4,0.0086,2.1596,2.0413,0.75,2,0.0635,Consistent Beat,GX RSI MA200 α>SPY,26.74,9.02,246003597000,0.361,0.223,0.4848,0.8249,0.4302,65.0211,85.9133,NA,Unknown,50,NA,FALSE,177.81,-0.2888,54.1
MS,Morgan Stanley,Financials,210.14,61.4,61.4,98,51.7,61.5,90.8,Hold,Hold,6.3,Emerging,4,0.008,2.0081,7.9531,0.75,0,0.0635,Consistent Beat,GX MACD RSI MA200 α>SPY,18.25,3.042,317996401000,0.164,0.247,0.1177,0.2928,0.1905,68.8212,84.199,NA,Unknown,50,NA,FALSE,203.29,-0.0326,60
AVGO,Broadcom Inc.,Technology,479.23,59.8,59.8,93.9,53.1,45.8,89.2,Hold,Hold,6.3,Emerging,4,0.0299,7.5235,23.2291,1,4,0.0635,Consistent Beat,GX MACD MA200 α>SPY,81.91,25.02,1997367149000,0.334,0.366,0.1506,0.4401,0.228,73.3335,81.1939,NA,Unknown,50,NA,FALSE,480.49,0.0026,77.2
CAT,Caterpillar Inc.,Industrials,926.18,59.8,59.8,93.9,51.7,42.5,94.5,Hold,Hold,6.3,Emerging,4,0.0111,2.8041,5.4978,0.5,2,0.0635,Strong Trend,GX RSI MA200,45.25,22.46,418470822000,0.513,0.133,0.0588,0.3117,0.5355,61.5471,86.8724,NA,Unknown,50,NA,FALSE,920.14,-0.0065,61.6
TXN,Texas Instruments Inc.,Technology,308.59,59.1,59.1,91.8,49.9,43.4,95.3,Hold,Hold,6.3,Emerging,4,-0.0051,-1.2899,-1.8904,0.5,2,0.0635,Strong Trend,GX RSI MA200,52.77,17.22,280954733000,0.324,0.291,0.0986,0.5587,0.6905,59.8765,89.1173,NA,Unknown,50,NA,FALSE,290.33,-0.0592,60.8
UPS,United Parcel Service Inc.,Industrials,108.67,58.8,58.8,89.8,51.4,59.6,81,Hold,Hold,6.3,Emerging,4,0.0048,1.2133,7.5902,0.5,1,0.0635,Strong Trend,GX MACD RSI MA200,16.9,5.63,88800158000,0.334,0.0594,0.1283,0.0442,0.1455,64.8246,79.648,NA,Unknown,50,NA,FALSE,112.88,0.0387,56.9
AMD,Advanced Micro Devices Inc.,Technology,542.52,57.9,57.9,87.8,51.8,25.4,95.9,Hold,Hold,6.3,Emerging,4,0.0119,3.0006,6.7528,0.5,2,0.0635,Strong Trend,GX MA200,164.09,12.53,808027816000,0.0806,0.134,0.5885,1.7201,1.489,77.7808,82.5,NA,Unknown,50,NA,FALSE,472.17,-0.1297,70.5
NVDA,NVIDIA Corp.,Technology,214.75,57.5,57.5,85.7,50,62.1,76.9,Hold,Hold,6.3,Emerging,4,0.0014,0.344,0.5424,0.25,0,0.0635,Strong Trend,GX RSI MA200 ANALYST,32.56,26.34,5149384770000,1.143,0.63,0.082,0.1713,0.1773,51.1396,79.9337,NA,Unknown,50,NA,FALSE,295.69,0.3769,77.5
IBM,IBM Corp.,Technology,305.63,56.4,56.4,79.6,52.3,60.8,66.8,Hold,Hold,6.3,Emerging,4,0.0398,10.0363,7.8603,0.75,0,0.0635,Consistent Beat,MACD RSI MA200 α>SPY,22.56,7.27,239858729000,0.358,0.156,0.3318,0.1913,-0.0075,69.7983,69.199,NA,Unknown,50,NA,FALSE,277.68,-0.0915,61.9
LIN,Linde PLC,Materials,507.57,56.4,56.4,79.6,50.6,46.4,79.8,Hold,Hold,6.3,Emerging,4,0.003,0.7454,2.5112,0.25,1,0.0635,Strong Trend,GX RSI MA200,33.33,6.09,232089108000,0.182,0.204,0.0284,0.0357,0.2703,52.8647,77.0765,NA,Unknown,50,NA,FALSE,541.61,0.0671,70.4
ORCL,Oracle Corp.,Technology,230.33,56.4,56.4,79.6,51.6,53.6,73.1,Hold,Hold,6.3,Emerging,4,0.0338,8.5219,6.7815,0.5,0,0.0635,Strong Trend,MACD RSI MA200,34.22,16.37,549209768000,0.576,0.253,0.2776,0.488,0.0586,66.9724,75.5255,NA,Unknown,50,NA,FALSE,244.03,0.0595,73.3
AAPL,Apple Inc.,Technology,310.26,55.8,55.8,77.6,49.7,53.3,75.3,Hold,Hold,6.3,Emerging,4,-0.0015,-0.3824,-1.16,0.25,0,0.0635,Strong Trend,GX RSI MA200,37.63,42.87,4565564916000,1.415,0.272,0.1208,0.192,0.1129,65.7428,75.301,NA,Unknown,50,NA,FALSE,310.51,8e-4,68.8
BAC,Bank of America Corp.,Financials,52.4,55.3,55.3,75.5,52.3,65.4,59.4,Hold,Hold,6.3,Emerging,4,0.0081,2.0384,13.1578,0.75,2,0.0635,Consistent Beat,MACD RSI MA200 α>SPY ANALYST,12.68,1.315,362635788000,0.106,0.29,0.004,0.052,-0.0287,56.1501,68.5255,NA,Unknown,50,NA,FALSE,63.16,0.2053,78
UNH,UnitedHealth Group Inc.,Health Care,377,54.9,54.9,73.5,49,40.4,80.6,Hold,Hold,6.3,Emerging,4,-0.0035,-0.8872,-9.8148,0.25,1,0.0635,Strong Trend,GX RSI MA200,28.89,3.563,348736520000,0.122,0.0268,0.0169,0.3055,0.1393,54.5863,81.3622,NA,Unknown,50,NA,FALSE,397.31,0.053900000000000003,75.9
LLY,Eli Lilly and Co.,Health Care,1078.78,54.8,54.8,71.4,48,55.4,73.7,Hold,Hold,6.3,Emerging,4,-0.0106,-2.6754,-8.0101,0.25,1,0.0635,Strong Trend,GX MACD RSI MA200 ANALYST,38.46,30.95,965684625000,1.075,0.35,0.1145,0.0971,0.0678,61.5233,77.8112,NA,Unknown,50,NA,FALSE,1215.1,0.1264,73.4
