symbol,company,sector,price,unicorn_score,master_score,rating,signal,unicorn_confidence,confidence_5d,confidence_band,days_tracked,hist_ir,hist_alpha_ann,alpha_hit_rate,alpha_streak,expected_return_1d,primary_driver,pe_ratio,market_cap,revenue_growth,ret_1m,ret_3m,rsi14,momentum_score,put_call_ratio,options_sentiment,avg_iv,analyst_target,analyst_upside
SENEA,Seneca Foods Corp A,CONSUMER DEFENSIVE,186.35,78.6,64.9,Neutral,Neutral,100,100,Proven,768,0.6962,0.3483,0.5635,0,0.0014,Consistent Beat,11.01,1290584000,0.331,-0.0279,0.1271,46.4503,69.6469,NA,Unknown,NA,202,0.084
ANAB,AnaptysBio Inc,HEALTHCARE,54.11,75,49.4,Neutral,Neutral,100,100,Proven,768,0.5886,0.3841,0.4841,1,0.0015,Analyst Upside,NA,1649192000,2.6978,-0.0746,-0.0608,41.4623,42.1598,NA,Unknown,NA,89.62,0.6563
IDYA,Ideaya Biosciences Inc,HEALTHCARE,38.03,75,50.1,Neutral,Neutral,100,100,Proven,768,0.2246,0.1033,0.4603,1,4e-4,Analyst Upside,NA,3627040000,2.0582,0.0477,0.244,46.7512,69.6985,NA,Unknown,NA,52.38,0.3773
SRPT,Sarepta Therapeutics Inc,HEALTHCARE,20.92,71.4,63.1,Neutral,Neutral,100,100,Proven,768,0.6315,0.4754,0.4921,1,0.0019,Alpha Leader,NA,2160073000,0.3297,0.1558,0.3257,55.06,74.3582,NA,Unknown,NA,22.26,0.0641
BRZE,Braze Inc,TECHNOLOGY,25.6,67.9,65.3,Strong,Strong,100,100,Proven,768,0.8167,0.6587,0.5317,1,0.0026,Alpha Leader,NA,2694790000,0.2508,-0.1151,0.2087,40.4794,58.3969,NA,Unknown,NA,36.8,0.4375
INTA,Intapp Inc,TECHNOLOGY,37.98,57.1,67.2,Strong,Strong,100,100,Proven,768,1.0659,0.6868,0.4762,1,0.0027,Alpha Leader,NA,2848510000,0.1986,-0.0531,0.6449,47.0421,81.6057,NA,Unknown,NA,39.43,0.0382
UPST,Upstart Holdings Inc,FINANCIAL SERVICES,26.1,57.1,28.6,Very Weak,Very Weak,100,100,Proven,768,-0.218,-0.119,0.4444,2,-5e-4,Analyst Upside,49.21,2449259000,0.4257,-0.1423,-0.1904,38.9656,20.9356,NA,Unknown,NA,40,0.5326
APPN,Appian Corp,TECHNOLOGY,38.31,53.6,78.6,Very Strong,Very Strong,100,100,Proven,768,1.0767,0.7653,0.5476,3,0.003,Alpha Leader,NA,2452529000,0.1545,0.0819,0.6803,56.4711,87.9665,NA,Unknown,NA,34,-0.1125
RXRX,Recursion Pharmaceuticals Inc,HEALTHCARE,3.41,53.6,44.9,Weak,Weak,100,100,Proven,768,-0.131,-0.0779,0.4603,2,-3e-4,Analyst Upside,NA,1716067000,0.2944,0.0791,0.0723,52.5991,54.0876,NA,Unknown,NA,7.22,1.1173
ACAD,ACADIA Pharmaceuticals Inc,HEALTHCARE,27.52,46.4,62.3,Neutral,Neutral,100,100,Proven,768,1.0095,0.3531,0.4524,0,0.0014,High IR,12.37,4722685000,0.2145,-0.0255,0.3142,43.6826,75.8325,NA,Unknown,NA,34,0.2355
VITL,Vital Farms Inc,CONSUMER DEFENSIVE,10.03,35.7,19.1,Very Weak,Very Weak,100,100,Proven,768,-1.6435,-1.1362,0.4524,1,-0.0045,Analyst Upside,NA,418153000,0.2687,-0.0798,-0.0626,38.646,20.6263,NA,Unknown,NA,13.22,0.318
WLDN,Willdan Group Inc,INDUSTRIALS,81.54,25,34,Weak,Weak,100,100,Proven,768,-0.1292,-0.0724,0.4365,0,-3e-4,Analyst Upside,20.55,1333722000,0.1559,-0.0562,-0.1325,44.4829,38.1907,NA,Unknown,NA,137.5,0.6863
WING,Wingstop Inc,CONSUMER CYCLICAL,114.71,21.4,13.9,Very Weak,Very Weak,100,100,Proven,768,-2.1,-1.2515,0.4444,0,-0.005,Analyst Upside,27.68,3190102000,0.2307,-0.0905,-0.2951,47.316,20.5928,NA,Unknown,NA,200.85,0.7509
RARE,Ultragenyx,HEALTHCARE,13.61,21.4,12.1,Very Weak,Very Weak,100,100,Proven,768,-0.9819,-0.779,0.4683,0,-0.0031,Analyst Upside,NA,1409821000,0.2453,-0.4862,-0.4523,19.227,10.8325,NA,Unknown,NA,27,0.9838
PRIM,Primoris Services Corporation,INDUSTRIALS,74.17,10.7,22,Very Weak,Very Weak,100,100,Proven,768,-0.8096,-0.8033,0.5,0,-0.0032,Analyst Upside,29.52,4084312000,0.1512,-0.1096,-0.2818,42.5762,20.5412,NA,Unknown,NA,117.8,0.5882
