symbol,date,close
AAPL,2024-09-03,222.77
AMD,2024-09-03,136.94
AMZN,2024-09-03,176.25
CRM,2024-09-03,248.06
CRWD,2024-09-03,66.65
DUOL,2024-09-03,206.36
GOOGL,2024-09-03,157.36
JPM,2024-09-03,220.3
META,2024-09-03,511.76
MSFT,2024-09-03,409.44
NVDA,2024-09-03,108
PANW,2024-09-03,177.535
SPY,2024-09-03,552.08
TSLA,2024-09-03,210.6
UNH,2024-09-03,598.68
WMT,2024-09-03,77.17
XOM,2024-09-03,115.47
AAPL,2024-09-04,220.85
AMD,2024-09-04,140.87
AMZN,2024-09-04,173.33
CRM,2024-09-04,247.68
CRWD,2024-09-04,64.83
DUOL,2024-09-04,206.8
GOOGL,2024-09-04,156.45
JPM,2024-09-04,219.33
META,2024-09-04,512.74
MSFT,2024-09-04,408.9
NVDA,2024-09-04,106.21
PANW,2024-09-04,173.075
SPY,2024-09-04,550.95
TSLA,2024-09-04,219.41
UNH,2024-09-04,604.18
WMT,2024-09-04,77.24
XOM,2024-09-04,114.06
AAPL,2024-09-05,222.38
AMD,2024-09-05,139.44
AMZN,2024-09-05,177.89
CRM,2024-09-05,246.12
CRWD,2024-09-05,64.1075
DUOL,2024-09-05,210.26
GOOGL,2024-09-05,157.24
JPM,2024-09-05,217.63
META,2024-09-05,516.86
MSFT,2024-09-05,408.39
NVDA,2024-09-05,107.21
PANW,2024-09-05,171.87
SPY,2024-09-05,549.61
TSLA,2024-09-05,230.17
UNH,2024-09-05,595.49
WMT,2024-09-05,76.96
XOM,2024-09-05,113.17
AAPL,2024-09-06,220.82
AMD,2024-09-06,134.35
AMZN,2024-09-06,171.39
CRM,2024-09-06,243.97
CRWD,2024-09-06,61.5975
DUOL,2024-09-06,208.26
GOOGL,2024-09-06,150.92
JPM,2024-09-06,212.46
META,2024-09-06,500.27
MSFT,2024-09-06,401.7
NVDA,2024-09-06,102.83
PANW,2024-09-06,167.91
SPY,2024-09-06,540.36
TSLA,2024-09-06,210.73
UNH,2024-09-06,596.88
WMT,2024-09-06,76.64
XOM,2024-09-06,112.64
AAPL,2024-09-09,220.91
AMD,2024-09-09,138.15
AMZN,2024-09-09,175.4
CRM,2024-09-09,245.76
CRWD,2024-09-09,61.645
DUOL,2024-09-09,217.1
GOOGL,2024-09-09,148.71
JPM,2024-09-09,216.81
META,2024-09-09,504.79
MSFT,2024-09-09,405.72
NVDA,2024-09-09,106.47
PANW,2024-09-09,172.025
SPY,2024-09-09,546.41
TSLA,2024-09-09,216.27
UNH,2024-09-09,594.1
